"medication_definition_id"|"medication"|"problem_definition_id"|"problem"|"patient_link_frequency"|"link_ratio"
"1104"|"Diltiazem HCl 60 MG Oral Tablet"|"63468"|"Essential Hypertension"|"2"|"0.4"
"1104"|"Diltiazem HCl 60 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"2"|"0.666667"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"60928"|"Pain During Urination (Dysuria)"|"4"|"0.333333"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"62588"|"Chronic Ethmoidal Sinusitis"|"13"|"0.722222"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"64205"|"Chronic Obstructive Pulmonary
Disease"|"2"|"0.285714"

file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"64223"|"Bronchiectasis"|"2"|"0.666667"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"65831"|"Prostatitis"|"2"|"0.4"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"65847"|"Urethritis"|"2"|"0.5"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"65848"|"Chlamydia Trachomatis Urethritis"|"3"|"1"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66015"|"Ovarian Disorders"|"2"|"1"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66091"|"Endometriosis Of The Pelvic Peritoneum"|"2"|"0.5"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66143"|"Metrorrhagia"|"2"|"0.4"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66176"|"Cervical Stenosis/Stricture"|"2"|"0.5"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66179"|"Cervicitis"|"12"|"0.857143"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66213"|"Vaginitis"|"2"|"0.2"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"66274"|"Female Infertility"|"9"|"0.692308"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"69606"|"Acne"|"13"|"0.464286"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"69607"|"Acne Vulgaris"|"5"|"0.833333"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"69913"|"Rosacea"|"5"|"0.714286"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"70016"|"Cellulitis Of The Leg"|"2"|"0.666667"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"70027"|"Folliculitis"|"4"|"0.266667"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"76934"|"Chlamydial Infections"|"2"|"0.5"
"1186"|"Doxycycline Hyclate 100 MG Oral Capsule"|"77872"|"Pelvic Inflammatory Disease"|"3"|"0.6"
"1190"|"Doxycycline Hyclate 50 MG Oral Capsule"|"69606"|"Acne"|"3"|"0.6"
"1341"|"Erythromycin Ethylsuccinate 400 MG Oral Tablet"|"62760"|"Acute Pharyngitis"|"2"|"1"
"1360"|"EryPed 200 200 MG/5ML Oral Suspension Reconstituted"|"60895"|"Vomiting (Symptom)"|"2"|"0.285714"
"1360"|"EryPed 200 200 MG/5ML Oral Suspension Reconstituted"|"64688"|"Esophageal Reflux"|"9"|"0.391304"
"1360"|"EryPed 200 200 MG/5ML Oral Suspension Reconstituted"|"64748"|"Gastroparesis"|"13"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"31947"|"Lumbago"|"7"|"0.538462"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"60828"|"Headache"|"6"|"0.133333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"60844"|"Tooth Pain"|"2"|"0.5"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"60899"|"Abdominal Pain"|"7"|"0.184211"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"61070"|"Tingling (Paresthesia)"|"2"|"0.333333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"62984"|"Atypical Chest Pain"|"3"|"0.136364"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"63912"|"Varicose Veins With Inflammation"|"13"|"0.433333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"63914"|"Varicose Veins With Ulcer And Inflammation"|"2"|"0.5"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"64046"|"Thrombophlebitis Of Superficial Veins Of Upper
Extremities"|"2"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"64501"|"Pleurisy"|"2"|"0.666667"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"66133"|"Dysmenorrhea"|"3"|"0.333333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70027"|"Folliculitis"|"2"|"0.2"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70219"|"Osteoarthritis Of The Knee"|"2"|"0.25"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"6"|"0.375"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70472"|"Systemic Lupus Erythematosus"|"3"|"0.272727"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70505"|"Plantar Fasciitis"|"3"|"0.428571"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"70549"|"Costochondritis (Tietze's Syndrome)"|"8"|"0.470588"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"73400"|"Sprain"|"3"|"0.6"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"73464"|"Lower Back Sprain"|"3"|"0.428571"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"73493"|"Ankle Sprain"|"2"|"0.25"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"73599"|"Trochanteric Bursitis"|"2"|"0.333333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"73666"|"Backache"|"6"|"0.272727"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"74315"|"Carpal Tunnel Syndrome"|"3"|"0.230769"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"75717"|"Cervicalgia"|"7"|"0.388889"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"75811"|"Muscle Spasm"|"6"|"0.25"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"76835"|"HIV Infection"|"2"|"0.2"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"77891"|"Acute Upper Respiratory Infection"|"8"|"0.129032"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85614"|"Joint Pain, Localized In The Hip"|"4"|"0.363636"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85623"|"Joint Pain, Localized In The Knee"|"14"|"0.325581"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85638"|"Ankle Joint Pain"|"3"|"0.214286"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"1861"|"Ibuprofen 600 MG Oral Tablet"|"85644"|"Foot Pain (Soft Tissue)"|"2"|"0.2"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85658"|"Diffuse Joint Pains (Arthralgias)"|"3"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85673"|"Joint Pain, Localized In The Wrist"|"2"|"0.333333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"85691"|"Neck Pain"|"2"|"0.5"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"87739"|"Abdominal Pain In The Right Lower Belly (RLQ)"|"3"|"0.75"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"88058"|"Severe Menstrual Pain (Dysmenorrhea)"|"3"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"91056"|"Upper Back Pain (Between Shoulder Blades)"|"2"|"0.4"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"91079"|"Midback Pain"|"3"|"0.75"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"91089"|"Lower Back Pain"|"31"|"0.62"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"115846"|"Back Muscle Spasm"|"3"|"0.375"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"172080"|"Neck Strain"|"4"|"0.4"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"172081"|"Shoulder Strain"|"3"|"0.75"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"172085"|"Thoracic Strain"|"3"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"172086"|"Lumbar Strain"|"2"|"0.5"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"250903"|"Varicose Veins With Pain"|"8"|"0.222222"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"250924"|"Varicose Veins With Swelling"|"3"|"0.125"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"251190"|"Groin (Inguinal) Pain Right Side"|"2"|"0.666667"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"251191"|"Groin (Inguinal) Pain Left Side"|"2"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"251261"|"Pelvic Pain"|"3"|"0.75"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"251467"|"Limb Pain"|"5"|"0.192308"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"252496"|"Female Pelvic Pain"|"2"|"0.333333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"257996"|"Arthritis"|"4"|"0.133333"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"278685"|"Arthralgias In Multiple Sites"|"2"|"0.285714"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"282272"|"Anterior Wall Chest Pain With Respiration"|"2"|"0.666667"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"282672"|"Venous Insufficiency"|"5"|"0.3125"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"298909"|"Strained Pectoralis Major Muscle"|"2"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"298920"|"Right Back Strain"|"3"|"1"
"1861"|"Ibuprofen 600 MG Oral Tablet"|"298955"|"Multiple Muscle Strains"|"3"|"1"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"31947"|"Lumbago"|"12"|"0.324324"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"60828"|"Headache"|"15"|"0.211268"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"60844"|"Tooth Pain"|"2"|"0.25"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"60899"|"Abdominal Pain"|"8"|"0.173913"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"64501"|"Pleurisy"|"2"|"0.4"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"66070"|"Menorrhagia"|"4"|"0.2"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"66133"|"Dysmenorrhea"|"12"|"0.631579"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"70146"|"Osteoarthritis"|"7"|"0.318182"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"8"|"0.444444"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"70505"|"Plantar Fasciitis"|"4"|"0.363636"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73403"|"Neck Sprain"|"3"|"0.375"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73421"|"Elbow Sprain"|"2"|"1"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73431"|"Wrist Sprain"|"2"|"0.4"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73464"|"Lower Back Sprain"|"3"|"0.3"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73474"|"Knee Sprain"|"3"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73493"|"Ankle Sprain"|"6"|"0.272727"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73551"|"Tendonitis"|"4"|"0.363636"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73556"|"Rotator Cuff Tendonitis"|"5"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73564"|"Lateral Epicondylitis"|"2"|"0.333333"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73599"|"Trochanteric Bursitis"|"2"|"0.4"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73608"|"Subacromial Bursitis"|"2"|"0.666667"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"73666"|"Backache"|"9"|"0.15"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"74315"|"Carpal Tunnel Syndrome"|"3"|"0.1875"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"75717"|"Cervicalgia"|"11"|"0.255814"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"75728"|"Sciatica"|"5"|"0.294118"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"75811"|"Muscle Spasm"|"4"|"0.129032"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"1862"|"Ibuprofen 800 MG Oral Tablet"|"75812"|"Myalgia And Myositis"|"4"|"0.25"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"80664"|"Leiomyoma Of The Uterus"|"3"|"0.2"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"81508"|"Contusion Of The Knee With Intact Skin Surface"|"2"|"1"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"81582"|"Muscle Hematoma"|"2"|"1"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85614"|"Joint Pain, Localized In The Hip"|"6"|"0.193548"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85619"|"Pain In The Thigh"|"2"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85623"|"Joint Pain, Localized In The Knee"|"25"|"0.316456"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85633"|"Pain In The Leg (Below The Knee)"|"3"|"0.272727"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85644"|"Foot Pain (Soft Tissue)"|"7"|"0.25"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85691"|"Neck Pain"|"4"|"0.235294"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"85701"|"Joint Pain, Localized In The Shoulder"|"9"|"0.225"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"87251"|"Breast Pain"|"2"|"0.25"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"90952"|"Joint Pain, Localized In The Left Shoulder"|"3"|"0.6"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"91056"|"Upper Back Pain (Between Shoulder Blades)"|"4"|"0.444444"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"91079"|"Midback Pain"|"4"|"0.444444"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"91089"|"Lower Back Pain"|"52"|"0.495238"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"115846"|"Back Muscle Spasm"|"6"|"0.352941"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"154781"|"Knee Pain Elicited By Motion"|"2"|"0.666667"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"172080"|"Neck Strain"|"4"|"0.571429"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"172081"|"Shoulder Strain"|"2"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"172086"|"Lumbar Strain"|"7"|"0.4375"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"173419"|"Cervical Radiculopathy"|"3"|"0.142857"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"173442"|"Lumbar Radiculopathy"|"4"|"0.285714"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"187800"|"Gynecologic Services Intrauterine Device (IUD)
Insertion"|"2"|"0.333333"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"251467"|"Limb Pain"|"5"|"0.142857"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"259187"|"Internal Derangement Of Knee"|"2"|"0.25"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"278685"|"Arthralgias In Multiple Sites"|"3"|"0.375"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"278688"|"Trapezoid Muscle Strain"|"3"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"278689"|"Cervical Facet Syndrome"|"4"|"0.5"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"288921"|"Chronic Pain"|"3"|"0.3"
"1862"|"Ibuprofen 800 MG Oral Tablet"|"293541"|"New Daily Persistent Headache"|"5"|"0.833333"
"2107"|"Lasix 20 MG Oral Tablet"|"63470"|"Benign Essential Hypertension"|"3"|"0.214286"
"2713"|"Naproxen 250 MG Oral Tablet"|"60828"|"Headache"|"2"|"0.285714"
"2713"|"Naproxen 250 MG Oral Tablet"|"66070"|"Menorrhagia"|"2"|"0.5"
"2713"|"Naproxen 250 MG Oral Tablet"|"70146"|"Osteoarthritis"|"2"|"0.285714"
"2713"|"Naproxen 250 MG Oral Tablet"|"70219"|"Osteoarthritis Of The Knee"|"3"|"0.6"
"2713"|"Naproxen 250 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"3"|"0.6"
"2713"|"Naproxen 250 MG Oral Tablet"|"75717"|"Cervicalgia"|"2"|"0.25"
"2713"|"Naproxen 250 MG Oral Tablet"|"75812"|"Myalgia And Myositis"|"3"|"0.6"
"2713"|"Naproxen 250 MG Oral Tablet"|"85623"|"Joint Pain, Localized In The Knee"|"2"|"0.222222"
"2713"|"Naproxen 250 MG Oral Tablet"|"91089"|"Lower Back Pain"|"3"|"0.428571"
"2713"|"Naproxen 250 MG Oral Tablet"|"172083"|"Left Shoulder Strain"|"2"|"1"
"2713"|"Naproxen 250 MG Oral Tablet"|"251261"|"Pelvic Pain"|"2"|"0.666667"
"2713"|"Naproxen 250 MG Oral Tablet"|"251467"|"Limb Pain"|"5"|"0.714286"
"2713"|"Naproxen 250 MG Oral Tablet"|"257996"|"Arthritis"|"3"|"0.375"
"2716"|"Naproxen 500 MG Oral Tablet"|"31947"|"Lumbago"|"9"|"0.3"
"2716"|"Naproxen 500 MG Oral Tablet"|"60828"|"Headache"|"21"|"0.225806"
"2716"|"Naproxen 500 MG Oral Tablet"|"60846"|"TMJ Pain"|"2"|"0.285714"
"2716"|"Naproxen 500 MG Oral Tablet"|"66070"|"Menorrhagia"|"3"|"0.130435"
"2716"|"Naproxen 500 MG Oral Tablet"|"66133"|"Dysmenorrhea"|"8"|"0.444444"
"2716"|"Naproxen 500 MG Oral Tablet"|"70146"|"Osteoarthritis"|"17"|"0.34"
"2716"|"Naproxen 500 MG Oral Tablet"|"70148"|"Localized Primary Osteoarthritis"|"3"|"0.75"
"2716"|"Naproxen 500 MG Oral Tablet"|"70166"|"Localized Primary Osteoarthritis Of The Knee"|"4"|"0.666667"
file:///I|/AMIAJNL/000852/Preedit/1/amiajnl-2012-000852-20120418010342/suppl_data/Online%20Only%20Data%20Supplement.txt[4/23/2012 8:40:20 PM]

"2716"|"Naproxen 500 MG Oral Tablet"|"70191"|"Localized Osteoarthritis Of The Hand"|"3"|"0.75"
"2716"|"Naproxen 500 MG Oral Tablet"|"70193"|"Localized Osteoarthritis Of The Knee"|"4"|"0.4"
"2716"|"Naproxen 500 MG Oral Tablet"|"70196"|"Generalized Osteoarthritis"|"3"|"0.5"
"2716"|"Naproxen 500 MG Oral Tablet"|"70219"|"Osteoarthritis Of The Knee"|"9"|"0.428571"
"2716"|"Naproxen 500 MG Oral Tablet"|"70221"|"Osteoarthritis Of Multiple Sites"|"2"|"0.666667"
"2716"|"Naproxen 500 MG Oral Tablet"|"70384"|"Gout"|"9"|"0.264706"
"2716"|"Naproxen 500 MG Oral Tablet"|"70386"|"Acute Gout"|"2"|"0.5"
"2716"|"Naproxen 500 MG Oral Tablet"|"70455"|"Rheumatoid Arthritis"|"56"|"0.682927"
"2716"|"Naproxen 500 MG Oral Tablet"|"70472"|"Systemic Lupus Erythematosus"|"6"|"0.461538"
"2716"|"Naproxen 500 MG Oral Tablet"|"70478"|"Sjogren's Syndrome"|"2"|"0.285714"
"2716"|"Naproxen 500 MG Oral Tablet"|"70500"|"Polymyalgia Rheumatica"|"2"|"0.25"
"2716"|"Naproxen 500 MG Oral Tablet"|"70549"|"Costochondritis (Tietze's Syndrome)"|"8"|"0.333333"
"2716"|"Naproxen 500 MG Oral Tablet"|"70706"|"Ankylosing Spondylitis"|"10"|"0.714286"
"2716"|"Naproxen 500 MG Oral Tablet"|"70719"|"Psoriatic Arthropathy"|"9"|"0.9"
"2716"|"Naproxen 500 MG Oral Tablet"|"70722"|"Spondylitis"|"2"|"0.666667"
"2716"|"Naproxen 500 MG Oral Tablet"|"73464"|"Lower Back Sprain"|"3"|"0.333333"
"2716"|"Naproxen 500 MG Oral Tablet"|"73493"|"Ankle Sprain"|"3"|"0.214286"
"2716"|"Naproxen 500 MG Oral Tablet"|"73549"|"Unspecified Muscle Strain"|"4"|"1"
"2716"|"Naproxen 500 MG Oral Tablet"|"73551"|"Tendonitis"|"8"|"0.347826"
"2716"|"Naproxen 500 MG Oral Tablet"|"73556"|"Rotator Cuff Tendonitis"|"3"|"0.428571"
"2716"|"Naproxen 500 MG Oral Tablet"|"73578"|"Tendonitis Of The Achilles Tendon"|"2"|"0.5"
"2716"|"Naproxen 500 MG Oral Tablet"|"73597"|"Bursitis"|"2"|"0.4"
"2716"|"Naproxen 500 MG Oral Tablet"|"73607"|"Anserine Bursitis"|"2"|"0.666667"
"2716"|"Naproxen 500 MG Oral Tablet"|"73626"|"Metatarsalgia"|"2"|"1"
"2716"|"Naproxen 500 MG Oral Tablet"|"73631"|"De Quervain's Tenosynovitis"|"2"|"0.5"
"2716"|"Naproxen 500 MG Oral Tablet"|"73666"|"Backache"|"24"|"0.252632"
"2716"|"Naproxen 500 MG Oral Tablet"|"73919"|"Bunion"|"2"|"0.285714"
"2716"|"Naproxen 500 MG Oral Tablet"|"74530"|"Tension-type Headache"|"4"|"0.166667"
"2716"|"Naproxen 500 MG Oral Tablet"|"74537"|"Common Migraine (Without Aura)"|"5"|"0.333333"
"2716"|"Naproxen 500 MG Oral Tablet"|"74552"|"Cluster Headache"|"3"|"0.75"
"2716"|"Naproxen 500 MG Oral Tablet"|"75717"|"Cervicalgia"|"14"|"0.28"
"2716"|"Naproxen 500 MG Oral Tablet"|"75728"|"Sciatica"|"6"|"0.375"
"2716"|"Naproxen 500 MG Oral Tablet"|"75811"|"Muscle Spasm"|"16"|"0.333333"
