medication_definition_id	medication	indications
19694	Hydroxychloroquine Sulfate 200 MG Oral Tablet	26
26365	ClonazePAM 1 MG Oral Tablet	26
16017	Methotrexate 2.5 MG Oral Tablet	26
132851	Azithromycin 500 MG Oral Tablet	26
17241	Promethazine HCl 25 MG Oral Tablet	26
156725	Tamsulosin HCl 0.4 MG Oral Capsule	26
134107	Meloxicam 15 MG Oral Tablet	26
147552	Omeprazole 40 MG Oral Capsule Delayed Release	25
149785	LevETIRAcetam 500 MG Oral Tablet	25
122707	Fluconazole 150 MG Oral Tablet	24
30025	SEROquel 25 MG Oral Tablet	24
154855	Lansoprazole 30 MG Oral Capsule Delayed Release	24
122517	Cymbalta 30 MG Oral Capsule Delayed Release Particles	24
146992	RisperiDONE 1 MG Oral Tablet	24
136979	Zolpidem Tartrate 10 MG Oral Tablet	24
101321	Lexapro 20 MG Oral Tablet	24
18391	MetroNIDAZOLE 500 MG Oral Tablet	23
18712	TraZODone HCl 100 MG Oral Tablet	23
146716	BuPROPion HCl 150 MG Oral Tablet Extended Release 24 Hour	23
138260	Ofloxacin 0.3 % Otic Solution	23
111302	Amoxicillin 400 MG/5ML Oral Suspension Reconstituted	23
12991	Baclofen 10 MG Oral Tablet	22
100253	Lisinopril 10 MG Oral Tablet	22
133974	Azithromycin 200 MG/5ML Oral Suspension Reconstituted	22
139120	Pantoprazole Sodium 40 MG Oral Tablet Delayed Release	22
12505	Albuterol Sulfate (2.5 MG/3ML) 0.083% Inhalation Nebulization Solution	22
151153	Divalproex Sodium 500 MG Oral Tablet Extended Release 24 Hour	22
28859	Proventil HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution	22
151620	Topiramate 50 MG Oral Tablet	21
24332	Sulfamethoxazole-Trimethoprim 200-40 MG/5ML Oral Suspension	21
134601	Sertraline HCl 50 MG Oral Tablet	21
134658	Sertraline HCl 25 MG Oral Tablet	21
100502	Ventolin HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution	21
24104	Nasonex 50 MCG/ACT Nasal Suspension	21
1186	Doxycycline Hyclate 100 MG Oral Capsule	21
138298	OXcarbazepine 300 MG Oral Tablet	21
31309	Lidoderm 5 % External Patch	21
123036	Clarithromycin 500 MG Oral Tablet	20
100255	Lisinopril 5 MG Oral Tablet	20
133390	SEROquel 50 MG Oral Tablet	20
128614	Fluconazole 200 MG Oral Tablet	20
97661	Amoxicillin 500 MG Oral Tablet	20
100217	Lisinopril 20 MG Oral Tablet	20
17905	LORazepam 1 MG Oral Tablet	20
133730	Loestrin 24 Fe 1-20 MG-MCG Oral Tablet	20
31582	Avelox 400 MG Oral Tablet	20
19376	Warfarin Sodium 5 MG Oral Tablet	20
136889	Zolpidem Tartrate 5 MG Oral Tablet	20
97547	Cefadroxil 500 MG Oral Capsule	19
147	Amoxicillin 500 MG Oral Capsule	19
138187	Handicap Parking	19
26316	AzaTHIOprine 50 MG Oral Tablet	19
111277	Mirtazapine 15 MG Oral Tablet	19
156752	Advair Diskus 250-50 MCG/DOSE Inhalation Aerosol Powder Breath Activated	18
122563	Citalopram Hydrobromide 10 MG Oral Tablet	18
151606	Topiramate 100 MG Oral Tablet	18
15244	HydrOXYzine HCl 25 MG Oral Tablet	18
122520	Citalopram Hydrobromide 40 MG Oral Tablet	18
135515	Metoprolol Succinate 25 MG Oral Tablet Extended Release 24 Hour	18
130917	Fexofenadine HCl 180 MG Oral Tablet	18
147356	LamoTRIgine 200 MG Oral Tablet	18
17904	LORazepam 0.5 MG Oral Tablet	18
147014	RisperiDONE 0.5 MG Oral Tablet	18
15144	Diazepam 5 MG Oral Tablet	18
18374	Methocarbamol 750 MG Oral Tablet	18
114955	MetFORMIN HCl 500 MG Oral Tablet Extended Release 24 Hour	17
18819	Triamcinolone Acetonide 0.1 % External Cream	17
147411	LamoTRIgine 25 MG Oral Tablet	17
103838	Omeprazole 20 MG Oral Capsule Delayed Release	17
24261	Bactroban 2 % External Cream	17
131375	Lyrica 75 MG Oral Capsule	17
18146	Spironolactone 25 MG Oral Tablet	17
135486	Ondansetron HCl 8 MG Oral Tablet	17
13046	Benzonatate 100 MG Oral Capsule	17
3317	PredniSONE 2.5 MG Oral Tablet	16
156773	Metaxalone 800 MG Oral Tablet	16
114718	Namenda 10 MG Oral Tablet	16
128354	VESIcare 5 MG Oral Tablet	16
138119	Carvedilol 25 MG Oral Tablet	16
134968	Oxygen	16
98140	Depakote ER 500 MG Oral Tablet Extended Release 24 Hour	16
133296	Abilify 2 MG Oral Tablet	16
97578	Ketoconazole 2 % External Cream	16
130921	Lyrica 50 MG Oral Capsule	16
13652	Clotrimazole 1 % External Cream	16
30224	Singulair 10 MG Oral Tablet	16
13648	CloNIDine HCl 0.1 MG Oral Tablet	16
123053	Flovent HFA 44 MCG/ACT Inhalation Aerosol	16
17177	Hydrocortisone 1 % External Cream	16
123352	Flovent HFA 110 MCG/ACT Inhalation Aerosol	15
19718	Phenytoin Sodium Extended 100 MG Oral Capsule	15
148659	Keppra XR 500 MG Oral Tablet Extended Release 24 Hour	15
18183	MedroxyPROGESTERone Acetate 10 MG Oral Tablet	15
136417	AmLODIPine Besylate 10 MG Oral Tablet	15
101122	Amoxicillin-Pot Clavulanate 500-125 MG Oral Tablet	15
122597	Cymbalta 60 MG Oral Capsule Delayed Release Particles	14
100296	MetFORMIN HCl 1000 MG Oral Tablet	14
13087	Atenolol 25 MG Oral Tablet	14
147420	LamoTRIgine 150 MG Oral Tablet	14
19135	Nystatin 100000 UNIT/GM External Cream	14
146975	RisperiDONE 0.25 MG Oral Tablet	14
152251	Mycophenolate Mofetil 500 MG Oral Tablet	14
30026	SEROquel 100 MG Oral Tablet	14
13448	Cheratussin AC 100-10 MG/5ML Oral Syrup	14
17175	Hydrochlorothiazide 25 MG Oral Tablet	14
25702	Benzonatate 200 MG Oral Capsule	14
24850	CeleBREX 100 MG Oral Capsule	14
97543	BusPIRone HCl 5 MG Oral Tablet	14
122861	Polyethylene Glycol 3350 Oral Powder	13
19833	Rifampin 300 MG Oral Capsule	13
150160	LevETIRAcetam 1000 MG Oral Tablet	13
98651	NexIUM 20 MG Oral Capsule Delayed Release	13
111251	PARoxetine HCl 20 MG Oral Tablet	13
115308	Metoprolol Tartrate 25 MG Oral Tablet	13
136991	BuPROPion HCl 300 MG Oral Tablet Extended Release 24 Hour	13
113943	Abilify 5 MG Oral Tablet	13
27829	Hydrocodone-Acetaminophen 7.5-750 MG Oral Tablet	13
147563	Divalproex Sodium 250 MG Oral Tablet Delayed Release	13
13812	CarBAMazepine 200 MG Oral Tablet	13
19960	PredniSONE 1 MG Oral Tablet	13
2713	Naproxen 250 MG Oral Tablet	13
143229	Voltaren 1 % GEL	13
133922	Magic Mouthwash	13
122728	Tramadol-Acetaminophen 37.5-325 MG Oral Tablet	13
14375	ClomiPHENE Citrate 50 MG Oral Tablet	13
98450	Clotrimazole-Betamethasone 1-0.05 % External Cream	13
17320	Ibuprofen 400 MG Oral Tablet	13
111298	Ciprofloxacin HCl 250 MG Oral Tablet	13
100270	Lisinopril 2.5 MG Oral Tablet	13
17255	Propranolol HCl 10 MG Oral Tablet	13
19827	Propoxyphene N-APAP 100-650 MG TABS	13
147058	RisperiDONE 2 MG Oral Tablet	12
98238	Levaquin 750 MG Oral Tablet	12
12617	ALPRAZolam 0.5 MG Oral Tablet	12
97571	FLUoxetine HCl 20 MG Oral Capsule	12
19670	Famotidine 20 MG Oral Tablet	12
13099	Benztropine Mesylate 1 MG Oral Tablet	12
136907	Veramyst 27.5 MCG/SPRAY Nasal Suspension	12
97693	FLUoxetine HCl 40 MG Oral Capsule	12
17178	Hydrocortisone 2.5 % External Cream	12
24857	Isosorbide Mononitrate CR 30 MG Oral Tablet Extended Release 24 Hour	12
151446	Vimpat 100 MG Oral Tablet	12
159701	Lansoprazole 30 MG Oral Tablet Dispersible	12
115368	Nitrofurantoin Monohyd Macro 100 MG Oral Capsule	12
111249	Loratadine 10 MG Oral Tablet	12
122763	Cymbalta 20 MG Oral Capsule Delayed Release Particles	12
17840	Levothyroxine Sodium 125 MCG Oral Tablet	12
19082	Valproic Acid 250 MG Oral Capsule	12
27828	Hydrocodone-Acetaminophen 7.5-500 MG Oral Tablet	12
138316	OXcarbazepine 150 MG Oral Tablet	11
138256	OXcarbazepine 600 MG Oral Tablet	11
17141	Premarin 0.625 MG/GM Vaginal Cream	11
122600	Gabapentin 600 MG Oral Tablet	11
25781	Keppra 500 MG Oral Tablet	11
104197	Abilify 10 MG Oral Tablet	11
159678	Lansoprazole 15 MG Oral Tablet Dispersible	11
101441	Ortho Tri-Cyclen Lo 0.18/0.215/0.25 MG-25 MCG Oral Tablet	11
97724	Amoxicillin 875 MG Oral Tablet	11
149762	LevETIRAcetam 250 MG Oral Tablet	11
15389	Doxycycline Hyclate 100 MG Oral Tablet	11
134050	Simvastatin 40 MG Oral Tablet	11
26465	PrednisoLONE 15 MG/5ML Oral Syrup	11
28999	Combivent 18-103 MCG/ACT Inhalation Aerosol	11
19517	Aspirin 81 MG Oral Tablet	11
23204	Lipitor 20 MG Oral Tablet	11
137730	Metoprolol Succinate 100 MG Oral Tablet Extended Release 24 Hour	11
13883	Carisoprodol 350 MG Oral Tablet	11
154893	Ergocalciferol 50000 UNIT Oral Capsule	11
111645	NovoLOG FlexPen 100 UNIT/ML Subcutaneous Solution	11
136741	Hydrocortisone 10 MG Oral Tablet	11
146622	Cetirizine HCl 5 MG/5ML Oral Syrup	11
97545	Calcitriol 0.25 MCG Oral Capsule	11
133741	YAZ 3-0.02 MG Oral Tablet	11
29755	Lipitor 40 MG Oral Tablet	11
133147	Zonisamide 100 MG Oral Capsule	11
13912	Cyproheptadine HCl 2 MG/5ML Oral Syrup	11
29067	Hydrochlorothiazide 12.5 MG Oral Capsule	11
133563	Pravastatin Sodium 20 MG Oral Tablet	10
123028	Flovent HFA 220 MCG/ACT Inhalation Aerosol	10
16598	Nystatin 100000 UNIT/GM External Ointment	10
15714	Levothyroxine Sodium 50 MCG Oral Tablet	10
16363	Naproxen 375 MG Oral Tablet	10
137708	Metoprolol Succinate 50 MG Oral Tablet Extended Release 24 Hour	10
5030	Amoxicillin 250 MG/5ML Oral Suspension Reconstituted	10
154770	Vitamin D (Ergocalciferol) 50000 UNIT Oral Capsule	10
20208	Promethazine HCl 12.5 MG Oral Tablet	10
138307	Diastat AcuDial 10 MG Rectal Gel	10
134129	Finasteride 5 MG Oral Tablet	10
136200	Hydrochlorothiazide 12.5 MG Oral Tablet	10
111276	Mirtazapine 30 MG Oral Tablet	10
114899	Lactulose 10 GM/15ML Oral Solution	10
122810	Nystatin 100000 UNIT/GM External Powder	10
15356	Docusate Sodium 100 MG Oral Capsule	10
16612	Furosemide 10 MG/ML Oral Solution	10
29058	Topamax 25 MG Oral Tablet	10
250	Atenolol 50 MG Oral Tablet	10
97542	BusPIRone HCl 10 MG Oral Tablet	10
130860	Lyrica 100 MG Oral Capsule	10
104058	Zetia 10 MG Oral Tablet	10
160341	Donepezil HCl 5 MG Oral Tablet	10
12618	ALPRAZolam 1 MG Oral Tablet	10
29026	Aricept 10 MG Oral Tablet	10
18385	Metoclopramide HCl 10 MG Oral Tablet	10
136409	AmLODIPine Besylate 5 MG Oral Tablet	10
160334	Donepezil HCl 10 MG Oral Tablet	10
98355	SEROquel 300 MG Oral Tablet	10
138131	Carvedilol 6.25 MG Oral Tablet	10
28635	Nasacort AQ 55 MCG/ACT Nasal Aerosol Solution	10
23170	Topamax 100 MG Oral Tablet	10
133676	Pravastatin Sodium 40 MG Oral Tablet	10
115077	Hyoscyamine Sulfate 0.125 MG Sublingual Tablet Sublingual	10
149754	LevETIRAcetam 750 MG Oral Tablet	9
115479	BuPROPion HCl 150 MG Oral Tablet Extended Release 12 Hour	9
26310	Amiodarone HCl 200 MG Oral Tablet	9
150161	LevETIRAcetam 100 MG/ML Oral Solution	9
3325	Premarin 0.625 MG Oral Tablet	9
14171	Dilantin 100 MG Oral Capsule	9
155528	Voltaren 1 % Transdermal Gel	9
14250	Diphenoxylate-Atropine 2.5-0.025 MG Oral Tablet	9
137042	Cefdinir 300 MG Oral Capsule	9
30961	Xopenex 0.63 MG/3ML Inhalation Nebulization Solution	9
20226	Propranolol HCl 20 MG Oral Tablet	9
138351	Amrix 15 MG Oral Capsule Extended Release 24 Hour	9
137055	FreeStyle Lite Test In Vitro Strip	9
25725	Rhinocort Aqua 32 MCG/ACT Nasal Suspension	9
115277	Ketoconazole 2 % External Shampoo	9
156688	Advair Diskus 100-50 MCG/DOSE Inhalation Aerosol Powder Breath Activated	9
137607	Terbinafine HCl 250 MG Oral Tablet	9
100249	Fludrocortisone Acetate 0.1 MG Oral Tablet	9
15230	Hydrocortisone Acetate 25 MG Rectal Suppository	9
97662	FLUoxetine HCl 20 MG Oral Tablet	9
15717	Levothyroxine Sodium 150 MCG Oral Tablet	9
15715	Levothyroxine Sodium 75 MCG Oral Tablet	9
19841	Spironolactone 50 MG Oral Tablet	9
130767	Accu-Chek Aviva In Vitro Strip	9
158560	Clindamycin Palmitate HCl 75 MG/5ML Oral Solution Reconstituted	9
27400	LaMICtal 100 MG Oral Tablet	9
15009	Dexamethasone 4 MG Oral Tablet	9
97570	FLUoxetine HCl 10 MG Oral Capsule	9
138145	Carvedilol 3.125 MG Oral Tablet	9
29961	Niaspan 500 MG Oral Tablet Extended Release	9
21667	Sulfamethoxazole-Trimethoprim 400-80 MG Oral Tablet	9
12611	Allopurinol 100 MG Oral Tablet	9
15161	Digoxin 0.125 MG Oral Tablet	9
29025	Aricept 5 MG Oral Tablet	9
19707	Levothyroxine Sodium 88 MCG Oral Tablet	9
21669	SulfaSALAzine 500 MG Oral Tablet	9
24311	Singulair 5 MG Oral Tablet Chewable	9
133926	One Touch Ultra Test Strips	9
15716	Levothyroxine Sodium 100 MCG Oral Tablet	9
130954	Lyrica 150 MG Oral Capsule	9
29344	Hydrocodone-Acetaminophen 10-500 MG Oral Tablet	9
130743	Revatio 20 MG Oral Tablet	9
114885	Hydrocodone-Acetaminophen 7.5-500 MG/15ML Oral Solution	9
111273	PARoxetine HCl 40 MG Oral Tablet	9
101025	NuvaRing 0.12-0.015 MG/24HR Vaginal Ring	9
136285	Guaifenesin-Codeine 100-10 MG/5ML Oral Syrup	9
100254	Lisinopril 40 MG Oral Tablet	9
136143	AmLODIPine Besylate 2.5 MG Oral Tablet	9
22550	Bactroban Nasal 2 % Nasal Ointment	9
98453	Detrol LA 4 MG Oral Capsule Extended Release 24 Hour	8
20304	DiphenhydrAMINE HCl 12.5 MG/5ML Oral Liquid	8
150156	SUMAtriptan Succinate 100 MG Oral Tablet	8
146632	Budeprion XL 150 MG Oral Tablet Extended Release 24 Hour	8
24777	Isosorbide Mononitrate CR 60 MG Oral Tablet Extended Release 24 Hour	8
17153	HumuLIN N 100 UNIT/ML Subcutaneous Suspension	8
98043	Lipitor 80 MG Oral Tablet	8
23203	Lipitor 10 MG Oral Tablet	8
99670	NovoLOG 100 UNIT/ML Subcutaneous Solution	8
149946	Budesonide 0.5 MG/2ML Inhalation Suspension	8
98870	Lantus 100 UNIT/ML Subcutaneous Solution	8
139111	Fluticasone Propionate Powder	8
139527	Alendronate Sodium 70 MG Oral Tablet	8
98498	OneTouch Ultra Blue In Vitro Strip	8
137674	Lantus SoloStar 100 UNIT/ML Subcutaneous Solution	8
115372	Namenda 5 MG Oral Tablet	8
17181	Hydrocortisone 1 % External Ointment	8
22931	ZyPREXA 5 MG Oral Tablet	8
18971	NovoLIN N 100 UNIT/ML Subcutaneous Suspension	8
137028	Symbicort 160-4.5 MCG/ACT Inhalation Aerosol	8
18823	Triamcinolone Acetonide 0.1 % External Ointment	8
147566	Divalproex Sodium 500 MG Oral Tablet Delayed Release	8
139202	Ramipril 10 MG Oral Capsule	8
136973	Cefdinir 125 MG/5ML Oral Suspension Reconstituted	8
134231	Azithromycin 1 GM Oral Packet	8
104295	Hydrocodone-Acetaminophen 7.5-325 MG Oral Tablet	8
158461	Venlafaxine HCl 75 MG Oral Capsule Extended Release 24 Hour	8
13067	Aspirin 325 MG Oral Tablet	8
133677	Levemir FlexPen 100 UNIT/ML Subcutaneous Solution	8
27138	Potassium Chloride CR 10 MEQ Oral Capsule Extended Release	8
109940	FreeStyle Lancets Miscellaneous	8
15152	Dicyclomine HCl 20 MG Oral Tablet	8
123137	Allegra-D 12 Hour 60-120 MG TB12	8
26398	Fluconazole 100 MG Oral Tablet	8
12616	ALPRAZolam 0.25 MG Oral Tablet	8
154640	ValACYclovir HCl 500 MG Oral Tablet	8
128556	VESIcare 10 MG Oral Tablet	8
15242	HydrOXYzine HCl 10 MG/5ML Oral Syrup	8
13546	Benztropine Mesylate 0.5 MG Oral Tablet	8
153592	Colcrys 0.6 MG Oral Tablet	8
153459	Amoxicillin-Pot Clavulanate 250-62.5 MG/5ML Oral Suspension Reconstituted	8
30328	Viagra 100 MG Oral Tablet	8
133226	SEROquel 400 MG Oral Tablet	8
111272	PARoxetine HCl 10 MG Oral Tablet	8
97546	Calcitriol 0.5 MCG Oral Capsule	8
28508	Amitriptyline HCl Powder	8
30847	Provigil 100 MG Oral Tablet	8
14658	Ferrous Sulfate 325 (65 Fe) MG Oral Tablet	7
154655	ValACYclovir HCl 1 GM Oral Tablet	7
14750	Fluocinonide 0.05 % External Cream	7
23482	Patanol 0.1 % Ophthalmic Solution	7
150158	SUMAtriptan Succinate 50 MG Oral Tablet	7
154465	Fexofenadine-Pseudoephedrine 60-120 MG TB12	7
27402	LaMICtal 200 MG Oral Tablet	7
18388	Metoprolol Tartrate 50 MG Oral Tablet	7
105252	Lancets Miscellaneous	7
114284	Prevacid SoluTab 30 MG Oral Tablet Dispersible	7
15243	HydrOXYzine HCl 10 MG Oral Tablet	7
134037	Simvastatin 20 MG Oral Tablet	7
146989	RisperiDONE 3 MG Oral Tablet	7
152658	LaMICtal XR 200 MG Oral Tablet Extended Release 24 Hour	7
115348	"Pen Needles 5/16\31G X 8 MM Miscellaneous"""	7
31712	Singulair 4 MG Oral Tablet Chewable	7
155415	Vagifem 10 MCG Vaginal Tablet	7
19316	Oxybutynin Chloride 5 MG Oral Tablet	7
2825	Nitrostat 0.4 MG Sublingual Tablet Sublingual	7
3323	Premarin 0.3 MG Oral Tablet	7
139134	Ramipril 2.5 MG Oral Capsule	7
139201	Ramipril 5 MG Oral Capsule	7
5028	Amoxicillin 125 MG/5ML Oral Suspension Reconstituted	7
5095	Penicillin V Potassium 250 MG Oral Tablet	7
7425	Penicillin V Potassium 250 MG/5ML Oral Solution Reconstituted	7
31483	Tamiflu 75 MG Oral Capsule	7
139281	Bystolic 5 MG Oral Tablet	7
19698	Ibuprofen 100 MG/5ML Oral Suspension	7
158325	Azelastine HCl 137 MCG/SPRAY Nasal Solution	7
128624	Tricor 145 MG Oral Tablet	7
29840	Pentoxifylline CR 400 MG Oral Tablet Extended Release	7
109771	OneTouch Lancets Miscellaneous	7
137617	Terbinafine HCl 1 % External Cream	7
108781	BD Pen Needle Short U/F 31G X 8 MM Miscellaneous	7
99958	FreeStyle Test In Vitro Strip	7
137205	Lovaza 1 GM Oral Capsule	7
113420	Hydrocortisone 2.5 % Rectal Cream	7
22788	HumaLOG 100 UNIT/ML Subcutaneous Solution	7
152650	LaMICtal XR 100 MG Oral Tablet Extended Release 24 Hour	7
100277	TiZANidine HCl 4 MG Oral Tablet	7
20598	Saline Nasal Spray 0.65 % Nasal Solution	7
25922	Triamcinolone Acetonide 40 MG/ML Injection Suspension	7
16016	Methocarbamol 500 MG Oral Tablet	7
17915	Sodium Bicarbonate 650 MG Oral Tablet	7
135464	Ondansetron HCl 4 MG Oral Tablet	7
16825	GlyBURIDE 5 MG Oral Tablet	7
151461	Vimpat 50 MG Oral Tablet	7
134088	Simvastatin 80 MG Oral Tablet	7
115214	NIFEdipine CR Osmotic 90 MG Oral Tablet Extended Release 24 Hour	7
25920	Triamcinolone Acetonide 0.5 % External Cream	7
16963	Haloperidol 10 MG Oral Tablet	7
26405	GlyBURIDE 2.5 MG Oral Tablet	7
152095	Nuvigil 150 MG Oral Tablet	7
16124	MetroNIDAZOLE 250 MG Oral Tablet	7
17839	Levothyroxine Sodium 25 MCG Oral Tablet	7
150127	SEROquel XR 50 MG Oral Tablet Extended Release 24 Hour	7
135441	Ondansetron 4 MG Oral Tablet Dispersible	6
19529	BuPROPion HCl 75 MG Oral Tablet	6
141765	Pen Needles 31G X 8 MM Miscellaneous	6
123263	Terconazole 0.4 % Vaginal Cream	6
108640	Captopril Powder	6
26216	Warfarin Sodium 10 MG Oral Tablet	6
14580	Erythromycin 5 MG/GM Ophthalmic Ointment	6
97663	BusPIRone HCl 15 MG Oral Tablet	6
19512	Acyclovir 400 MG Oral Tablet	6
128474	NIFEdipine 30 MG Oral Tablet Extended Release 24 Hour	6
156854	Losartan Potassium 25 MG Oral Tablet	6
151778	PrednisoLONE 15 MG/5ML Oral Solution	6
22933	ZyPREXA 10 MG Oral Tablet	6
156699	EpiPen 2-Pak 0.3 MG/0.3ML Injection Device	6
137098	Cefdinir 250 MG/5ML Oral Suspension Reconstituted	6
30327	Viagra 50 MG Oral Tablet	6
113746	Prevacid SoluTab 15 MG Oral Tablet Dispersible	6
99096	Yasmin 28 3-0.03 MG Oral Tablet	6
113899	Crestor 10 MG Oral Tablet	6
158818	Aricept 23 MG Oral Tablet	6
115549	Namenda Titration Pak 5 (28)-10 (21) MG Oral Tablet	6
156874	Losartan Potassium 50 MG Oral Tablet	6
100298	Lisinopril-Hydrochlorothiazide 10-12.5 MG Oral Tablet	6
19705	Labetalol HCl 200 MG Oral Tablet	6
30150	Tobi 300 MG/5ML Inhalation Nebulization Solution	6
158411	Venlafaxine HCl 150 MG Oral Capsule Extended Release 24 Hour	6
151172	Loratadine-Pseudoephedrine 10-240 MG Oral Tablet Extended Release 24 Hour	6
115123	NIFEdipine CR Osmotic 30 MG Oral Tablet Extended Release 24 Hour	6
151165	Divalproex Sodium 250 MG Oral Tablet Extended Release 24 Hour	6
98649	Epidrin 325-65-100 MG Oral Capsule	6
12819	Antipyrine-Benzocaine 5.4-1.4 % Otic Solution	6
130948	Glimepiride 2 MG Oral Tablet	6
29913	Melatonin 5 MG Oral Capsule	6
112319	Vigamox 0.5 % Ophthalmic Solution	6
17218	Prochlorperazine Maleate 10 MG Oral Tablet	6
31482	Prometrium 200 MG Oral Capsule	6
130768	Accu-Chek Multiclix Lancets Miscellaneous	6
138106	Carvedilol 12.5 MG Oral Tablet	6
22154	Suprax 400 MG Oral Tablet	6
151443	Vimpat 200 MG Oral Tablet	6
111400	Relpax 40 MG Oral Tablet	6
21297	Spironolactone Powder	6
158782	Enoxaparin Sodium 40 MG/0.4ML Subcutaneous Solution	6
139219	HumaLOG KwikPen 100 UNIT/ML Subcutaneous Solution	6
26347	Carbidopa-Levodopa 25-100 MG Oral Tablet	6
14249	DiphenhydrAMINE HCl 25 MG Oral Tablet	6
15142	Diazepam 10 MG Oral Tablet	6
31136	Actos 30 MG Oral Tablet	6
147553	Divalproex Sodium 125 MG Oral Tablet Delayed Release	6
19708	Levothyroxine Sodium 112 MCG Oral Tablet	6
15143	Diazepam 2 MG Oral Tablet	6
15775	LORazepam 2 MG Oral Tablet	6
139104	Renvela 800 MG Oral Tablet	6
18386	Metoclopramide HCl 5 MG Oral Tablet	6
15151	Dicyclomine HCl 10 MG Oral Capsule	6
133920	NPH Insulin	6
25188	Actos 15 MG Oral Tablet	6
26620	Meclizine HCl 25 MG Oral Tablet	6
122541	Glycopyrrolate 1 MG Oral Tablet	6
138361	Corvite 150 150-1.25 MG Oral Tablet	6
133947	Loratadine 5 MG/5ML Oral Syrup	6
146658	Glumetza 1000 MG Oral Tablet Extended Release 24 Hour	6
114843	Spiriva HandiHaler 18 MCG Inhalation Capsule	6
26422	Ketoconazole 200 MG Oral Tablet	6
15285	DiphenhydrAMINE HCl 12.5 MG/5ML Oral Elixir	6
153209	Bayer Contour Test In Vitro Strip	6
15337	Indomethacin 25 MG Oral Capsule	6
101566	Sprintec 28 0.25-35 MG-MCG Oral Tablet	6
114719	Propranolol HCl CR 80 MG Oral Capsule Extended Release 24 Hour	6
134009	Azithromycin 100 MG/5ML Oral Suspension Reconstituted	6
101357	SMZ-TMP DS 800-160 MG Oral Tablet	6
123302	Gabapentin 400 MG Oral Capsule	6
12612	Allopurinol 300 MG Oral Tablet	6
154435	Amphetamine-Dextroamphetamine 20 MG Oral Tablet	6
21160	OneTouch Test In Vitro Strip	6
19136	Nystatin 100000 UNIT/ML Mouth/Throat Suspension	6
134185	Seasonique 0.15-0.03 &0.01 MG Oral Tablet	6
97556	Doxazosin Mesylate 2 MG Oral Tablet	6
139118	Cetirizine HCl 10 MG Oral Tablet	6
18961	Nortriptyline HCl 10 MG Oral Capsule	6
114165	Crestor 20 MG Oral Tablet	6
133323	NexAVAR 200 MG Oral Tablet	6
100284	Torsemide 20 MG Oral Tablet	6
150157	SUMAtriptan Succinate 25 MG Oral Tablet	6
97562	Enalapril Maleate 2.5 MG Oral Tablet	6
150128	SEROquel XR 150 MG Oral Tablet Extended Release 24 Hour	6
97563	Enalapril Maleate 20 MG Oral Tablet	6
