medication_definition_id	medication	problem_definition_id	problem	patient_link_frequency	link_ratio	rxcui	ingredient_rxcui	ingredient_name	doid_code	doid_name
1341	Erythromycin Ethylsuccinate 400 MG Oral Tablet	62760	Acute Pharyngitis	2	1	686405	4053	Erythromycin	DOID:2275	acute pharyngitis
1360	EryPed 200 200 MG/5ML Oral Suspension Reconstituted	64748	Gastroparesis	13	1	686402	4053	Erythromycin	DOID:11914	gastroparesis
1861	Ibuprofen 600 MG Oral Tablet	64501	Pleurisy	2	0.666667	197806	5640	Ibuprofen	DOID:10247	pleurisy
1861	Ibuprofen 600 MG Oral Tablet	70027	Folliculitis	2	0.2	197806	5640	Ibuprofen	DOID:4409	folliculitis
1861	Ibuprofen 600 MG Oral Tablet	70455	Rheumatoid Arthritis	6	0.375	197806	5640	Ibuprofen	DOID:7148	rheumatoid arthritis
1861	Ibuprofen 600 MG Oral Tablet	70472	Systemic Lupus Erythematosus	3	0.272727	197806	5640	Ibuprofen	DOID:9074	systemic lupus erythematosus
1861	Ibuprofen 600 MG Oral Tablet	70505	Plantar Fasciitis	3	0.428571	197806	5640	Ibuprofen	DOID:9600	plantar fasciitis
1861	Ibuprofen 600 MG Oral Tablet	74315	Carpal Tunnel Syndrome	3	0.230769	197806	5640	Ibuprofen	DOID:12169	carpal tunnel syndrome
1861	Ibuprofen 600 MG Oral Tablet	76835	HIV Infection	2	0.2	197806	5640	Ibuprofen	DOID:526	HIV infection
1861	Ibuprofen 600 MG Oral Tablet	257996	Arthritis	4	0.133333	197806	5640	Ibuprofen	DOID:848	arthritis
1861	Ibuprofen 600 MG Oral Tablet	282672	Venous Insufficiency	5	0.3125	197806	5640	Ibuprofen	DOID:10128	venous insufficiency
1862	Ibuprofen 800 MG Oral Tablet	64501	Pleurisy	2	0.4	197807	5640	Ibuprofen	DOID:10247	pleurisy
1862	Ibuprofen 800 MG Oral Tablet	70146	Osteoarthritis	7	0.318182	197807	5640	Ibuprofen	DOID:8398	osteoarthritis
1862	Ibuprofen 800 MG Oral Tablet	70455	Rheumatoid Arthritis	8	0.444444	197807	5640	Ibuprofen	DOID:7148	rheumatoid arthritis
1862	Ibuprofen 800 MG Oral Tablet	70505	Plantar Fasciitis	4	0.363636	197807	5640	Ibuprofen	DOID:9600	plantar fasciitis
1862	Ibuprofen 800 MG Oral Tablet	73564	Lateral Epicondylitis	2	0.333333	197807	5640	Ibuprofen	DOID:14087	Lateral epicondylitis
1862	Ibuprofen 800 MG Oral Tablet	74315	Carpal Tunnel Syndrome	3	0.1875	197807	5640	Ibuprofen	DOID:12169	carpal tunnel syndrome
2107	Lasix 20 MG Oral Tablet	63470	Benign Essential Hypertension	3	0.214286	200801	4603	Furosemide	DOID:10913	benign essential hypertension
2713	Naproxen 250 MG Oral Tablet	70146	Osteoarthritis	2	0.285714	198013	7258	Naproxen	DOID:8398	osteoarthritis
2713	Naproxen 250 MG Oral Tablet	70455	Rheumatoid Arthritis	3	0.6	198013	7258	Naproxen	DOID:7148	rheumatoid arthritis
2713	Naproxen 250 MG Oral Tablet	257996	Arthritis	3	0.375	198013	7258	Naproxen	DOID:848	arthritis
2716	Naproxen 500 MG Oral Tablet	70146	Osteoarthritis	17	0.34	198014	7258	Naproxen	DOID:8398	osteoarthritis
2716	Naproxen 500 MG Oral Tablet	70384	Gout	9	0.264706	198014	7258	Naproxen	DOID:13189	gout
2716	Naproxen 500 MG Oral Tablet	70455	Rheumatoid Arthritis	56	0.682927	198014	7258	Naproxen	DOID:7148	rheumatoid arthritis
2716	Naproxen 500 MG Oral Tablet	70472	Systemic Lupus Erythematosus	6	0.461538	198014	7258	Naproxen	DOID:9074	systemic lupus erythematosus
2716	Naproxen 500 MG Oral Tablet	70478	Sjogren's Syndrome	2	0.285714	198014	7258	Naproxen	DOID:12894	Sjogren's syndrome
2716	Naproxen 500 MG Oral Tablet	70500	Polymyalgia Rheumatica	2	0.25	198014	7258	Naproxen	DOID:853	polymyalgia rheumatica
2716	Naproxen 500 MG Oral Tablet	70706	Ankylosing Spondylitis	10	0.714286	198014	7258	Naproxen	DOID:7147	ankylosing spondylitis
2716	Naproxen 500 MG Oral Tablet	70722	Spondylitis	2	0.666667	198014	7258	Naproxen	DOID:6590	spondylitis
2716	Naproxen 500 MG Oral Tablet	73597	Bursitis	2	0.4	198014	7258	Naproxen	DOID:2965	bursitis
2716	Naproxen 500 MG Oral Tablet	257996	Arthritis	12	0.141176	198014	7258	Naproxen	DOID:848	arthritis
2716	Naproxen 500 MG Oral Tablet	288977	Fibromyalgia	3	0.1875	198014	7258	Naproxen	DOID:631	fibromyalgia
2825	Nitrostat 0.4 MG Sublingual Tablet Sublingual	62975	Coronary Artery Disease	82	0.602941	207346	4917	Nitroglycerin	DOID:3393	coronary artery disease
2825	Nitrostat 0.4 MG Sublingual Tablet Sublingual	62978	Coronary Arteriosclerosis	5	0.3125	207346	4917	Nitroglycerin	DOID:3393	coronary arteriosclerosis
2825	Nitrostat 0.4 MG Sublingual Tablet Sublingual	63217	Congestive Heart Failure	6	0.166667	207346	4917	Nitroglycerin	DOID:6000	congestive heart failure
2827	Nitrostat 0.3 MG Sublingual Tablet Sublingual	62975	Coronary Artery Disease	2	1	207331	4917	Nitroglycerin	DOID:3393	coronary artery disease
3316	PredniSONE 10 MG Oral Tablet	62586	Chronic Maxillary Sinusitis	44	0.333333	198145	8640	Prednisone	DOID:10792	chronic maxillary sinusitis
3316	PredniSONE 10 MG Oral Tablet	62587	Chronic Frontal Sinusitis	29	0.235772	198145	8640	Prednisone	DOID:10790	chronic frontal sinusitis
3316	PredniSONE 10 MG Oral Tablet	62588	Chronic Ethmoidal Sinusitis	90	0.56962	198145	8640	Prednisone	DOID:9312	chronic ethmoidal sinusitis
3316	PredniSONE 10 MG Oral Tablet	64181	Asthma	13	0.0755814	198145	8640	Prednisone	DOID:2841	asthma
3316	PredniSONE 10 MG Oral Tablet	64205	Chronic Obstructive Pulmonary Disease	11	0.268293	198145	8640	Prednisone	DOID:3083	chronic obstructive pulmonary disease
3316	PredniSONE 10 MG Oral Tablet	64294	Pulmonary Fibrosis	5	0.416667	198145	8640	Prednisone	DOID:3770	pulmonary fibrosis
3316	PredniSONE 10 MG Oral Tablet	64980	Crohn's Disease	8	0.571429	198145	8640	Prednisone	DOID:8778	Crohn's disease
3316	PredniSONE 10 MG Oral Tablet	65041	Ulcerative Colitis	5	0.625	198145	8640	Prednisone	DOID:8577	ulcerative colitis
3316	PredniSONE 10 MG Oral Tablet	65674	Nephrotic Syndrome	4	0.8	198145	8640	Prednisone	DOID:1184	nephrotic syndrome
3316	PredniSONE 10 MG Oral Tablet	70384	Gout	7	0.388889	198145	8640	Prednisone	DOID:13189	gout
3316	PredniSONE 10 MG Oral Tablet	70455	Rheumatoid Arthritis	23	0.46	198145	8640	Prednisone	DOID:7148	rheumatoid arthritis
3316	PredniSONE 10 MG Oral Tablet	70472	Systemic Lupus Erythematosus	28	0.491228	198145	8640	Prednisone	DOID:9074	systemic lupus erythematosus
3316	PredniSONE 10 MG Oral Tablet	70475	Scleroderma	9	0.36	198145	8640	Prednisone	DOID:418	Scleroderma
3316	PredniSONE 10 MG Oral Tablet	70475	Scleroderma	9	0.36	198145	8640	Prednisone	DOID:419	scleroderma
3316	PredniSONE 10 MG Oral Tablet	70500	Polymyalgia Rheumatica	2	0.222222	198145	8640	Prednisone	DOID:853	polymyalgia rheumatica
3316	PredniSONE 10 MG Oral Tablet	70620	Sarcoidosis	12	0.545455	198145	8640	Prednisone	DOID:11335	sarcoidosis
3316	PredniSONE 10 MG Oral Tablet	70638	Temporal Arteritis	4	0.8	198145	8640	Prednisone	DOID:13375	temporal arteritis
3316	PredniSONE 10 MG Oral Tablet	70640	Wegener's Granulomatosis	6	0.75	198145	8640	Prednisone	DOID:12132	Wegener's granulomatosis
3316	PredniSONE 10 MG Oral Tablet	75125	Multiple Sclerosis	4	0.210526	198145	8640	Prednisone	DOID:2377	multiple sclerosis
3316	PredniSONE 10 MG Oral Tablet	75733	Myasthenia Gravis	2	0.285714	198145	8640	Prednisone	DOID:437	myasthenia gravis
3316	PredniSONE 10 MG Oral Tablet	77265	Phaehyphomycosis	4	0.363636	198145	8640	Prednisone	DOID:14049	phaehyphomycosis
3316	PredniSONE 10 MG Oral Tablet	278812	Prostate Cancer	2	0.285714	198145	8640	Prednisone	DOID:10283	prostate cancer
3317	PredniSONE 2.5 MG Oral Tablet	62588	Chronic Ethmoidal Sinusitis	6	0.857143	198146	8640	Prednisone	DOID:9312	chronic ethmoidal sinusitis
3317	PredniSONE 2.5 MG Oral Tablet	70146	Osteoarthritis	2	0.285714	198146	8640	Prednisone	DOID:8398	osteoarthritis
3317	PredniSONE 2.5 MG Oral Tablet	70455	Rheumatoid Arthritis	35	0.76087	198146	8640	Prednisone	DOID:7148	rheumatoid arthritis
3317	PredniSONE 2.5 MG Oral Tablet	70461	Juvenile Rheumatoid Arthritis	2	1	198146	8640	Prednisone	DOID:676	juvenile rheumatoid arthritis
3317	PredniSONE 2.5 MG Oral Tablet	70472	Systemic Lupus Erythematosus	21	0.75	198146	8640	Prednisone	DOID:9074	systemic lupus erythematosus
3317	PredniSONE 2.5 MG Oral Tablet	70474	Mixed Connective Tissue Disease	2	0.666667	198146	8640	Prednisone	DOID:3492	mixed connective tissue disease
3317	PredniSONE 2.5 MG Oral Tablet	70475	Scleroderma	2	0.222222	198146	8640	Prednisone	DOID:418	Scleroderma
3317	PredniSONE 2.5 MG Oral Tablet	70475	Scleroderma	2	0.222222	198146	8640	Prednisone	DOID:419	scleroderma
3317	PredniSONE 2.5 MG Oral Tablet	70500	Polymyalgia Rheumatica	12	0.75	198146	8640	Prednisone	DOID:853	polymyalgia rheumatica
3317	PredniSONE 2.5 MG Oral Tablet	70620	Sarcoidosis	4	0.8	198146	8640	Prednisone	DOID:11335	sarcoidosis
3317	PredniSONE 2.5 MG Oral Tablet	70638	Temporal Arteritis	4	0.8	198146	8640	Prednisone	DOID:13375	temporal arteritis
3317	PredniSONE 2.5 MG Oral Tablet	70640	Wegener's Granulomatosis	3	0.75	198146	8640	Prednisone	DOID:12132	Wegener's granulomatosis
3319	PredniSONE 5 MG Oral Tablet	61770	Panuveitis	2	1	312617	8640	Prednisone	DOID:12030	panuveitis
3319	PredniSONE 5 MG Oral Tablet	62588	Chronic Ethmoidal Sinusitis	11	0.578947	312617	8640	Prednisone	DOID:9312	chronic ethmoidal sinusitis
3319	PredniSONE 5 MG Oral Tablet	64205	Chronic Obstructive Pulmonary Disease	5	0.138889	312617	8640	Prednisone	DOID:3083	chronic obstructive pulmonary disease
3319	PredniSONE 5 MG Oral Tablet	65674	Nephrotic Syndrome	6	0.545455	312617	8640	Prednisone	DOID:1184	nephrotic syndrome
3319	PredniSONE 5 MG Oral Tablet	69214	Hypopituitarism	4	0.666667	312617	8640	Prednisone	DOID:9406	hypopituitarism
3319	PredniSONE 5 MG Oral Tablet	69941	Urticaria	2	0.285714	312617	8640	Prednisone	DOID:1555	urticaria
3319	PredniSONE 5 MG Oral Tablet	70146	Osteoarthritis	6	0.171429	312617	8640	Prednisone	DOID:8398	osteoarthritis
3319	PredniSONE 5 MG Oral Tablet	70384	Gout	21	0.446809	312617	8640	Prednisone	DOID:13189	gout
3319	PredniSONE 5 MG Oral Tablet	70406	Pseudogout	2	0.4	312617	8640	Prednisone	DOID:1156	pseudogout
3319	PredniSONE 5 MG Oral Tablet	70455	Rheumatoid Arthritis	246	0.766355	312617	8640	Prednisone	DOID:7148	rheumatoid arthritis
3319	PredniSONE 5 MG Oral Tablet	70461	Juvenile Rheumatoid Arthritis	4	0.8	312617	8640	Prednisone	DOID:676	juvenile rheumatoid arthritis
3319	PredniSONE 5 MG Oral Tablet	70472	Systemic Lupus Erythematosus	118	0.732919	312617	8640	Prednisone	DOID:9074	systemic lupus erythematosus
3319	PredniSONE 5 MG Oral Tablet	70474	Mixed Connective Tissue Disease	4	0.5	312617	8640	Prednisone	DOID:3492	mixed connective tissue disease
3319	PredniSONE 5 MG Oral Tablet	70475	Scleroderma	52	0.619048	312617	8640	Prednisone	DOID:418	Scleroderma
3319	PredniSONE 5 MG Oral Tablet	70475	Scleroderma	52	0.619048	312617	8640	Prednisone	DOID:419	scleroderma
3319	PredniSONE 5 MG Oral Tablet	70476	CREST Syndrome	6	0.6	312617	8640	Prednisone	DOID:0060218	CREST syndrome
3319	PredniSONE 5 MG Oral Tablet	70478	Sjogren's Syndrome	22	0.385965	312617	8640	Prednisone	DOID:12894	Sjogren's syndrome
3319	PredniSONE 5 MG Oral Tablet	70479	Sicca Syndrome	6	0.333333	312617	8640	Prednisone	DOID:12894	Sicca syndrome
3319	PredniSONE 5 MG Oral Tablet	70500	Polymyalgia Rheumatica	38	0.716981	312617	8640	Prednisone	DOID:853	polymyalgia rheumatica
3319	PredniSONE 5 MG Oral Tablet	70550	Relapsing Polychondritis	5	0.714286	312617	8640	Prednisone	DOID:2556	relapsing polychondritis
3319	PredniSONE 5 MG Oral Tablet	70620	Sarcoidosis	13	0.590909	312617	8640	Prednisone	DOID:11335	sarcoidosis
3319	PredniSONE 5 MG Oral Tablet	70638	Temporal Arteritis	6	0.545455	312617	8640	Prednisone	DOID:13375	temporal arteritis
3319	PredniSONE 5 MG Oral Tablet	70640	Wegener's Granulomatosis	9	0.75	312617	8640	Prednisone	DOID:12132	Wegener's granulomatosis
3319	PredniSONE 5 MG Oral Tablet	70664	Takayasu's Disease	5	1	312617	8640	Prednisone	DOID:2508	Takayasu's disease
3319	PredniSONE 5 MG Oral Tablet	70706	Ankylosing Spondylitis	3	0.75	312617	8640	Prednisone	DOID:7147	ankylosing spondylitis
3319	PredniSONE 5 MG Oral Tablet	74290	Palindromic Rheumatism	2	0.666667	312617	8640	Prednisone	DOID:1166	palindromic rheumatism
3319	PredniSONE 5 MG Oral Tablet	75594	Spinal Stenosis	2	0.285714	312617	8640	Prednisone	DOID:6725	spinal stenosis
3319	PredniSONE 5 MG Oral Tablet	75733	Myasthenia Gravis	7	0.583333	312617	8640	Prednisone	DOID:437	myasthenia gravis
3319	PredniSONE 5 MG Oral Tablet	77910	Thrombocytopenia	2	0.4	312617	8640	Prednisone	DOID:1588	thrombocytopenia
3319	PredniSONE 5 MG Oral Tablet	93705	Dermatitis	2	0.222222	312617	8640	Prednisone	DOID:2723	dermatitis
3319	PredniSONE 5 MG Oral Tablet	257996	Arthritis	13	0.173333	312617	8640	Prednisone	DOID:848	arthritis
3319	PredniSONE 5 MG Oral Tablet	278350	Eczema	2	0.2	312617	8640	Prednisone	DOID:2723	eczema
3319	PredniSONE 5 MG Oral Tablet	288804	Encephalitis	2	0.5	312617	8640	Prednisone	DOID:9588	encephalitis
3319	PredniSONE 5 MG Oral Tablet	297053	Reactive Arthritis	3	0.75	312617	8640	Prednisone	DOID:6196	reactive arthritis
3323	Premarin 0.3 MG Oral Tablet	67803	Turner Syndrome	2	0.5	208513	4099	Estrogens, Conjugated (USP)	DOID:3491	Turner syndrome
3323	Premarin 0.3 MG Oral Tablet	69214	Hypopituitarism	2	0.666667	208513	4099	Estrogens, Conjugated (USP)	DOID:9406	hypopituitarism
3325	Premarin 0.625 MG Oral Tablet	67803	Turner Syndrome	3	0.75	150840	4099	Estrogens, Conjugated (USP)	DOID:3491	Turner syndrome
3325	Premarin 0.625 MG Oral Tablet	69214	Hypopituitarism	3	1	150840	4099	Estrogens, Conjugated (USP)	DOID:9406	hypopituitarism
3448	Propranolol HCl 40 MG Oral Tablet	63467	Hypertension	7	0.28	856519	8787	Propranolol	DOID:10763	hypertension
3448	Propranolol HCl 40 MG Oral Tablet	63470	Benign Essential Hypertension	2	0.2	856519	8787	Propranolol	DOID:10913	benign essential hypertension
3448	Propranolol HCl 40 MG Oral Tablet	69231	Hyperthyroidism	3	0.333333	856519	8787	Propranolol	DOID:7998	hyperthyroidism
3450	Propranolol HCl 80 MG Oral Tablet	63467	Hypertension	5	0.384615	856578	8787	Propranolol	DOID:10763	hypertension
3866	Synthroid 50 MCG Oral Tablet	69214	Hypopituitarism	3	0.75	966247	10582	levothyroxine	DOID:9406	hypopituitarism
3866	Synthroid 50 MCG Oral Tablet	69258	Hypothyroidism	61	0.417808	966247	10582	levothyroxine	DOID:1459	hypothyroidism
3866	Synthroid 50 MCG Oral Tablet	69266	Congenital Hypothyroidism	10	0.714286	966247	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
3866	Synthroid 50 MCG Oral Tablet	69283	Hashimoto's Thyroiditis	2	0.333333	966247	10582	levothyroxine	DOID:7188	Hashimoto's thyroiditis
3869	Synthroid 100 MCG Oral Tablet	69231	Hyperthyroidism	2	0.2	966250	10582	levothyroxine	DOID:7998	hyperthyroidism
3869	Synthroid 100 MCG Oral Tablet	69258	Hypothyroidism	55	0.443548	966250	10582	levothyroxine	DOID:1459	hypothyroidism
3869	Synthroid 100 MCG Oral Tablet	69266	Congenital Hypothyroidism	3	0.6	966250	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
3869	Synthroid 100 MCG Oral Tablet	69283	Hashimoto's Thyroiditis	2	0.4	966250	10582	levothyroxine	DOID:7188	Hashimoto's thyroiditis
3870	Synthroid 125 MCG Oral Tablet	69258	Hypothyroidism	52	0.464286	966191	10582	levothyroxine	DOID:1459	hypothyroidism
3870	Synthroid 125 MCG Oral Tablet	69266	Congenital Hypothyroidism	4	0.8	966191	10582	levothyroxine	DOID:0050328	congenital hypothyroidism
3871	Synthroid 150 MCG Oral Tablet	69258	Hypothyroidism	19	0.372549	966201	10582	levothyroxine	DOID:1459	hypothyroidism
4383	Verapamil HCl 80 MG Oral Tablet	63467	Hypertension	2	0.285714	897683	11170	Verapamil	DOID:10763	hypertension
4630	Verapamil HCl CR 180 MG Oral Tablet Extended Release	63467	Hypertension	3	0.230769	897640	11170	Verapamil	DOID:10763	hypertension
4630	Verapamil HCl CR 180 MG Oral Tablet Extended Release	63468	Essential Hypertension	2	0.5	897640	11170	Verapamil	DOID:10825	essential hypertension
4630	Verapamil HCl CR 180 MG Oral Tablet Extended Release	63470	Benign Essential Hypertension	2	0.5	897640	11170	Verapamil	DOID:10913	benign essential hypertension
4650	Amoxicillin 250 MG Oral Capsule	62365	Acute Nonsuppurative Otitis Media	2	1	308182	723	Amoxicillin	DOID:3697	acute nonsuppurative otitis media
4650	Amoxicillin 250 MG Oral Capsule	65762	Urinary Tract Infection	4	0.5	308182	723	Amoxicillin	DOID:13148	urinary tract infection
4819	Dicloxacillin Sodium 500 MG Oral Capsule	65995	Mastitis	3	0.5	197596	3356	Dicloxacillin	DOID:10690	mastitis
5028	Amoxicillin 125 MG/5ML Oral Suspension Reconstituted	62343	Otitis Media	2	0.2	313797	723	Amoxicillin	DOID:10754	otitis media
5028	Amoxicillin 125 MG/5ML Oral Suspension Reconstituted	65745	Vesicoureteral Reflux	2	0.666667	313797	723	Amoxicillin	DOID:9620	vesicoureteral reflux
5030	Amoxicillin 250 MG/5ML Oral Suspension Reconstituted	62365	Acute Nonsuppurative Otitis Media	3	1	239191	723	Amoxicillin	DOID:3697	acute nonsuppurative otitis media
5030	Amoxicillin 250 MG/5ML Oral Suspension Reconstituted	62577	Sinusitis	2	0.4	239191	723	Amoxicillin	DOID:0050127	sinusitis
5030	Amoxicillin 250 MG/5ML Oral Suspension Reconstituted	63490	Congenital Heart Disease	2	0.2	239191	723	Amoxicillin	DOID:1682	congenital heart disease
5030	Amoxicillin 250 MG/5ML Oral Suspension Reconstituted	65762	Urinary Tract Infection	5	0.454545	239191	723	Amoxicillin	DOID:13148	urinary tract infection
5095	Penicillin V Potassium 250 MG Oral Tablet	62760	Acute Pharyngitis	10	0.833333	834061	7984	Penicillin V	DOID:2275	acute pharyngitis
5095	Penicillin V Potassium 250 MG Oral Tablet	62817	Dentoalveolar Abscess	2	1	834061	7984	Penicillin V	DOID:2562	Dentoalveolar abscess
5095	Penicillin V Potassium 250 MG Oral Tablet	78011	Sickle Cell Anemia	3	0.375	834061	7984	Penicillin V	DOID:10923	sickle cell anemia
5097	Penicillin V Potassium 500 MG Oral Tablet	62759	Pharyngitis	2	0.4	834102	7984	Penicillin V	DOID:2275	pharyngitis
5097	Penicillin V Potassium 500 MG Oral Tablet	62760	Acute Pharyngitis	6	0.5	834102	7984	Penicillin V	DOID:2275	acute pharyngitis
5097	Penicillin V Potassium 500 MG Oral Tablet	62807	Acute Periodontitis	2	1	834102	7984	Penicillin V	DOID:10423	acute periodontitis
5602	Hydrochlorothiazide 50 MG Oral Tablet	63467	Hypertension	20	0.425532	197770	5487	Hydrochlorothiazide	DOID:10763	hypertension
5602	Hydrochlorothiazide 50 MG Oral Tablet	63468	Essential Hypertension	9	0.391304	197770	5487	Hydrochlorothiazide	DOID:10825	essential hypertension
5602	Hydrochlorothiazide 50 MG Oral Tablet	63470	Benign Essential Hypertension	11	0.5	197770	5487	Hydrochlorothiazide	DOID:10913	benign essential hypertension
5602	Hydrochlorothiazide 50 MG Oral Tablet	65662	Nephrolithiasis	2	1	197770	5487	Hydrochlorothiazide	DOID:585	nephrolithiasis
6544	Suprax 100 MG/5ML Oral Suspension Reconstituted	65762	Urinary Tract Infection	11	0.647059	1373016	25033	Cefixime	DOID:13148	urinary tract infection
7425	Penicillin V Potassium 250 MG/5ML Oral Solution Reconstituted	62760	Acute Pharyngitis	2	0.285714	834040	7984	Penicillin V	DOID:2275	acute pharyngitis
11910	Afrin Nasal Spray 0.05 % Nasal Solution	62598	Allergic Rhinitis	2	0.4	1000992	7812	Oxymetazoline	DOID:4481	allergic rhinitis
12340	Acetaminophen 500 MG Oral Tablet	70146	Osteoarthritis	2	0.333333	198440	161	Acetaminophen	DOID:8398	osteoarthritis
12422	Acetaminophen 325 MG Oral Tablet	257996	Arthritis	2	0.25	313782	161	Acetaminophen	DOID:848	arthritis
