problem_definition_id	problem	indications	name_lower	doid	name	type
76536	Generalized Anxiety Disorder	50	generalized anxiety disorder	DOID:14320	generalized anxiety disorder	name
275486	ADHD, Combined Type	50	adhd, combined type			
62578	Acute Sinusitis	50	acute sinusitis			
65762	Urinary Tract Infection	48	urinary tract infection	DOID:13148	urinary tract infection	exact-synonym
61108	Insomnia	46	insomnia			
166777	Constipation	46	constipation	DOID:2089	constipation	name
76306	Episodic Mood Disorders	45	episodic mood disorders			
64205	Chronic Obstructive Pulmonary Disease	45	chronic obstructive pulmonary disease	DOID:3083	chronic obstructive pulmonary disease	name
64205	Chronic Obstructive Pulmonary Disease	45	chronic obstructive pulmonary disease	DOID:3083	CHRONIC OBSTRUCTIVE pulmonary DISEASE	exact-synonym
251528	Acute Otitis Media	44	acute otitis media			
297231	Epilepsy	44	epilepsy	DOID:1826	epilepsy	exact-synonym
76307	Bipolar Disorder	44	bipolar disorder	DOID:3312	bipolar disorder	name
288921	Chronic Pain	43	chronic pain			
69382	Type II Diabetes Mellitus - Uncomplicated, Uncontrolled	43	type ii diabetes mellitus - uncomplicated, uncontrolled			
69606	Acne	42	acne	DOID:6543	acne	name
252566	Partial Complex Seizure	42	partial complex seizure			
60828	Headache	41	headache			
76587	Anxiety Disorder NOS	41	anxiety disorder nos			
75818	Attention-deficit Hyperactivity Disorder	40	attention-deficit hyperactivity disorder			
70112	Atopic Dermatitis	40	atopic dermatitis	DOID:3310	atopic dermatitis	name
70112	Atopic Dermatitis	40	atopic dermatitis	DOID:3310	Atopic dermatitis	exact-synonym
69214	Hypopituitarism	39	hypopituitarism	DOID:9406	hypopituitarism	name
69387	Type I Diabetes Mellitus	38	type i diabetes mellitus	DOID:9744	type I diabetes mellitus	exact-synonym
291485	Dyslipidemia	38	dyslipidemia	DOID:3146	dyslipidemia	exact-synonym
70472	Systemic Lupus Erythematosus	38	systemic lupus erythematosus	DOID:9074	systemic lupus erythematosus	name
69549	Polycystic Ovarian Syndrome	37	polycystic ovarian syndrome			
278812	Prostate Cancer	37	prostate cancer	DOID:10283	prostate cancer	name
257912	Disorder Of Mitochondrial Metabolism	37	disorder of mitochondrial metabolism			
62586	Chronic Maxillary Sinusitis	36	chronic maxillary sinusitis	DOID:10792	chronic maxillary sinusitis	name
251600	Dementia	35	dementia	DOID:1307	dementia	name
74537	Common Migraine (Without Aura)	34	common migraine (without aura)			
76361	Moderate Recurrent Major Depression	34	moderate recurrent major depression			
187792	Gynecologic Services Contraceptive Management	33	gynecologic services contraceptive management			
288977	Fibromyalgia	33	fibromyalgia	DOID:631	fibromyalgia	name
251467	Limb Pain	33	limb pain			
76232	Paranoid Schizophrenia	32	paranoid schizophrenia	DOID:1229	paranoid schizophrenia	name
70146	Osteoarthritis	32	osteoarthritis	DOID:8398	osteoarthritis	name
77962	Anemia	32	anemia	DOID:2355	anemia	name
75001	Partial Complex Psychomotor Seizure	31	partial complex psychomotor seizure			
250989	Oral Contraceptives	31	oral contraceptives			
73666	Backache	31	backache			
62577	Sinusitis	31	sinusitis	DOID:0050127	sinusitis	name
76842	Acquired Immunodeficiency Syndrome (AIDS)	31	acquired immunodeficiency syndrome (aids)			
75819	ADHD, Predominantly Inattentive Type	30	adhd, predominantly inattentive type			
70706	Ankylosing Spondylitis	30	ankylosing spondylitis	DOID:7147	ankylosing spondylitis	name
93705	Dermatitis	30	dermatitis	DOID:2723	dermatitis	name
252570	Partial Complex Seizure With Secondary Generalization With Intractable Seizure	30	partial complex seizure with secondary generalization with intractable seizure			
69401	Diabetes Mellitus Under Control	29	diabetes mellitus under control			
62760	Acute Pharyngitis	28	acute pharyngitis	DOID:2275	acute pharyngitis	exact-synonym
77890	Upper Respiratory Infection	28	upper respiratory infection			
275604	Depression With Anxiety	28	depression with anxiety			
69388	Type I Diabetes Mellitus Uncontrolled	27	type i diabetes mellitus uncontrolled			
283292	Essential Hypercholesterolemia	27	essential hypercholesterolemia			
275592	Post-traumatic Stress Disorder	27	post-traumatic stress disorder	DOID:2055	post-traumatic stress disorder	name
64180	Reactive Airway Disease	26	reactive airway disease			
85623	Joint Pain, Localized In The Knee	26	joint pain, localized in the knee			
69388	Type I Diabetes Mellitus - Uncontrolled	26	type i diabetes mellitus - uncontrolled			
88375	Skin: A Rash	25	skin: a rash			
69710	Contact Dermatitis	25	contact dermatitis	DOID:2773	contact dermatitis	name
62587	Chronic Frontal Sinusitis	25	chronic frontal sinusitis	DOID:10790	chronic frontal sinusitis	name
257996	Arthritis	25	arthritis	DOID:848	arthritis	name
76348	Bipolar II Disorder	25	bipolar ii disorder			
195794	Symptomatic Menopause	24	symptomatic menopause			
70719	Psoriatic Arthropathy	24	psoriatic arthropathy			
80847	Renal Cell Carcinoma	23	renal cell carcinoma	DOID:4450	renal cell carcinoma	name
278685	Arthralgias In Multiple Sites	23	arthralgias in multiple sites			
76537	Panic Disorder Without Agoraphobia	23	panic disorder without agoraphobia			
69341	Osteoporosis	23	osteoporosis	DOID:11476	osteoporosis	name
76363	Major Depression, Recurrent With Psychotic Features	23	major depression, recurrent with psychotic features			
64680	Chronic Reflux Esophagitis	22	chronic reflux esophagitis			
63484	Pulmonary Hypertension	22	pulmonary hypertension	DOID:6432	pulmonary hypertension	name
75812	Myalgia And Myositis	22	myalgia and myositis			
85614	Joint Pain, Localized In The Hip	22	joint pain, localized in the hip			
74534	Classic Migraine (With Aura)	22	classic migraine (with aura)			
69999	Cellulitis	21	cellulitis	DOID:3488	cellulitis	name
60895	Vomiting (Symptom)	21	vomiting (symptom)			
252552	Generalized Convulsive Tonic-clonic Seizure With Intractable Seizure	21	generalized convulsive tonic-clonic seizure with intractable seizure			
62585	Chronic Sinusitis	20	chronic sinusitis			
31947	Lumbago	20	lumbago			
75054	Restless Legs Syndrome	20	restless legs syndrome	DOID:0050425	restless legs syndrome	name
76680	Adjustment Disorder With Anxiety	20	adjustment disorder with anxiety			
283291	Hypercholesterolemia	20	hypercholesterolemia			
76546	Obsessive Compulsive Disorder	20	obsessive compulsive disorder	DOID:10933	obsessive compulsive disorder	exact-synonym
66133	Dysmenorrhea	19	dysmenorrhea			
166748	Asthma With Acute Exacerbation	19	asthma with acute exacerbation			
75020	Alzheimer's Disease	19	alzheimer's disease	DOID:10652	Alzheimer's disease	name
69266	Congenital Hypothyroidism	19	congenital hypothyroidism	DOID:0050328	congenital hypothyroidism	name
67695	Cystic Fibrosis	19	cystic fibrosis	DOID:1485	cystic fibrosis	name
252546	Generalized Convulsive Seizure	19	generalized convulsive seizure			
75032	Vascular Dementia	19	vascular dementia	DOID:8725	vascular dementia	name
64980	Crohn's Disease	19	crohn's disease	DOID:8778	Crohn's disease	name
62580	Acute Maxillary Sinusitis	19	acute maxillary sinusitis	DOID:2050	acute maxillary sinusitis	name
70704	Symmetric Polyarticular Inflammation	18	symmetric polyarticular inflammation			
70124	Tinea Corporis	18	tinea corporis	DOID:12179	tinea corporis	name
70027	Folliculitis	18	folliculitis	DOID:4409	folliculitis	name
61048	Memory Lapses Or Loss	18	memory lapses or loss			
75717	Cervicalgia	18	cervicalgia			
288933	Peripheral Neuropathy	18	peripheral neuropathy	DOID:0060053	peripheral neuropathy	name
87702	Nausea With Vomiting	18	nausea with vomiting			
74990	Convulsive Grand Mal Seizure With Intractable Seizure	18	convulsive grand mal seizure with intractable seizure			
252569	Partial Complex Seizure With Secondary Generalization	17	partial complex seizure with secondary generalization			
63471	Accelerated Essential Hypertension	17	accelerated essential hypertension	DOID:10823	Accelerated essential hypertension	exact-synonym
75929	Mood Disorder Due To General Medical Condition	17	mood disorder due to general medical condition			
76352	Major Depression, Single Episode	17	major depression, single episode			
75811	Muscle Spasm	17	muscle spasm			
74538	Common Migraine (Without Aura) With Intractable Migraine	17	common migraine (without aura) with intractable migraine			
63173	Cardiomyopathy	17	cardiomyopathy	DOID:0050700	cardiomyopathy	name
85701	Joint Pain, Localized In The Shoulder	17	joint pain, localized in the shoulder			
274672	Chronic Kidney Disease, Stage 4	17	chronic kidney disease, stage 4			
60894	Nausea (Symptom)	17	nausea (symptom)			
70598	Polymyositis / Dermatomyositis:	17	polymyositis / dermatomyositis:			
173442	Lumbar Radiculopathy	16	lumbar radiculopathy			
76238	Paranoid Schizophrenia, Stable	16	paranoid schizophrenia, stable			
65055	Chronic Constipation	16	chronic constipation			
60928	Pain During Urination (Dysuria)	16	pain during urination (dysuria)			
65076	Irritable Bowel Syndrome	16	irritable bowel syndrome	DOID:9778	irritable bowel syndrome	name
70384	Gout	16	gout	DOID:13189	gout	name
32925	Chronic Respiratory Failure	16	chronic respiratory failure	DOID:11162	chronic respiratory failure	exact-synonym
69588	Hypogonadism	16	hypogonadism	DOID:1924	hypogonadism	name
62611	Chronic Rhinitis	16	chronic rhinitis	DOID:8252	chronic rhinitis	name
289131	Benign Prostatic Hypertrophy	16	benign prostatic hypertrophy			
274606	Chronic Kidney Disease, Stage 3	15	chronic kidney disease, stage 3			
250579	Blood Pressure Isolated Elevated	15	blood pressure isolated elevated			
68058	Vitamin D Deficiency	15	vitamin d deficiency			
278808	Breast Cancer	15	breast cancer	DOID:1612	breast cancer	name
66070	Menorrhagia	15	menorrhagia			
196089	Adjustment Disorder With Anxiety And Depressed Mood	15	adjustment disorder with anxiety and depressed mood			
251575	Streptococcal Sore Throat	15	streptococcal sore throat			
70478	Sjogren's Syndrome	15	sjogren's syndrome	DOID:12894	Sjogren's syndrome	name
70722	Spondylitis	15	spondylitis	DOID:6590	spondylitis	name
69340	Osteopenia	15	osteopenia			
76213	Schizophrenia	15	schizophrenia	DOID:5419	schizophrenia	name
85691	Neck Pain	15	neck pain			
69424	Diabetic Peripheral Neuropathy	14	diabetic peripheral neuropathy			
257908	Essential Hypertriglyceridemia	14	essential hypertriglyceridemia			
76976	Helicobacter Pylori (H. Pylori) Infection	14	helicobacter pylori (h. pylori) infection			
80830	Malignant Neoplasm Of The Prostate Gland	14	malignant neoplasm of the prostate gland			
34588	Proteinuria	14	proteinuria	DOID:576	proteinuria	name
64223	Bronchiectasis	14	bronchiectasis	DOID:9563	bronchiectasis	name
252550	Generalized Convulsive Tonic Seizure With Intractable Seizure	14	generalized convulsive tonic seizure with intractable seizure			
75728	Sciatica	14	sciatica			
76794	Herpes Zoster (Shingles)	14	herpes zoster (shingles)			
275526	Severe Recurrent Major Depression Without Psychotic Features	14	severe recurrent major depression without psychotic features			
274516	Acute Pharyngitis Streptococcus	14	acute pharyngitis streptococcus			
260898	Kidney Cancer	14	kidney cancer	DOID:263	kidney cancer	name
61029	Itching (Pruritus)	13	itching (pruritus)			
76212	Psychosis	13	psychosis			
297031	Intermittent Asthma	13	intermittent asthma			
76538	Panic Disorder With Agoraphobia	13	panic disorder with agoraphobia			
65674	Nephrotic Syndrome	13	nephrotic syndrome	DOID:1184	nephrotic syndrome	name
173419	Cervical Radiculopathy	13	cervical radiculopathy			
87736	Abdominal Pain In The Central Upper Belly (Epigastric)	13	abdominal pain in the central upper belly (epigastric)			
67969	Familial Combined Hyperlipidemia	13	familial combined hyperlipidemia	DOID:13809	familial combined hyperlipidemia	name
75124	Demyelinating Disorders	13	demyelinating disorders			
80831	Adenocarcinoma Of The Prostate Gland	13	adenocarcinoma of the prostate gland			
60863	Difficulty Breathing (Dyspnea)	13	difficulty breathing (dyspnea)			
60874	Wheezing	13	wheezing			
61040	Convulsions	13	convulsions			
77211	Vaginal Candidiasis	13	vaginal candidiasis			
74530	Tension-type Headache	13	tension-type headache			
63148	2-vessel Coronary Artery Stenosis	13	2-vessel coronary artery stenosis			
250918	Chronic Systolic Congestive Heart Failure	13	chronic systolic congestive heart failure			
258835	Bronchitis	13	bronchitis	DOID:6132	bronchitis	name
74529	Headache Syndromes	13	headache syndromes			
69260	Hypothyroidism Postablative	13	hypothyroidism postablative			
76651	Male Erectile Disorder	13	male erectile disorder			
69382	Type II Diabetes Mellitus Uncomplicated, Uncontrolled	13	type ii diabetes mellitus uncomplicated, uncontrolled			
70219	Osteoarthritis Of The Knee	12	osteoarthritis of the knee			
68098	Lipoid Metabolism Disorder	12	lipoid metabolism disorder			
66213	Vaginitis	12	vaginitis	DOID:2170	vaginitis	name
78035	Sickle Cell Hb-SS Disease	12	sickle cell hb-ss disease			
63758	Raynaud's Disease	12	raynaud's disease	DOID:10300	Raynaud's disease	exact-synonym
63758	Raynaud's Disease	12	raynaud's disease	DOID:10300	Raynaud's disease	exact-synonym
63758	Raynaud's Disease	12	raynaud's disease	DOID:10300	Raynaud's disease	exact-synonym
63758	Raynaud's Disease	12	raynaud's disease	DOID:10300	Raynaud's disease	exact-synonym
63758	Raynaud's Disease	12	raynaud's disease	DOID:10300	Raynaud's disease	exact-synonym
275496	Autistic Disorder	12	autistic disorder	DOID:12849	autistic disorder	name
60902	Diarrhea (Symptom)	12	diarrhea (symptom)			
73464	Lower Back Sprain	12	lower back sprain			
85638	Ankle Joint Pain	12	ankle joint pain			
87743	Diffuse Abdominal Pain	12	diffuse abdominal pain			
64579	Gastroenteritis	12	gastroenteritis	DOID:2326	gastroenteritis	name
252575	Dementia With Lewy Bodies	12	dementia with lewy bodies	DOID:12217	Dementia with Lewy bodies	exact-synonym
64764	Gastritis Due To H. Pylori	12	gastritis due to h. pylori			
66073	Menopause	12	menopause			
69231	Hyperthyroidism	12	hyperthyroidism	DOID:7998	hyperthyroidism	name
70640	Wegener's Granulomatosis	11	wegener's granulomatosis	DOID:12132	Wegener's granulomatosis	name
69464	Congenital Adrenal Hyperplasia	11	congenital adrenal hyperplasia	DOID:0050811	congenital adrenal hyperplasia	name
288790	Bacterial Vaginosis	11	bacterial vaginosis	DOID:3385	bacterial vaginosis	name
288790	Bacterial Vaginosis	11	bacterial vaginosis	DOID:3385	Bacterial vaginosis	exact-synonym
288790	Bacterial Vaginosis	11	bacterial vaginosis	DOID:3385	Bacterial vaginosis	exact-synonym
288790	Bacterial Vaginosis	11	bacterial vaginosis	DOID:3385	Bacterial vaginosis	exact-synonym
74989	Generalized Convulsive Grand Mal Seizure	11	generalized convulsive grand mal seizure			
65041	Ulcerative Colitis	11	ulcerative colitis	DOID:8577	ulcerative colitis	name
274406	Pregnancy Test Positive	11	pregnancy test positive			
115846	Back Muscle Spasm	11	back muscle spasm			
90952	Joint Pain, Localized In The Left Shoulder	11	joint pain, localized in the left shoulder			
258942	Type II Diabetes Mellitus - Uncomplicated, Controlled	11	type ii diabetes mellitus - uncomplicated, controlled			
64212	Emphysema	11	emphysema			
291687	Attention Deficit Disorder Without Hyperactivity	11	attention deficit disorder without hyperactivity			
66076	Menopausal Disorder	11	menopausal disorder			
296638	Urinary Incontinence	11	urinary incontinence			
30261	Bipolar I Disorder, Most Recent Episode, Depressed - Severe With Psychotic Features	11	bipolar i disorder, most recent episode, depressed - severe with psychotic features			
60891	Heartburn	11	heartburn			
258010	Allergic Reaction	11	allergic reaction			
62978	Coronary Arteriosclerosis	11	coronary arteriosclerosis	DOID:3393	coronary arteriosclerosis	exact-synonym
282680	Edema	11	edema			
69607	Acne Vulgaris	11	acne vulgaris	DOID:6543	acne vulgaris	exact-synonym
75486	Trigeminal Neuralgia	11	trigeminal neuralgia	DOID:12098	trigeminal neuralgia	name
75486	Trigeminal Neuralgia	11	trigeminal neuralgia	DOID:12098	Trigeminal neuralgia	exact-synonym
75486	Trigeminal Neuralgia	11	trigeminal neuralgia	DOID:12098	Trigeminal neuralgia	exact-synonym
68089	Hypokalemia	11	hypokalemia	DOID:4500	hypokalemia	name
247012	Shortness Of Breath	11	shortness of breath			
70387	Chronic Gout	11	chronic gout			
76343	Bipolar I Disorder, Most Recent Episode, Depressed Moderate	11	bipolar i disorder, most recent episode, depressed moderate			
80664	Leiomyoma Of The Uterus	11	leiomyoma of the uterus			
70477	Scleroderma With Pulmonary Involvement	11	scleroderma with pulmonary involvement			
70386	Acute Gout	11	acute gout			
76610	Chronic Pain Syndrome	10	chronic pain syndrome			
70116	Tinea Capitis	10	tinea capitis	DOID:4337	tinea capitis	name
65769	Neurogenic Bladder	10	neurogenic bladder	DOID:12143	neurogenic bladder	name
252573	Frontotemporal Dementia	10	frontotemporal dementia	DOID:9255	frontotemporal dementia	name
76276	Schizoaffective Disorder - Chronic (With Residual Symptoms)	10	schizoaffective disorder - chronic (with residual symptoms)			
85644	Foot Pain (Soft Tissue)	10	foot pain (soft tissue)			
70620	Sarcoidosis	10	sarcoidosis	DOID:11335	sarcoidosis	name
76442	Failure To Thrive In Childhood	10	failure to thrive in childhood			
85658	Diffuse Joint Pains (Arthralgias)	10	diffuse joint pains (arthralgias)			
62599	Allergic Rhinitis Due To Pollen	10	allergic rhinitis due to pollen	DOID:4481	Allergic rhinitis due to pollen	exact-synonym
70500	Polymyalgia Rheumatica	10	polymyalgia rheumatica	DOID:853	polymyalgia rheumatica	name
70500	Polymyalgia Rheumatica	10	polymyalgia rheumatica	DOID:853	Polymyalgia rheumatica	exact-synonym
70500	Polymyalgia Rheumatica	10	polymyalgia rheumatica	DOID:853	Polymyalgia rheumatica	exact-synonym
70500	Polymyalgia Rheumatica	10	polymyalgia rheumatica	DOID:853	Polymyalgia rheumatica	exact-synonym
257802	Venous Thrombosis Of The Deep Vessels Of The Lower Extremity	10	venous thrombosis of the deep vessels of the lower extremity			
65777	Urge Incontinence Of Urine	10	urge incontinence of urine			
77968	Iron Deficiency	10	iron deficiency			
64748	Gastroparesis	10	gastroparesis	DOID:11914	gastroparesis	name
62322	Otitis Externa	10	otitis externa	DOID:9463	otitis externa	name
61417	Conjunctivitis	10	conjunctivitis	DOID:6195	conjunctivitis	name
69259	Primary Hypothyroidism	10	primary hypothyroidism			
77704	Scabies	10	scabies	DOID:8295	scabies	name
75601	Polyneuropathy	10	polyneuropathy	DOID:1389	polyneuropathy	name
70193	Localized Osteoarthritis Of The Knee	10	localized osteoarthritis of the knee			
69283	Hashimoto's Thyroiditis	10	hashimoto's thyroiditis	DOID:7188	Hashimoto's thyroiditis	exact-synonym
76329	Bipolar I Disorder, Most Recent Episode, Mixed In Partial Remission	10	bipolar i disorder, most recent episode, mixed in partial remission			
93702	Allergies	10	allergies			
277913	Chronic Interstitial Lung Disease	10	chronic interstitial lung disease			
70126	Tinea Versicolor	10	tinea versicolor			
283296	Abnormal Weight Gain	10	abnormal weight gain			
168513	Hypogonadotrophic Hypogonadism	10	hypogonadotrophic hypogonadism			
172080	Neck Strain	10	neck strain			
252551	Generalized Convulsive Tonic-clonic Seizure	10	generalized convulsive tonic-clonic seizure			
64190	Exercise-induced Asthma	10	exercise-induced asthma	DOID:2841	exercise-induced asthma	exact-synonym
75104	Familial (Benign Essential) Tremor	10	familial (benign essential) tremor			
65753	Acute Cystitis	10	acute cystitis	DOID:13148	acute cystitis	name
64206	Chronic Bronchitis	10	chronic bronchitis	DOID:6132	chronic bronchitis	exact-synonym
173466	Obstructive Sleep Apnea	10	obstructive sleep apnea	DOID:0050848	obstructive sleep apnea	name
69660	Chronic Cutaneous Ulcer	10	chronic cutaneous ulcer			
76781	Herpes Simplex	9	herpes simplex	DOID:8566	herpes simplex	name
66250	Candida Albicans Vulvovaginitis	9	candida albicans vulvovaginitis			
66214	Candida Albicans Vaginitis	9	candida albicans vaginitis			
79148	Malignant Pancreatic Neoplasm	9	malignant pancreatic neoplasm			
77205	Candidiasis	9	candidiasis	DOID:1508	candidiasis	name
65128	Hemorrhoids	9	hemorrhoids			
69261	Postsurgical Primary Hypothyroidism	9	postsurgical primary hypothyroidism			
76234	Paranoid Schizophrenia, Chronic	9	paranoid schizophrenia, chronic			
67974	Frederickson Type IIB Hyperlipidemia	9	frederickson type iib hyperlipidemia			
61418	Acute Conjunctivitis	9	acute conjunctivitis	DOID:11184	acute conjunctivitis	name
75354	Cerebral Artery Thrombosis - With Cerebral Infarction	9	cerebral artery thrombosis - with cerebral infarction			
172086	Lumbar Strain	9	lumbar strain			
173522	Candidal Intertrigo	9	candidal intertrigo			
282704	Acute Gastritis	9	acute gastritis	DOID:4029	acute Gastritis	exact-synonym
181372	Renal Carcinoma	9	renal carcinoma	DOID:4451	renal carcinoma	name
69234	Graves' Disease	9	graves' disease	DOID:12361	Graves' disease	name
63224	Congestive Heart Failure With Systolic And Diastolic Dysfunction	9	congestive heart failure with systolic and diastolic dysfunction			
63174	Dilated Cardiomyopathy	9	dilated cardiomyopathy	DOID:12930	dilated cardiomyopathy	name
250996	Contraceptives	9	contraceptives			
282270	Palpitations	9	palpitations			
278753	Anemia Of Chronic Kidney Disease	9	anemia of chronic kidney disease			
62343	Otitis Media	9	otitis media	DOID:10754	otitis media	name
62597	Rhinitis	9	rhinitis	DOID:4483	rhinitis	name
62344	Acute Suppurative Otitis Media	9	acute suppurative otitis media			
70600	Typical Dermatomyositis (Type II)	9	typical dermatomyositis (type ii)			
75579	Spondylosis Without Myelopathy	9	spondylosis without myelopathy			
64294	Pulmonary Fibrosis	9	pulmonary fibrosis	DOID:3770	pulmonary fibrosis	name
76090	Nicotine Dependence	9	nicotine dependence	DOID:0050742	nicotine dependence	name
70130	Diaper Rash	9	diaper rash	DOID:2770	diaper rash	name
64183	Mild Persistent Asthma	9	mild persistent asthma			
64184	Moderate Persistent Asthma	9	moderate persistent asthma			
91079	Midback Pain	9	midback pain			
289876	Alzheimer's Disease With Behavioral Disturbance	9	alzheimer's disease with behavioral disturbance			
66274	Female Infertility	9	female infertility			
90945	Joint Pain, Localized In The Right Shoulder	9	joint pain, localized in the right shoulder			
69968	Carbuncle	9	carbuncle	DOID:2176	carbuncle	name
292064	Dysphagia	9	dysphagia			
70060	Impetigo	8	impetigo	DOID:8504	impetigo	name
76364	Recurrent Major Depression In Partial Remission	8	recurrent major depression in partial remission			
76366	Chronic Major Depression	8	chronic major depression			
70221	Osteoarthritis Of Multiple Sites	8	osteoarthritis of multiple sites			
76782	Herpes Simplex Type I	8	herpes simplex type i			
69753	Eczematoid Dermatitis	8	eczematoid dermatitis			
60977	Menopause Has Occurred	8	menopause has occurred			
289879	Generalized Convulsive Myoclonic Seizure, Juvenile With Intractable Seizure	8	generalized convulsive myoclonic seizure, juvenile with intractable seizure			
77206	Oral Thrush	8	oral thrush			
289878	Generalized Convulsive Myoclonic Seizure, Juvenile	8	generalized convulsive myoclonic seizure, juvenile			
278317	Dermatitis Due To Contact With Poison Ivy	8	dermatitis due to contact with poison ivy			
62614	Deviated Nasal Septum (Acquired)	8	deviated nasal septum (acquired)			
64119	Influenza	8	influenza	DOID:8469	influenza	name
65150	Anal Fissure	8	anal fissure	DOID:3128	anal fissure	exact-synonym
66433	Pregnancy Complicated By Diabetes Mellitus	8	pregnancy complicated by diabetes mellitus			
87587	Coughing Up Sputum Yellow	8	coughing up sputum yellow			
64277	Pulmonary Embolism	8	pulmonary embolism	DOID:9477	pulmonary embolism	name
64202	Bronchiolitis	8	bronchiolitis	DOID:2942	bronchiolitis	name
62582	Acute Ethmoidal Sinusitis	8	acute ethmoidal sinusitis	DOID:9506	acute ethmoidal sinusitis	exact-synonym
63759	Raynaud's Phenomenon	8	raynaud's phenomenon			
64763	Gastritis	8	gastritis	DOID:4029	gastritis	name
85949	Birth Control Method - Oral Contraceptives	8	birth control method - oral contraceptives			
62591	Nasal Polyps	8	nasal polyps			
258832	Cough Variant Asthma	8	cough variant asthma	DOID:12323	cough variant asthma	name
74027	Osteomyelitis	8	osteomyelitis	DOID:1019	osteomyelitis	name
74551	Non-migrainous Vascular Headache	7	non-migrainous vascular headache			
70479	Sicca Syndrome	7	sicca syndrome	DOID:12894	Sicca syndrome	exact-synonym
70080	Skin Abscess	7	skin abscess			
70115	Dermatophytosis	7	dermatophytosis	DOID:8913	dermatophytosis	name
76245	Undifferentiated Schizophrenia	7	undifferentiated schizophrenia			
70119	Onychomycosis	7	onychomycosis			
75834	Disruptive Behavior Disorder	7	disruptive behavior disorder			
67687	Growth Hormone Deficiency (Pituitary Dwarfism)	7	growth hormone deficiency (pituitary dwarfism)			
74535	Classic Migraine (With Aura) With Intractable Migraine	7	classic migraine (with aura) with intractable migraine			
67885	Bronchopulmonary Dysplasia Of Fetus Or Newborn	7	bronchopulmonary dysplasia of fetus or newborn			
70135	Seborrheic Dermatitis	7	seborrheic dermatitis	DOID:8741	seborrheic dermatitis	name
75733	Myasthenia Gravis	7	myasthenia gravis	DOID:437	myasthenia gravis	name
70388	Chronic Tophaceous Gout	7	chronic tophaceous gout			
76383	Dysthymic Disorder	7	dysthymic disorder	DOID:12139	dysthymic disorder	name
76325	Bipolar I Disorder, Most Recent Episode, Mixed Moderate	7	bipolar i disorder, most recent episode, mixed moderate			
75000	Partial Simple Seizure With Intractable Seizure	7	partial simple seizure with intractable seizure			
70550	Relapsing Polychondritis	7	relapsing polychondritis	DOID:2556	relapsing polychondritis	name
70016	Cellulitis Of The Leg	7	cellulitis of the leg			
76661	Male Erectile Disorder Due To Physical Condition	7	male erectile disorder due to physical condition			
292025	Short Stature	7	short stature			
77650	Atypical Mycobacterial Infection	7	atypical mycobacterial infection			
