input_rxcui	input_tty	input_name	n_ingredients	ingredient_rxcui	ingredient_name	ingredient_umlscui
798278	SBD	0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Prefilled Syringe [Gardasil]	4	798262	L1 protein, Human papillomavirus type 11 Vaccine	C2344291
798278	SBD	0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Prefilled Syringe [Gardasil]	4	798266	L1 protein, Human papillomavirus type 18 Vaccine	C2344295
798278	SBD	0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Prefilled Syringe [Gardasil]	4	798264	L1 protein, Human papillomavirus type 16 Vaccine	C0083858
798278	SBD	0.5 ML L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML Prefilled Syringe [Gardasil]	4	798268	L1 protein, Human papillomavirus type 6 Vaccine	C2344297
404406	SBD	montelukast 4 MG Oral Granules [Singulair]	1	88249	montelukast	C0298130
202908	BN	Proventil	1	435	Albuterol	C0001927
831244	SBD	24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Tiazac]	1	3443	Diltiazem	C0012373
103456	SCD	Fluocinonide 0.5 MG/ML Topical Cream	1	4462	Fluocinonide	C0016299
858332	SCDC	Ursodiol 50 MG/ML	1	62427	Ursodeoxycholate	C0178882
575079	SBDC	Oseltamivir 12 MG/ML [Tamiflu]	1	260101	Oseltamivir	C0874161
283672	SCD	Citalopram 10 MG Oral Tablet	1	2556	Citalopram	C0008845
749762	BPCK	{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique]	2	6373	Levonorgestrel	C0023566
749762	BPCK	{7 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 84 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) } Pack [Seasonique]	2	4124	Ethinyl Estradiol	C0015011
198013	SCD	Naproxen 250 MG Oral Tablet	1	7258	Naproxen	C0027396
313989	SCD	Fluoxetine 40 MG Oral Capsule	1	4493	Fluoxetine	C0016365
261192	SBD	24 HR Testosterone 0.104 MG/HR Transdermal Patch [Androderm]	1	10379	Testosterone	C0039601
863829	SBD	Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon]	3	6406	Lipase	C0023764
863829	SBD	Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon]	3	743	Amylases	C0002712
863829	SBD	Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon]	3	8031	Endopeptidases	C0030946
200060	SCD	mycophenolate mofetil 500 MG Oral Tablet	1	68149	mycophenolate mofetil	C0209368
1085741	SCD	Triamcinolone Acetonide 0.25 MG/ML Topical Lotion	1	10759	Triamcinolone	C0040864
240209	SCD	Betamethasone 0.5 MG/ML Topical Lotion	1	1514	Betamethasone	C0005308
310288	SCD	Fenofibrate 134 MG Oral Capsule	1	8703	Fenofibrate	C0033228
313219	SCD	Terazosin 5 MG Oral Capsule	1	37798	Terazosin	C0076107
1014673	SCD	cetirizine hydrochloride 1 MG/ML Oral Solution	1	20610	Cetirizine	C0055147
213197	SBD	Becaplermin 0.0001 MG/MG Topical Gel [Regranex]	1	115238	Becaplermin	C0379135
343050	SCD	Potassium Chloride 20 MEQ Oral Tablet	1	8591	Potassium Chloride	C0032825
860518	SBD	24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg]	1	20352	carvedilol	C0054836
1593076	SBD	60 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Nasal Inhaler [Flonase]	1	41126	fluticasone	C0082607
239166	SCDF	Glucose Oral Solution	1	4850	Glucose	C0017725
311671	SCD	Metolazone 5 MG Oral Tablet	1	6916	Metolazone	C0025854
849452	SBD	Naproxen sodium 500 MG / Sumatriptan 85 MG Oral Tablet [Treximet]	2	37418	Sumatriptan	C0075632
849452	SBD	Naproxen sodium 500 MG / Sumatriptan 85 MG Oral Tablet [Treximet]	2	7258	Naproxen	C0027396
308973	SCD	Carbamazepine 100 MG Chewable Tablet	1	2002	Carbamazepine	C0006949
665040	SBD	sitagliptin 25 MG Oral Tablet [Januvia]	1	593411	sitagliptin	C1565750
317015	SBD	Niacin 750 MG Extended Release Oral Tablet [Niaspan]	1	7393	Niacin	C0027996
198029	SCD	24 HR Nicotine 0.583 MG/HR Transdermal Patch	1	7407	Nicotine	C0028040
312522	SCD	Potassium Chloride 2 MEQ/ML Oral Solution	1	8591	Potassium Chloride	C0032825
284509	SBD	quetiapine 300 MG Oral Tablet [Seroquel]	1	51272	quetiapine	C0123091
724887	SBD	Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge]	2	69749	valsartan	C0216784
724887	SBD	Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge]	2	17767	Amlodipine	C0051696
1011831	SCD	4 ML Lidocaine Hydrochloride 40 MG/ML Prefilled Applicator	1	6387	Lidocaine	C0023660
730992	SBD	Carbidopa 50 MG / entacapone 200 MG / Levodopa 200 MG Oral Tablet [Stalevo]	3	6375	Levodopa	C0023570
730992	SBD	Carbidopa 50 MG / entacapone 200 MG / Levodopa 200 MG Oral Tablet [Stalevo]	3	2019	Carbidopa	C0006982
730992	SBD	Carbidopa 50 MG / entacapone 200 MG / Levodopa 200 MG Oral Tablet [Stalevo]	3	60307	entacapone	C0165921
312055	SCD	Nystatin 100000 UNT/ML Oral Suspension	1	7597	Nystatin	C0028741
197659	SCD	Estradiol 2 MG Oral Tablet	1	4083	Estradiol	C0014912
901802	SBD	zolmitriptan 2.5 MG Disintegrating Oral Tablet [Zomig]	1	135775	zolmitriptan	C0528166
313413	SCD	tizanidine 4 MG Oral Tablet	1	57258	tizanidine	C0146011
47088	PIN	Bethanechol Chloride	1	19257	Bethanechol	C0053526
1359031	BPCK	{21 (Ethinyl Estradiol 0.03 MG / norethindrone acetate 1.5 MG Oral Tablet) } Pack [Loestrin 1.5/30 21 Day]	2	4124	Ethinyl Estradiol	C0015011
1359031	BPCK	{21 (Ethinyl Estradiol 0.03 MG / norethindrone acetate 1.5 MG Oral Tablet) } Pack [Loestrin 1.5/30 21 Day]	2	7514	Norethindrone	C0028356
309307	SCD	Ciprofloxacin 3 MG/ML Ophthalmic Solution	1	2551	Ciprofloxacin	C0008809
1090577	SBD	Zinc Oxide 130 MG/ML Topical Cream [Desitin]	1	11423	Zinc Oxide	C0043491
606854	SBD	paricalcitol 0.001 MG Oral Capsule [Zemplar]	1	73710	paricalcitol	C0249582
998681	SBD	168 HR Clonidine 0.0125 MG/HR Transdermal Patch [Catapres-TTS-3]	1	2599	Clonidine	C0009014
617995	SCD	12 HR Amoxicillin 1000 MG / Clavulanate 62.5 MG Extended Release Oral Tablet	2	723	Amoxicillin	C0002645
617995	SCD	12 HR Amoxicillin 1000 MG / Clavulanate 62.5 MG Extended Release Oral Tablet	2	48203	Clavulanate	C0110038
726009	SCD	12 HR guaiacolsulfonate 150 MG / Guaifenesin 1000 MG Extended Release Oral Tablet	2	5032	Guaifenesin	C0018305
726009	SCD	12 HR guaiacolsulfonate 150 MG / Guaifenesin 1000 MG Extended Release Oral Tablet	2	636827	guaiacolsulfonate	C1714166
312749	SCD	quinapril 20 MG Oral Tablet	1	35208	quinapril	C0072857
831252	SBD	24 HR Diltiazem Hydrochloride 180 MG Extended Release Oral Capsule [Dilt]	1	3443	Diltiazem	C0012373
831285	SBD	24 HR Diltiazem Hydrochloride 240 MG Extended Release Oral Capsule [Dilt]	1	3443	Diltiazem	C0012373
860707	SCD	24 HR galantamine hydrobromide 24 MG Extended Release Oral Capsule	1	4637	Galantamine	C0016967
795735	BPCK	{56 (varenicline 1 MG Oral Tablet [Chantix]) } Pack [Chantix Continuing Months Of Therapy]	1	591622	varenicline	C1569608
996101	SBD	Dutasteride 0.5 MG / Tamsulosin hydrochloride 0.4 MG Oral Capsule [Jalyn]	2	228790	Dutasteride	C0754659
996101	SBD	Dutasteride 0.5 MG / Tamsulosin hydrochloride 0.4 MG Oral Capsule [Jalyn]	2	77492	tamsulosin	C0257343
209283	SBD	terconazole 4 MG/ML Vaginal Cream [Terazol 7]	1	37806	terconazole	C0076115
656660	SBD	bosentan 125 MG Oral Tablet [Tracleer]	1	75207	bosentan	C0252643
863671	SBD	Tamsulosin hydrochloride 0.4 MG Oral Capsule [Flomax]	1	77492	tamsulosin	C0257343
1014678	SCD	cetirizine hydrochloride 10 MG Oral Tablet	1	20610	Cetirizine	C0055147
966220	SCD	Levothyroxine Sodium 0.025 MG Oral Tablet	1	10582	levothyroxine	C0040165
197832	SCD	isoniazid 300 MG Oral Tablet	1	6038	isoniazid	C0022209
1043690	SCD	hydrocortisone acetate 10 MG/ML Topical Cream	1	5492	Hydrocortisone	C0020268
1175453	SBDG	Hydromet Oral Product	2	5489	Hydrocodone	C0020264
1175453	SBDG	Hydromet Oral Product	2	27084	homatropine	C0062922
904431	SCD	Alendronic acid 70 MG Oral Tablet	1	46041	Alendronate	C0102118
665044	SBD	sitagliptin 50 MG Oral Tablet [Januvia]	1	593411	sitagliptin	C1565750
311355	SCD	Lithium Carbonate 150 MG Oral Capsule	1	42351	Lithium Carbonate	C0085217
977940	SBD	Oxymorphone Hydrochloride 5 MG Oral Tablet [Opana]	1	7814	Oxymorphone	C0030073
1052709	SBD	Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution [Orajel Mouth Sore Rinse]	1	5499	Hydrogen Peroxide	C0020281
312138	SCD	oxcarbazepine 600 MG Oral Tablet	1	32624	oxcarbazepine	C0069751
1010844	SCD	Lidocaine Hydrochloride 40 MG/ML Injectable Solution	1	6387	Lidocaine	C0023660
1048409	SCDC	Hyoscyamine Sulfate 0.15 MG	1	153970	Hyoscyamine	C0596004
688242	SBD	Estrogens, Conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]	1	4099	Estrogens, Conjugated (USP)	C0014938
351992	SBD	oxcarbazepine 60 MG/ML Oral Suspension [Trileptal]	1	32624	oxcarbazepine	C0069751
866438	SBD	24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol]	1	6918	Metoprolol	C0025859
198245	SCD	terconazole 80 MG Vaginal Suppository	1	37806	terconazole	C0076115
847042	SBD	Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT]	2	5487	Hydrochlorothiazide	C0020261
847042	SBD	Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Benicar HCT]	2	321064	olmesartan	C1098320
721795	SBD	24 HR quetiapine 300 MG Extended Release Oral Tablet [Seroquel]	1	51272	quetiapine	C0123091
198707	SCD	Hydrocortisone 5 MG/ML Topical Cream	1	5492	Hydrocortisone	C0020268
211310	SBD	Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Fiorinal]	3	19860	butalbital	C0054234
211310	SBD	Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Fiorinal]	3	1191	Aspirin	C0004057
211310	SBD	Aspirin 325 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Fiorinal]	3	1886	Caffeine	C0006644
1100187	SBD	Donepezil hydrochloride 23 MG Oral Tablet [Aricept]	1	135447	donepezil	C0527316
261356	SBD	oxcarbazepine 150 MG Oral Tablet [Trileptal]	1	32624	oxcarbazepine	C0069751
211500	SBD	Acetaminophen 500 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Zebutal]	3	19860	butalbital	C0054234
211500	SBD	Acetaminophen 500 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Zebutal]	3	1886	Caffeine	C0006644
211500	SBD	Acetaminophen 500 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Zebutal]	3	161	Acetaminophen	C0000970
308753	SCD	Bisacodyl 5 MG Delayed Release Oral Tablet	1	1596	Bisacodyl	C0005632
1373034	SBD	12 HR Naproxen sodium 220 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet [Sudafed Sinus & Pain]	2	7258	Naproxen	C0027396
1373034	SBD	12 HR Naproxen sodium 220 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet [Sudafed Sinus & Pain]	2	8896	Pseudoephedrine	C0033798
992456	SBD	Promethazine Hydrochloride 25 MG Rectal Suppository [Phenadoz]	1	8745	Promethazine	C0033405
