drug	disease	ajg	csh	agree	drug_url	disease_url
Orlistat	obesity	DM	DM	1	http://www.drugbank.ca/drugs/DB01083	http://www.disease-ontology.org/term/DOID%3A9970
Oxandrolone	osteoporosis	DM	SYM	0	http://www.drugbank.ca/drugs/DB00621	http://www.disease-ontology.org/term/DOID%3A11476
Prazosin	hypertension	SYM	DM	0	http://www.drugbank.ca/drugs/DB00457	http://www.disease-ontology.org/term/DOID%3A10763
Prednisolone	ankylosing spondylitis	DM	SYM	0	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A7147
Prednisolone	chronic obstructive pulmonary disease	DM	DM	1	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A3083
Prednisolone	multiple sclerosis	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2377
Prednisone	atopic dermatitis	DM	SYM	0	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A3310
Propofol	epilepsy syndrome	SYM	SYM	1	http://www.drugbank.ca/drugs/DB00818	http://www.disease-ontology.org/term/DOID%3A1826
Quinapril	hypertension	SYM	DM	0	http://www.drugbank.ca/drugs/DB00881	http://www.disease-ontology.org/term/DOID%3A10763
Sibutramine	obesity	DM	DM	1	http://www.drugbank.ca/drugs/DB01105	http://www.disease-ontology.org/term/DOID%3A9970
Thiotepa	sarcoma	DM	DM	1	http://www.drugbank.ca/drugs/DB04572	http://www.disease-ontology.org/term/DOID%3A1115
Tiagabine	bipolar disorder	NOT	DM	0	http://www.drugbank.ca/drugs/DB00906	http://www.disease-ontology.org/term/DOID%3A3312
Tirofiban	coronary artery disease	DM	DM	1	http://www.drugbank.ca/drugs/DB00775	http://www.disease-ontology.org/term/DOID%3A3393
Topotecan	peripheral nervous system neoplasm	DM	DM	1	http://www.drugbank.ca/drugs/DB01030	http://www.disease-ontology.org/term/DOID%3A1192
Triamcinolone	psoriatic arthritis	SYM	DM	0	http://www.drugbank.ca/drugs/DB00620	http://www.disease-ontology.org/term/DOID%3A9008
Vitamin C	prostate cancer	DM	DM	1	http://www.drugbank.ca/drugs/DB00126	http://www.disease-ontology.org/term/DOID%3A10283
Zileuton	asthma	SYM	DM	0	http://www.drugbank.ca/drugs/DB00744	http://www.disease-ontology.org/term/DOID%3A2841
