drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	drug_url	disease_url	tie
Bromocriptine	type 2 diabetes mellitus	NOT	DM					http://www.drugbank.ca/drugs/DB01200	http://www.disease-ontology.org/term/DOID%3A9352	True
Budesonide	ulcerative colitis	DM	SYM					http://www.drugbank.ca/drugs/DB01222	http://www.disease-ontology.org/term/DOID%3A8577	True
Bumetanide	hypertension	SYM	DM					http://www.drugbank.ca/drugs/DB00887	http://www.disease-ontology.org/term/DOID%3A10763	True
Bupropion	obesity	NOT	DM					http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A9970	True
Busulfan	colon cancer	NOT	DM					http://www.drugbank.ca/drugs/DB01008	http://www.disease-ontology.org/term/DOID%3A219	True
Calcitriol	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB00136	http://www.disease-ontology.org/term/DOID%3A8893	True
Calcium Acetate	chronic kidney failure	SYM	NOT			Treats side effect		http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A784	True
Calcium Acetate	osteoporosis	SYM	DM					http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A11476	True
Capecitabine	kidney cancer	DM	NOT		case rep, not approved			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A263	True
Captopril	systemic scleroderma	DM	SYM		prevents vascualr damage	Helps renal disease in Scleroderma		http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A418	True
Carbachol	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00411	http://www.disease-ontology.org/term/DOID%3A1686	True
Carmustine	skin cancer	DM	NOT			Only for metastatic disease		http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A4159	True
Carteolol	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A1686	True
Carteolol	hypertension	NOT	SYM					http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A10763	True
Carvedilol	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB01136	http://www.disease-ontology.org/term/DOID%3A10763	True
Celecoxib	colon cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A219	True
Celecoxib	hematologic cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A2531	True
Celecoxib	kidney cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A263	True
Celecoxib	prostate cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A10283	True
Celecoxib	systemic lupus erythematosus	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A9074	True
Celecoxib	systemic scleroderma	SYM	NOT					http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A418	True
Cetirizine	allergic rhinitis	DM	SYM					http://www.drugbank.ca/drugs/DB00341	http://www.disease-ontology.org/term/DOID%3A4481	True
Chenodeoxycholic acid	primary biliary cirrhosis	SYM	NOT					http://www.drugbank.ca/drugs/DB06777	http://www.disease-ontology.org/term/DOID%3A12236	True
Chlorpropamide	type 2 diabetes mellitus	NOT	SYM		 no longer recommended due to side effects			http://www.drugbank.ca/drugs/DB00672	http://www.disease-ontology.org/term/DOID%3A9352	True
Cholecalciferol	chronic kidney failure	SYM	NOT			This is downstream biology intended to help with Vit D metabolism in patients's with renal failure		http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A784	True
Cholecalciferol	osteoporosis	SYM	DM					http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A11476	True
Cholecalciferol	psoriasis	DM	NOT					http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8893	True
Cholecalciferol	ulcerative colitis	SYM	DM					http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8577	True
Choline	osteoarthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00122	http://www.disease-ontology.org/term/DOID%3A8398	True
Choline	rheumatoid arthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00122	http://www.disease-ontology.org/term/DOID%3A7148	True
Cimetidine	obesity	NOT	DM					http://www.drugbank.ca/drugs/DB00501	http://www.disease-ontology.org/term/DOID%3A9970	True
Cinacalcet	chronic kidney failure	SYM	NOT			This is to treat hypoparathyroidism associated with renal disease		http://www.drugbank.ca/drugs/DB01012	http://www.disease-ontology.org/term/DOID%3A784	True
Ciprofloxacin	asthma	SYM	NOT		acute exac			http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A2841	True
Ciprofloxacin	chronic obstructive pulmonary disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A3083	True
Ciprofloxacin	ulcerative colitis	NOT	DM					http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A8577	True
Citalopram	alcohol dependence	SYM	DM					http://www.drugbank.ca/drugs/DB00215	http://www.disease-ontology.org/term/DOID%3A0050741	True
Clomifene	azoospermia	SYM	DM					http://www.drugbank.ca/drugs/DB00882	http://www.disease-ontology.org/term/DOID%3A14227	True
Clonazepam	autistic disorder	SYM	DM					http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A12849	True
Clonazepam	bipolar disorder	SYM	NOT					http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A3312	True
Clonazepam	osteoarthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A8398	True
Clonidine	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00575	http://www.disease-ontology.org/term/DOID%3A1686	True
Clonidine	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00575	http://www.disease-ontology.org/term/DOID%3A10763	True
Colchicine	gout	SYM	DM		acute flares			http://www.drugbank.ca/drugs/DB01394	http://www.disease-ontology.org/term/DOID%3A13189	True
Colchicine	systemic scleroderma	NOT	DM					http://www.drugbank.ca/drugs/DB01394	http://www.disease-ontology.org/term/DOID%3A418	True
Conjugated Estrogens	breast cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A1612	True
Conjugated Estrogens	prostate cancer	NOT	DM		in research			http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A10283	True
Cromoglicic acid	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB01003	http://www.disease-ontology.org/term/DOID%3A2841	True
Cyclobenzaprine	ankylosing spondylitis	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A7147	True
Cyclobenzaprine	migraine	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A6364	True
Cyclobenzaprine	osteoarthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A8398	True
Cyclobenzaprine	rheumatoid arthritis	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A7148	True
Cyclobenzaprine	systemic lupus erythematosus	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A9074	True
Cyclobenzaprine	systemic scleroderma	SYM	NOT					http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A418	True
Cyproheptadine	allergic rhinitis	DM	SYM					http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A4481	True
Cyproheptadine	migraine	SYM	NOT					http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A6364	True
Cyproheptadine	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A5419	True
Cytarabine	colon cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00987	http://www.disease-ontology.org/term/DOID%3A219	True
Dactinomycin	peripheral nervous system neoplasm	DM	NOT					http://www.drugbank.ca/drugs/DB00970	http://www.disease-ontology.org/term/DOID%3A1192	True
Dapsone	systemic lupus erythematosus	DM	NOT					http://www.drugbank.ca/drugs/DB00250	http://www.disease-ontology.org/term/DOID%3A9074	True
Deferiprone	anemia	DM	SYM					http://www.drugbank.ca/drugs/DB08826	http://www.disease-ontology.org/term/DOID%3A2355	True
Deferoxamine	chronic kidney failure	SYM	NOT			Used to treat side effect		http://www.drugbank.ca/drugs/DB00746	http://www.disease-ontology.org/term/DOID%3A784	True
Desloratadine	allergic rhinitis	DM	SYM		im having a hard time with allergic rhinitis. Maybe all of these meds are SYM. 			http://www.drugbank.ca/drugs/DB00967	http://www.disease-ontology.org/term/DOID%3A4481	True
Desogestrel	polycystic ovary syndrome	SYM	DM					http://www.drugbank.ca/drugs/DB00304	http://www.disease-ontology.org/term/DOID%3A11612	True
Desonide	atopic dermatitis	SYM	DM					http://www.drugbank.ca/drugs/DB01260	http://www.disease-ontology.org/term/DOID%3A3310	True
Dexamethasone	allergic rhinitis	SYM	DM					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A4481	True
Dexamethasone	ankylosing spondylitis	SYM	DM					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A7147	True
Dexamethasone	atopic dermatitis	SYM	DM					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A3310	True
Dexamethasone	breast cancer	SYM	NOT			Helps with side effects of meds		http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A1612	True
Dexamethasone	colon cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A219	True
Dexamethasone	hematologic cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A2531	True
Dexamethasone	kidney cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A263	True
Dexamethasone	prostate cancer	SYM	NOT					http://www.drugbank.ca/drugs/DB01234	http://www.disease-ontology.org/term/DOID%3A10283	True
Dexrazoxane	breast cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00380	http://www.disease-ontology.org/term/DOID%3A1612	True
Dextrothyroxine	Graves' disease	NOT	SYM					http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A12361	True
Dextrothyroxine	hypothyroidism	NOT	DM					http://www.drugbank.ca/drugs/DB00509	http://www.disease-ontology.org/term/DOID%3A1459	True
Diclofenamide	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB01144	http://www.disease-ontology.org/term/DOID%3A1686	True
Diethylpropion	obesity	SYM	DM					http://www.drugbank.ca/drugs/DB00937	http://www.disease-ontology.org/term/DOID%3A9970	True
Diflunisal	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00861	http://www.disease-ontology.org/term/DOID%3A8398	True
Digoxin	dilated cardiomyopathy	DM	NOT					http://www.drugbank.ca/drugs/DB00390	http://www.disease-ontology.org/term/DOID%3A12930	True
Diltiazem	coronary artery disease	NOT	SYM					http://www.drugbank.ca/drugs/DB00343	http://www.disease-ontology.org/term/DOID%3A3393	True
Diltiazem	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00343	http://www.disease-ontology.org/term/DOID%3A10763	True
Dimenhydrinate	Parkinson's disease	NOT	SYM					http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A14330	True
Dimenhydrinate	allergic rhinitis	SYM	NOT					http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A4481	True
Dimenhydrinate	atopic dermatitis	SYM	NOT					http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A3310	True
Dimenhydrinate	schizophrenia	NOT	SYM					http://www.drugbank.ca/drugs/DB00985	http://www.disease-ontology.org/term/DOID%3A5419	True
Diphenhydramine	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A14330	True
Diphenhydramine	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB01075	http://www.disease-ontology.org/term/DOID%3A5419	True
Dipivefrin	glaucoma	DM	SYM					http://www.drugbank.ca/drugs/DB00449	http://www.disease-ontology.org/term/DOID%3A1686	True
Disulfiram	alcohol dependence	SYM	DM					http://www.drugbank.ca/drugs/DB00822	http://www.disease-ontology.org/term/DOID%3A0050741	True
Donepezil	Alzheimer's disease	SYM	DM					http://www.drugbank.ca/drugs/DB00843	http://www.disease-ontology.org/term/DOID%3A10652	True
Dopamine	hypertension	SYM	NOT					http://www.drugbank.ca/drugs/DB00988	http://www.disease-ontology.org/term/DOID%3A10763	True
Doxazosin	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00590	http://www.disease-ontology.org/term/DOID%3A10763	True
Doxepin	atopic dermatitis	SYM	DM					http://www.drugbank.ca/drugs/DB01142	http://www.disease-ontology.org/term/DOID%3A3310	True
Doxorubicin	acquired immunodeficiency syndrome	DM	NOT					http://www.drugbank.ca/drugs/DB00997	http://www.disease-ontology.org/term/DOID%3A635	True
Doxycycline	chronic obstructive pulmonary disease	SYM	NOT		tough decision			http://www.drugbank.ca/drugs/DB00254	http://www.disease-ontology.org/term/DOID%3A3083	True
Doxycycline	malaria	DM	NOT					http://www.drugbank.ca/drugs/DB00254	http://www.disease-ontology.org/term/DOID%3A12365	True
Drospirenone	polycystic ovary syndrome	SYM	DM					http://www.drugbank.ca/drugs/DB01395	http://www.disease-ontology.org/term/DOID%3A11612	True
Echothiophate	glaucoma	DM	SYM		glaucoma is tough too. 			http://www.drugbank.ca/drugs/DB01057	http://www.disease-ontology.org/term/DOID%3A1686	True
Echothiophate	refractive error	SYM	NOT					http://www.drugbank.ca/drugs/DB01057	http://www.disease-ontology.org/term/DOID%3A9835	True
Enalapril	coronary artery disease	SYM	DM					http://www.drugbank.ca/drugs/DB00584	http://www.disease-ontology.org/term/DOID%3A3393	True
Epinephrine	glaucoma	SYM	NOT					http://www.drugbank.ca/drugs/DB00668	http://www.disease-ontology.org/term/DOID%3A1686	True
Epirubicin	acquired immunodeficiency syndrome	DM	NOT			Usec to treat complicaton of AIDS		http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A635	True
Epirubicin	peripheral nervous system neoplasm	DM	NOT					http://www.drugbank.ca/drugs/DB00445	http://www.disease-ontology.org/term/DOID%3A1192	True
Eplerenone	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00700	http://www.disease-ontology.org/term/DOID%3A10763	True
Epoprostenol	systemic scleroderma	NOT	DM		?raynauds 			http://www.drugbank.ca/drugs/DB01240	http://www.disease-ontology.org/term/DOID%3A418	True
Ergocalciferol	metabolic syndrome X	SYM	DM					http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A14221	True
Ergocalciferol	osteoporosis	SYM	DM					http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A11476	True
Ergocalciferol	rheumatoid arthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00153	http://www.disease-ontology.org/term/DOID%3A7148	True
Esmolol	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB00187	http://www.disease-ontology.org/term/DOID%3A10763	True
Esomeprazole	ankylosing spondylitis	NOT	SYM					http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A7147	True
Esomeprazole	kidney cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A263	True
Esomeprazole	prostate cancer	NOT	SYM					http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A10283	True
Esomeprazole	rheumatoid arthritis	NOT	SYM					http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A7148	True
Esomeprazole	systemic lupus erythematosus	NOT	SYM		weird, maybe b/c a lot of these diseases rx steroids/ppi combo			http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A9074	True
Esomeprazole	systemic scleroderma	NOT	SYM					http://www.drugbank.ca/drugs/DB00736	http://www.disease-ontology.org/term/DOID%3A418	True
Estradiol	breast cancer	DM	NOT			Worsens		http://www.drugbank.ca/drugs/DB00783	http://www.disease-ontology.org/term/DOID%3A1612	True
Estradiol	coronary artery disease	NOT	DM			worsening		http://www.drugbank.ca/drugs/DB00783	http://www.disease-ontology.org/term/DOID%3A3393	True
Estradiol	uterine cancer	DM	NOT			worsens disease		http://www.drugbank.ca/drugs/DB00783	http://www.disease-ontology.org/term/DOID%3A363	True
Estrone	breast cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00655	http://www.disease-ontology.org/term/DOID%3A1612	True
Estrone	prostate cancer	NOT	DM					http://www.drugbank.ca/drugs/DB00655	http://www.disease-ontology.org/term/DOID%3A10283	True
Eszopiclone	schizophrenia	SYM	NOT					http://www.drugbank.ca/drugs/DB00402	http://www.disease-ontology.org/term/DOID%3A5419	True
Ethinyl Estradiol	polycystic ovary syndrome	SYM	DM					http://www.drugbank.ca/drugs/DB00977	http://www.disease-ontology.org/term/DOID%3A11612	True
Ethinyl Estradiol	prostate cancer	DM	NOT					http://www.drugbank.ca/drugs/DB00977	http://www.disease-ontology.org/term/DOID%3A10283	True
Etodolac	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00749	http://www.disease-ontology.org/term/DOID%3A8398	True
Etomidate	epilepsy syndrome	SYM	NOT			WORSENS		http://www.drugbank.ca/drugs/DB00292	http://www.disease-ontology.org/term/DOID%3A1826	True
Etoposide	peripheral nervous system neoplasm	DM	NOT					http://www.drugbank.ca/drugs/DB00773	http://www.disease-ontology.org/term/DOID%3A1192	True
Felbamate	epilepsy syndrome	SYM	DM					http://www.drugbank.ca/drugs/DB00949	http://www.disease-ontology.org/term/DOID%3A1826	True
Felodipine	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB01023	http://www.disease-ontology.org/term/DOID%3A10763	True
Fenoldopam	hypertension	SYM	DM		post-op BP, not long-term			http://www.drugbank.ca/drugs/DB00800	http://www.disease-ontology.org/term/DOID%3A10763	True
Fenoprofen	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00573	http://www.disease-ontology.org/term/DOID%3A8398	True
Finasteride	prostate cancer	SYM	DM					http://www.drugbank.ca/drugs/DB01216	http://www.disease-ontology.org/term/DOID%3A10283	True
Fludrocortisone	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00687	http://www.disease-ontology.org/term/DOID%3A14330	True
Flunisolide	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00180	http://www.disease-ontology.org/term/DOID%3A2841	True
Fluocinolone Acetonide	psoriasis	DM	SYM					http://www.drugbank.ca/drugs/DB00591	http://www.disease-ontology.org/term/DOID%3A8893	True
Fluocinonide	psoriasis	DM	SYM		DM			http://www.drugbank.ca/drugs/DB01047	http://www.disease-ontology.org/term/DOID%3A8893	True
Fluoxymesterone	breast cancer	DM	NOT			Old therapy		http://www.drugbank.ca/drugs/DB01185	http://www.disease-ontology.org/term/DOID%3A1612	True
Flurbiprofen	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB00712	http://www.disease-ontology.org/term/DOID%3A8398	True
Formoterol	asthma	DM	SYM					http://www.drugbank.ca/drugs/DB00983	http://www.disease-ontology.org/term/DOID%3A2841	True
Formoterol	chronic obstructive pulmonary disease	DM	SYM					http://www.drugbank.ca/drugs/DB00983	http://www.disease-ontology.org/term/DOID%3A3083	True
Furosemide	coronary artery disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00695	http://www.disease-ontology.org/term/DOID%3A3393	True
Furosemide	dilated cardiomyopathy	DM	SYM					http://www.drugbank.ca/drugs/DB00695	http://www.disease-ontology.org/term/DOID%3A12930	True
Furosemide	systemic scleroderma	SYM	NOT					http://www.drugbank.ca/drugs/DB00695	http://www.disease-ontology.org/term/DOID%3A418	True
Gabapentin	Parkinson's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00996	http://www.disease-ontology.org/term/DOID%3A14330	True
Gabapentin	rheumatoid arthritis	NOT	SYM					http://www.drugbank.ca/drugs/DB00996	http://www.disease-ontology.org/term/DOID%3A7148	True
Gabapentin	systemic lupus erythematosus	NOT	SYM					http://www.drugbank.ca/drugs/DB00996	http://www.disease-ontology.org/term/DOID%3A9074	True
Ganciclovir	acquired immunodeficiency syndrome	DM	NOT			USEED TO TREAT COMPLICATION		http://www.drugbank.ca/drugs/DB01004	http://www.disease-ontology.org/term/DOID%3A635	True
Gemcitabine	hematologic cancer	DM	NOT					http://www.drugbank.ca/drugs/DB00441	http://www.disease-ontology.org/term/DOID%3A2531	True
Gemfibrozil	pancreatitis	DM	NOT		if panc is from hyperTG	SIDE EFFECT OF MED		http://www.drugbank.ca/drugs/DB01241	http://www.disease-ontology.org/term/DOID%3A4989	True
Glucosamine	osteoarthritis	SYM	DM					http://www.drugbank.ca/drugs/DB01296	http://www.disease-ontology.org/term/DOID%3A8398	True
Haloperidol	Alzheimer's disease	SYM	NOT					http://www.drugbank.ca/drugs/DB00502	http://www.disease-ontology.org/term/DOID%3A10652	True
Haloperidol	Gilles de la Tourette syndrome	SYM	NOT					http://www.drugbank.ca/drugs/DB00502	http://www.disease-ontology.org/term/DOID%3A11119	True
Hydralazine	hypertension	DM	SYM					http://www.drugbank.ca/drugs/DB01275	http://www.disease-ontology.org/term/DOID%3A10763	True
Hydrochlorothiazide	hypertension	DM	SYM		Pilot classification: disease-modifying; Pilot notes:			http://www.drugbank.ca/drugs/DB00999	http://www.disease-ontology.org/term/DOID%3A10763	True
Hydrochlorothiazide	nephrolithiasis	DM	NOT			SIDE EFFECT		http://www.drugbank.ca/drugs/DB00999	http://www.disease-ontology.org/term/DOID%3A585	True
