drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Cetirizine	allergic rhinitis	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Cetirizine	http://www.uptodate.com/contents/search?search=Cetirizine	http://www.drugbank.ca/drugs/DB00341	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Chenodeoxycholic acid	primary biliary cirrhosis	SYM	NOT	DM			"in trials, see uptodate ""Overview of the treatment of primary biliary cholangitis (primary biliary cirrhosis)"""	https://www.google.com/webhp#q=Chenodeoxycholic acid	http://www.uptodate.com/contents/search?search=Chenodeoxycholic acid	http://www.drugbank.ca/drugs/DB06777	http://www.disease-ontology.org/term/DOID%3A12236	TRUE	FALSE	FALSE
Chlorpropamide	type 2 diabetes mellitus	NOT	SYM	DM	no longer recommended due to side effects		by amendment 1	https://www.google.com/webhp#q=Chlorpropamide	http://www.uptodate.com/contents/search?search=Chlorpropamide	http://www.drugbank.ca/drugs/DB00672	http://www.disease-ontology.org/term/DOID%3A9352	TRUE	FALSE	FALSE
Cholecalciferol	chronic kidney failure	SYM	NOT	SYM		This is downstream biology intended to help with Vit D metabolism in patients's with renal failure	"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	https://www.google.com/webhp#q=Cholecalciferol	http://www.uptodate.com/contents/search?search=Cholecalciferol	http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A784	TRUE	FALSE	TRUE
Cholecalciferol	osteoporosis	SYM	DM	DM				https://www.google.com/webhp#q=Cholecalciferol	http://www.uptodate.com/contents/search?search=Cholecalciferol	http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A11476	TRUE	FALSE	TRUE
Cholecalciferol	psoriasis	DM	NOT	DM			per uptodate	https://www.google.com/webhp#q=Cholecalciferol	http://www.uptodate.com/contents/search?search=Cholecalciferol	http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8893	TRUE	FALSE	TRUE
Cholecalciferol	ulcerative colitis	SYM	DM	DM			similar reasoning to rheumatoid arthritis	https://www.google.com/webhp#q=Cholecalciferol	http://www.uptodate.com/contents/search?search=Cholecalciferol	http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8577	TRUE	FALSE	TRUE
Choline	osteoarthritis	SYM	NOT	SYM			per drugbank.ca	https://www.google.com/webhp#q=Choline	http://www.uptodate.com/contents/search?search=Choline	http://www.drugbank.ca/drugs/DB00122	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Choline	rheumatoid arthritis	SYM	NOT	NOT			"this is pure choline, not a salicylate"	https://www.google.com/webhp#q=Choline	http://www.uptodate.com/contents/search?search=Choline	http://www.drugbank.ca/drugs/DB00122	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Cimetidine	obesity	NOT	DM	DM			ok but not great evidence	https://www.google.com/webhp#q=Cimetidine	http://www.uptodate.com/contents/search?search=Cimetidine	http://www.drugbank.ca/drugs/DB00501	http://www.disease-ontology.org/term/DOID%3A9970	TRUE	FALSE	TRUE
Cinacalcet	chronic kidney failure	SYM	NOT	SYM		This is to treat hypoparathyroidism associated with renal disease	"made all of these ""SYM"" to be self-consistent, CSH and AJG usually agreed"	https://www.google.com/webhp#q=Cinacalcet	http://www.uptodate.com/contents/search?search=Cinacalcet	http://www.drugbank.ca/drugs/DB01012	http://www.disease-ontology.org/term/DOID%3A784	TRUE	FALSE	TRUE
Ciprofloxacin	asthma	SYM	NOT	NOT	acute exac		not used in pure asthma in my experience	https://www.google.com/webhp#q=Ciprofloxacin	http://www.uptodate.com/contents/search?search=Ciprofloxacin	http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Ciprofloxacin	chronic obstructive pulmonary disease	SYM	NOT	SYM			see notes for COPD	https://www.google.com/webhp#q=Ciprofloxacin	http://www.uptodate.com/contents/search?search=Ciprofloxacin	http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A3083	TRUE	FALSE	TRUE
Ciprofloxacin	ulcerative colitis	NOT	DM	NOT				https://www.google.com/webhp#q=Ciprofloxacin	http://www.uptodate.com/contents/search?search=Ciprofloxacin	http://www.drugbank.ca/drugs/DB00537	http://www.disease-ontology.org/term/DOID%3A8577	TRUE	FALSE	TRUE
Citalopram	alcohol dependence	SYM	DM	DM			see note on alcohol dependence	https://www.google.com/webhp#q=Citalopram	http://www.uptodate.com/contents/search?search=Citalopram	http://www.drugbank.ca/drugs/DB00215	http://www.disease-ontology.org/term/DOID%3A0050741	TRUE	FALSE	TRUE
Clomifene	azoospermia	SYM	DM	DM				https://www.google.com/webhp#q=Clomifene	http://www.uptodate.com/contents/search?search=Clomifene	http://www.drugbank.ca/drugs/DB00882	http://www.disease-ontology.org/term/DOID%3A14227	TRUE	FALSE	TRUE
Clonazepam	autistic disorder	SYM	DM	SYM				https://www.google.com/webhp#q=Clonazepam	http://www.uptodate.com/contents/search?search=Clonazepam	http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A12849	TRUE	FALSE	TRUE
Clonazepam	bipolar disorder	SYM	NOT	SYM				https://www.google.com/webhp#q=Clonazepam	http://www.uptodate.com/contents/search?search=Clonazepam	http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A3312	TRUE	FALSE	TRUE
Clonazepam	osteoarthritis	SYM	NOT	NOT			don't know where CSH got this data	https://www.google.com/webhp#q=Clonazepam	http://www.uptodate.com/contents/search?search=Clonazepam	http://www.drugbank.ca/drugs/DB01068	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Clonidine	glaucoma	DM	SYM	DM			see notes on glaucoma	https://www.google.com/webhp#q=Clonidine	http://www.uptodate.com/contents/search?search=Clonidine	http://www.drugbank.ca/drugs/DB00575	http://www.disease-ontology.org/term/DOID%3A1686	TRUE	FALSE	TRUE
Clonidine	hypertension	DM	SYM	DM				https://www.google.com/webhp#q=Clonidine	http://www.uptodate.com/contents/search?search=Clonidine	http://www.drugbank.ca/drugs/DB00575	http://www.disease-ontology.org/term/DOID%3A10763	TRUE	FALSE	TRUE
Colchicine	gout	SYM	DM	DM	acute flares		"typically used for acute flares, but also rarely used for chronic disease (ammendment 3) and therefore by the same rationalization as allopurinol it should be DM"	https://www.google.com/webhp#q=Colchicine	http://www.uptodate.com/contents/search?search=Colchicine	http://www.drugbank.ca/drugs/DB01394	http://www.disease-ontology.org/term/DOID%3A13189	TRUE	FALSE	TRUE
Colchicine	systemic scleroderma	NOT	DM	SYM			"for arthralgia, not aware of disease modification"	https://www.google.com/webhp#q=Colchicine	http://www.uptodate.com/contents/search?search=Colchicine	http://www.drugbank.ca/drugs/DB01394	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	FALSE
Conjugated Estrogens	breast cancer	NOT	DM	SYM			it can CAUSE breast cancer but it palliates symptoms in metastatic breast cancer	https://www.google.com/webhp#q=Conjugated Estrogens	http://www.uptodate.com/contents/search?search=Conjugated Estrogens	http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A1612	TRUE	FALSE	FALSE
Conjugated Estrogens	prostate cancer	NOT	DM	DM	in research		good evidence per uptodate.com	https://www.google.com/webhp#q=Conjugated Estrogens	http://www.uptodate.com/contents/search?search=Conjugated Estrogens	http://www.drugbank.ca/drugs/DB00286	http://www.disease-ontology.org/term/DOID%3A10283	TRUE	FALSE	TRUE
Cromoglicic acid	asthma	DM	SYM	DM			see notes on asthma	https://www.google.com/webhp#q=Cromoglicic acid	http://www.uptodate.com/contents/search?search=Cromoglicic acid	http://www.drugbank.ca/drugs/DB01003	http://www.disease-ontology.org/term/DOID%3A2841	TRUE	FALSE	TRUE
Cyclobenzaprine	ankylosing spondylitis	SYM	NOT	NOT			"not aware of indication, AS is joint stiffness not muscle stiffness"	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A7147	TRUE	FALSE	TRUE
Cyclobenzaprine	migraine	SYM	NOT	SYM			"same as tizanidine, rarely used"	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A6364	TRUE	FALSE	TRUE
Cyclobenzaprine	osteoarthritis	SYM	NOT	SYM			per MedScape	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A8398	TRUE	FALSE	TRUE
Cyclobenzaprine	rheumatoid arthritis	SYM	NOT	NOT			http://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0033636/	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A7148	TRUE	FALSE	TRUE
Cyclobenzaprine	systemic lupus erythematosus	SYM	NOT	NOT			same rationale as rheumatoid arthritis	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A9074	TRUE	FALSE	TRUE
Cyclobenzaprine	systemic scleroderma	SYM	NOT	NOT			not aware of this indication	https://www.google.com/webhp#q=Cyclobenzaprine	http://www.uptodate.com/contents/search?search=Cyclobenzaprine	http://www.drugbank.ca/drugs/DB00924	http://www.disease-ontology.org/term/DOID%3A418	TRUE	FALSE	TRUE
Cyproheptadine	allergic rhinitis	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	https://www.google.com/webhp#q=Cyproheptadine	http://www.uptodate.com/contents/search?search=Cyproheptadine	http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A4481	TRUE	FALSE	TRUE
Cyproheptadine	migraine	SYM	NOT	SYM			though rarely used	https://www.google.com/webhp#q=Cyproheptadine	http://www.uptodate.com/contents/search?search=Cyproheptadine	http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A6364	TRUE	FALSE	TRUE
Cyproheptadine	schizophrenia	SYM	NOT	SYM			http://www.ncbi.nlm.nih.gov/pubmed/10319907	https://www.google.com/webhp#q=Cyproheptadine	http://www.uptodate.com/contents/search?search=Cyproheptadine	http://www.drugbank.ca/drugs/DB00434	http://www.disease-ontology.org/term/DOID%3A5419	TRUE	FALSE	TRUE
