omim_id	drugbank_id	omim_name	drugbank_name
304900	DB00035	Diabetes Insipidus, Neurohypophyseal Type	Desmopressin
304900	DB00067	Diabetes Insipidus, Neurohypophyseal Type	Vasopressin
131440	DB00619	Myeloproliferative Disorder, Chronic, With Eosinophilia	Imatinib
138800	DB00279	Goiter, Multinodular 1; Mng1	Liothyronine
138800	DB00451	Goiter, Multinodular 1; Mng1	Levothyroxine
208700	DB00909	Ataxia With Myoclonic Epilepsy And Presenile Dementia	Zonisamide
208700	DB00794	Ataxia With Myoclonic Epilepsy And Presenile Dementia	Primidone
208700	DB00776	Ataxia With Myoclonic Epilepsy And Presenile Dementia	Oxcarbazepine
208700	DB00996	Ataxia With Myoclonic Epilepsy And Presenile Dementia	Gabapentin
608105	DB00909	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And	Zonisamide
608105	DB01202	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And	Levetiracetam
608105	DB00794	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And	Primidone
608105	DB00776	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And	Oxcarbazepine
608105	DB00996	Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And	Gabapentin
146850	DB00959	Immune Suppression; Is	Methylprednisolone
146850	DB00860	Immune Suppression; Is	Prednisolone
146850	DB00635	Immune Suppression; Is	Prednisone
188050	DB00208	Thrombosis, Susceptibility To	Ticlopidine
188050	DB01225	Thrombosis, Susceptibility To	Enoxaparin
188050	DB00569	Thrombosis, Susceptibility To	Fondaparinux sodium
188050	DB00806	Thrombosis, Susceptibility To	Pentoxifylline
188050	DB00407	Thrombosis, Susceptibility To	Ardeparin
188050	DB00278	Thrombosis, Susceptibility To	Argatroban
311360	DB00977	Premature Ovarian Failure 1; Pof1	Ethinyl Estradiol
311360	DB00783	Premature Ovarian Failure 1; Pof1	Estradiol
311360	DB00286	Premature Ovarian Failure 1; Pof1	Conjugated Estrogens
311360	DB00655	Premature Ovarian Failure 1; Pof1	Estrone
137750	DB00449	Glaucoma 1, Open Angle, A; Glc1A	Dipivefrin
137750	DB01214	Glaucoma 1, Open Angle, A; Glc1A	Metipranolol
137750	DB00521	Glaucoma 1, Open Angle, A; Glc1A	Carteolol
137750	DB00484	Glaucoma 1, Open Angle, A; Glc1A	Brimonidine
137750	DB00373	Glaucoma 1, Open Angle, A; Glc1A	Timolol
137750	DB00287	Glaucoma 1, Open Angle, A; Glc1A	Travoprost
137750	DB00668	Glaucoma 1, Open Angle, A; Glc1A	Epinephrine
137750	DB00905	Glaucoma 1, Open Angle, A; Glc1A	Bimatoprost
137750	DB00654	Glaucoma 1, Open Angle, A; Glc1A	Latanoprost
137750	DB00388	Glaucoma 1, Open Angle, A; Glc1A	Phenylephrine
137750	DB00195	Glaucoma 1, Open Angle, A; Glc1A	Betaxolol
137750	DB01210	Glaucoma 1, Open Angle, A; Glc1A	Levobunolol
137750	DB01194	Glaucoma 1, Open Angle, A; Glc1A	Brinzolamide
137750	DB00869	Glaucoma 1, Open Angle, A; Glc1A	Dorzolamide
607685	DB00619	Hypereosinophilic Syndrome, Idiopathic; Hes	Imatinib
600351	DB00804	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Dicyclomine
600351	DB00860	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Prednisolone
600351	DB00635	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Prednisone
600351	DB00808	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Indapamide
600351	DB00214	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Torasemide
600351	DB00695	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Furosemide
600351	DB00903	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Ethacrynic acid
600351	DB01406	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Danazol
600351	DB00819	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Acetazolamide
600351	DB00421	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Spironolactone
600351	DB00880	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Chlorothiazide
600351	DB00436	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Bendroflumethiazide
600351	DB00999	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Hydrochlorothiazide
600351	DB00384	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Triamterene
600351	DB01197	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Captopril
600351	DB00887	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Bumetanide
600351	DB01234	Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency	Dexamethasone
233810	DB00993	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Azathioprine
233810	DB00337	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Pimecrolimus
233810	DB00635	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Prednisone
233810	DB00741	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Hydrocortisone
233810	DB00596	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Halobetasol Propionate
233810	DB00240	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Alclometasone
233810	DB00563	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Methotrexate
233810	DB01260	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Desonide
233810	DB00846	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Flurandrenolide
233810	DB00764	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Mometasone
233810	DB00547	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Desoximetasone
233810	DB01234	Growth Retardation, Small And Puffy Hands And Feet, And Eczema	Dexamethasone
194200	DB00131	Wolff-Parkinson-White Syndrome	Adenosine monophosphate
194200	DB00640	Wolff-Parkinson-White Syndrome	Adenosine
115000	DB01064	Cardiac Arrhythmia	Isoproterenol
115000	DB01228	Cardiac Arrhythmia	Encainide
115000	DB00280	Cardiac Arrhythmia	Disopyramide
115000	DB01035	Cardiac Arrhythmia	Procainamide
115000	DB00252	Cardiac Arrhythmia	Phenytoin
115000	DB00661	Cardiac Arrhythmia	Verapamil
115000	DB00908	Cardiac Arrhythmia	Quinidine
115000	DB01118	Cardiac Arrhythmia	Amiodarone
115000	DB01113	Cardiac Arrhythmia	Papaverine
115000	DB00204	Cardiac Arrhythmia	Dofetilide
115000	DB00571	Cardiac Arrhythmia	Propranolol
115000	DB00379	Cardiac Arrhythmia	Mexiletine
175505	DB00482	Polyposis Of Gastric Fundus Without Polyposis Coli	Celecoxib
210050	DB00332	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Ipratropium bromide
210050	DB01222	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Budesonide
210050	DB00695	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Furosemide
210050	DB00903	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Ethacrynic acid
210050	DB00871	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Terbutaline
210050	DB01223	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Aminophylline
210050	DB00471	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Montelukast
210050	DB00880	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Chlorothiazide
210050	DB00651	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Dyphylline
210050	DB00983	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Formoterol
210050	DB00384	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Triamterene
210050	DB00221	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Isoetharine
210050	DB00887	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Bumetanide
210050	DB00816	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Orciprenaline
210050	DB00277	Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification	Theophylline
246300	DB01045	Leprosy, Susceptibility To, 3; Lprs3	Rifampin
246300	DB01041	Leprosy, Susceptibility To, 3; Lprs3	Thalidomide
277440	DB00136	Vitamin D-Dependent Rickets, Type 2A; Vddr2A	Calcitriol
277440	DB00153	Vitamin D-Dependent Rickets, Type 2A; Vddr2A	Ergocalciferol
607631	DB00909	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1	Zonisamide
607631	DB01202	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1	Levetiracetam
607631	DB00794	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1	Primidone
607631	DB00776	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1	Oxcarbazepine
607631	DB00996	Epilepsy, Juvenile Absence, Susceptibility To, 1; Eja1	Gabapentin
135550	DB00482	Fibromatosis, Gingival, With Progressive Deafness	Celecoxib
115645	DB00963	Cataract, Aberrant Oral Frenula, And Growth Retardation	Bromfenac
143500	DB01174	Gilbert Syndrome	Phenobarbital
140300	DB00279	Hashimoto Thyroiditis	Liothyronine
140300	DB00451	Hashimoto Thyroiditis	Levothyroxine
125700	DB00035	Diabetes Insipidus, Neurohypophyseal	Desmopressin
125700	DB00067	Diabetes Insipidus, Neurohypophyseal	Vasopressin
125700	DB00999	Diabetes Insipidus, Neurohypophyseal	Hydrochlorothiazide
605021	DB00273	Myoclonic Epilepsy, Infantile	Topiramate
605021	DB01080	Myoclonic Epilepsy, Infantile	Vigabatrin
146110	DB00644	Hypogonadotropic Hypogonadism	Gonadorelin
166300	DB00282	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy	Pamidronate
166300	DB00695	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy	Furosemide
166300	DB00887	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy	Bumetanide
166300	DB00214	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy	Torasemide
166300	DB00988	Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy	Dopamine
300125	DB00320	Migraine, Familial Typical, Susceptibility To, 2	Dihydroergotamine
300125	DB00696	Migraine, Familial Typical, Susceptibility To, 2	Ergotamine
300125	DB00434	Migraine, Familial Typical, Susceptibility To, 2	Cyproheptadine
300125	DB00313	Migraine, Familial Typical, Susceptibility To, 2	Valproic Acid
300125	DB00669	Migraine, Familial Typical, Susceptibility To, 2	Sumatriptan
300125	DB00273	Migraine, Familial Typical, Susceptibility To, 2	Topiramate
300125	DB00216	Migraine, Familial Typical, Susceptibility To, 2	Eletriptan
300125	DB00571	Migraine, Familial Typical, Susceptibility To, 2	Propranolol
300125	DB00373	Migraine, Familial Typical, Susceptibility To, 2	Timolol
176800	DB00650	Pronation-Supination Of The Forearm, Impairment Of	Leucovorin
176800	DB00331	Pronation-Supination Of The Forearm, Impairment Of	Metformin
211980	DB00997	Lung Cancer	Doxorubicin
145590	DB01399	Hyperthermia, Cutaneous, With Headaches And Nausea	Salsalate
145590	DB00537	Hyperthermia, Cutaneous, With Headaches And Nausea	Ciprofloxacin
145590	DB01176	Hyperthermia, Cutaneous, With Headaches And Nausea	Cyclizine
145590	DB00201	Hyperthermia, Cutaneous, With Headaches And Nausea	Caffeine
145590	DB00371	Hyperthermia, Cutaneous, With Headaches And Nausea	Meprobamate
145590	DB00788	Hyperthermia, Cutaneous, With Headaches And Nausea	Naproxen
145590	DB00508	Hyperthermia, Cutaneous, With Headaches And Nausea	Triflupromazine
145590	DB00316	Hyperthermia, Cutaneous, With Headaches And Nausea	Acetaminophen
145590	DB00366	Hyperthermia, Cutaneous, With Headaches And Nausea	Doxylamine
145590	DB00945	Hyperthermia, Cutaneous, With Headaches And Nausea	Acetylsalicylic acid
145590	DB00757	Hyperthermia, Cutaneous, With Headaches And Nausea	Dolasetron
145590	DB00477	Hyperthermia, Cutaneous, With Headaches And Nausea	Chlorpromazine
145590	DB00241	Hyperthermia, Cutaneous, With Headaches And Nausea	Butalbital
145590	DB00852	Hyperthermia, Cutaneous, With Headaches And Nausea	Pseudoephedrine
145590	DB00557	Hyperthermia, Cutaneous, With Headaches And Nausea	Hydroxyzine
145590	DB00354	Hyperthermia, Cutaneous, With Headaches And Nausea	Buclizine
145590	DB01009	Hyperthermia, Cutaneous, With Headaches And Nausea	Ketoprofen
145590	DB01234	Hyperthermia, Cutaneous, With Headaches And Nausea	Dexamethasone
145590	DB00320	Hyperthermia, Cutaneous, With Headaches And Nausea	Dihydroergotamine
145590	DB00318	Hyperthermia, Cutaneous, With Headaches And Nausea	Codeine
145590	DB00514	Hyperthermia, Cutaneous, With Headaches And Nausea	Dextromethorphan
145590	DB00140	Hyperthermia, Cutaneous, With Headaches And Nausea	Riboflavin
145590	DB00433	Hyperthermia, Cutaneous, With Headaches And Nausea	Prochlorperazine
145590	DB00904	Hyperthermia, Cutaneous, With Headaches And Nausea	Ondansetron
145590	DB00889	Hyperthermia, Cutaneous, With Headaches And Nausea	Granisetron
145590	DB00767	Hyperthermia, Cutaneous, With Headaches And Nausea	Benzquinamide
145590	DB01231	Hyperthermia, Cutaneous, With Headaches And Nausea	Diphenidol
145590	DB00388	Hyperthermia, Cutaneous, With Headaches And Nausea	Phenylephrine
145590	DB01050	Hyperthermia, Cutaneous, With Headaches And Nausea	Ibuprofen
145590	DB01075	Hyperthermia, Cutaneous, With Headaches And Nausea	Diphenhydramine
181000	DB00620	Sarcoidosis, Susceptibility To, 1; Ss1	Triamcinolone
181000	DB00993	Sarcoidosis, Susceptibility To, 1; Ss1	Azathioprine
181000	DB00635	Sarcoidosis, Susceptibility To, 1; Ss1	Prednisone
181000	DB00608	Sarcoidosis, Susceptibility To, 1; Ss1	Chloroquine
181000	DB01234	Sarcoidosis, Susceptibility To, 1; Ss1	Dexamethasone
176807	DB01101	Prostate Cancer	Capecitabine
176807	DB00014	Prostate Cancer	Goserelin
176807	DB01128	Prostate Cancer	Bicalutamide
176807	DB01204	Prostate Cancer	Mitoxantrone
176807	DB00007	Prostate Cancer	Leuprolide
176807	DB00499	Prostate Cancer	Flutamide
176807	DB01196	Prostate Cancer	Estramustine
176807	DB00783	Prostate Cancer	Estradiol
176807	DB01248	Prostate Cancer	Docetaxel
176807	DB00286	Prostate Cancer	Conjugated Estrogens
113610	DB00536	Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia	Guanidine
113610	DB00434	Branchial Myoclonus With Spastic Paraparesis And Cerebellar Ataxia	Cyproheptadine
134750	DB00995	Felty Syndrome	Auranofin
134520	DB00302	Factors Viii, Ix And Xi, Combined Deficiency Of	Tranexamic Acid
267730	DB00290	Reticulum Cell Sarcoma	Bleomycin
267730	DB00987	Reticulum Cell Sarcoma	Cytarabine
267730	DB00444	Reticulum Cell Sarcoma	Teniposide
267730	DB01204	Reticulum Cell Sarcoma	Mitoxantrone
267730	DB00541	Reticulum Cell Sarcoma	Vincristine
267730	DB00262	Reticulum Cell Sarcoma	Carmustine
267730	DB01073	Reticulum Cell Sarcoma	Fludarabine
267730	DB00563	Reticulum Cell Sarcoma	Methotrexate
602068	DB01167	Leishmaniasis, Tegumentary, Susceptibility To	Itraconazole
602068	DB00437	Leishmaniasis, Tegumentary, Susceptibility To	Allopurinol
231090	DB00917	Hydatidiform Mole	Dinoprostone
231090	DB00563	Hydatidiform Mole	Methotrexate
270960	DB00882	Azoospermia Due To Perturbations Of Meiosis	Clomifene
175510	DB00007	Polyps, Multiple And Recurrent Inflammatory Fibroid, Gastrointestinal	Leuprolide
156190	DB00490	Mental And Growth Retardation With Amblyopia	Buspirone
607850	DB00749	Osteoarthritis Susceptibility 3; Os3	Etodolac
607850	DB00573	Osteoarthritis Susceptibility 3; Os3	Fenoprofen
607850	DB00500	Osteoarthritis Susceptibility 3; Os3	Tolmetin
607850	DB01068	Osteoarthritis Susceptibility 3; Os3	Clonazepam
607850	DB01009	Osteoarthritis Susceptibility 3; Os3	Ketoprofen
607850	DB00788	Osteoarthritis Susceptibility 3; Os3	Naproxen
607850	DB00554	Osteoarthritis Susceptibility 3; Os3	Piroxicam
607850	DB00991	Osteoarthritis Susceptibility 3; Os3	Oxaprozin
607850	DB00712	Osteoarthritis Susceptibility 3; Os3	Flurbiprofen
607850	DB00580	Osteoarthritis Susceptibility 3; Os3	Valdecoxib
607850	DB00605	Osteoarthritis Susceptibility 3; Os3	Sulindac
607850	DB00586	Osteoarthritis Susceptibility 3; Os3	Diclofenac
607850	DB00122	Osteoarthritis Susceptibility 3; Os3	Choline
607850	DB01296	Osteoarthritis Susceptibility 3; Os3	Glucosamine
607850	DB01050	Osteoarthritis Susceptibility 3; Os3	Ibuprofen
607850	DB00945	Osteoarthritis Susceptibility 3; Os3	Acetylsalicylic acid
607850	DB00814	Osteoarthritis Susceptibility 3; Os3	Meloxicam
607850	DB00861	Osteoarthritis Susceptibility 3; Os3	Diflunisal
607850	DB00328	Osteoarthritis Susceptibility 3; Os3	Indomethacin
607850	DB00482	Osteoarthritis Susceptibility 3; Os3	Celecoxib
248190	DB00653	Hypomagnesemia 5, Renal, With Ocular Involvement; Homg5	Magnesium Sulfate
300494	DB00734	Asperger Syndrome, X-Linked, Susceptibility To, 1	Risperidone
300494	DB01255	Asperger Syndrome, X-Linked, Susceptibility To, 1	Lisdexamfetamine
300494	DB00334	Asperger Syndrome, X-Linked, Susceptibility To, 1	Olanzapine
601626	DB00987	Leukemia, Acute Myeloid; Aml	Cytarabine
601626	DB00694	Leukemia, Acute Myeloid; Aml	Daunorubicin
601626	DB01204	Leukemia, Acute Myeloid; Aml	Mitoxantrone
601626	DB00541	Leukemia, Acute Myeloid; Aml	Vincristine
601626	DB01177	Leukemia, Acute Myeloid; Aml	Idarubicin
601626	DB00997	Leukemia, Acute Myeloid; Aml	Doxorubicin
601626	DB00352	Leukemia, Acute Myeloid; Aml	Thioguanine
601626	DB00563	Leukemia, Acute Myeloid; Aml	Methotrexate
601626	DB00982	Leukemia, Acute Myeloid; Aml	Isotretinoin
102500	DB00717	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Norethindrone
102500	DB00783	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Estradiol
102500	DB06285	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Teriparatide
102500	DB00630	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Alendronate
102500	DB00169	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Cholecalciferol
102500	DB00399	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Zoledronate
102500	DB00282	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Pamidronate
102500	DB00603	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Medroxyprogesterone
102500	DB00481	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Raloxifene
102500	DB00999	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Hydrochlorothiazide
102500	DB00710	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Ibandronate
102500	DB00884	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Risedronate
102500	DB00286	Acroosteolysis With Osteoporosis And Changes In Skull And Mandible	Conjugated Estrogens
