drugbank_id	drugbank_name	umls_cui	umls_name	omim_id	omim_name
DB00548	Azelaic Acid	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00548	Azelaic Acid	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00957	Norgestimate	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00957	Norgestimate	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00957	Norgestimate	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00957	Norgestimate	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00957	Norgestimate	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00007	Leuprolide	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00007	Leuprolide	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00007	Leuprolide	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00007	Leuprolide	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00007	Leuprolide	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00421	Spironolactone	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00421	Spironolactone	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00421	Spironolactone	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00421	Spironolactone	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00421	Spironolactone	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00936	Salicyclic acid	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00936	Salicyclic acid	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00936	Salicyclic acid	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00936	Salicyclic acid	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00936	Salicyclic acid	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00210	Adapalene	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00210	Adapalene	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00210	Adapalene	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00210	Adapalene	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00210	Adapalene	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00199	Erythromycin	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00199	Erythromycin	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00199	Erythromycin	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00199	Erythromycin	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00199	Erythromycin	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00717	Norethindrone	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00717	Norethindrone	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00717	Norethindrone	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00717	Norethindrone	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00717	Norethindrone	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01017	Minocycline	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01017	Minocycline	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01017	Minocycline	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01017	Minocycline	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01017	Minocycline	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00982	Isotretinoin	C0702166	Acne	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00982	Isotretinoin	C0001144	Acne (Acne Vulgaris)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00982	Isotretinoin	C0085652	Pyoderma Gangrenosum	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00982	Isotretinoin	C1692886	Pyogenic arthritis NOS (Arthritis, Bacterial)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB00982	Isotretinoin	C0678108	Sterile (Sterility)	604416	Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, And Acne
DB01068	Clonazepam	C1868756	Corneal leukoma	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB01068	Clonazepam	C0263417	Cutis verticis gyrata	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB00949	Felbamate	C1868756	Corneal leukoma	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB00949	Felbamate	C0263417	Cutis verticis gyrata	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB00555	Lamotrigine	C1868756	Corneal leukoma	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB00555	Lamotrigine	C0263417	Cutis verticis gyrata	102100	Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma
DB00318	Codeine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00318	Codeine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00318	Codeine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01075	Diphenhydramine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01075	Diphenhydramine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01075	Diphenhydramine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00852	Pseudoephedrine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00852	Pseudoephedrine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00852	Pseudoephedrine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00514	Dextromethorphan	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00514	Dextromethorphan	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00514	Dextromethorphan	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00868	Benzonatate	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00868	Benzonatate	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00868	Benzonatate	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01069	Promethazine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01069	Promethazine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01069	Promethazine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00388	Phenylephrine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00388	Phenylephrine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00388	Phenylephrine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00956	Hydrocodone	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00956	Hydrocodone	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00956	Hydrocodone	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01551	Dihydrocodeine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01551	Dihydrocodeine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01551	Dihydrocodeine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00316	Acetaminophen	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00316	Acetaminophen	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00316	Acetaminophen	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00397	Phenylpropanolamine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00397	Phenylpropanolamine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00397	Phenylpropanolamine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00327	Hydromorphone	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00327	Hydromorphone	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00327	Hydromorphone	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00907	Cocaine	C1961131	Cough	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00907	Cocaine	C0010200	Cough (Coughing)	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB00907	Cocaine	C0442874	Neuropathy	608088	Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux
DB01008	Busulfan	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00620	Triamcinolone	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB01254	Dasatinib	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00635	Prednisone	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00987	Cytarabine	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00444	Teniposide	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00694	Daunorubicin	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00762	Irinotecan	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00541	Vincristine	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB01177	Idarubicin	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB01073	Fludarabine	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB00563	Methotrexate	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB01234	Dexamethasone	C0023418	LEUKAEMIA (leukemia)	223350	Dohle Bodies And Leukemia
DB01186	Pergolide	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00245	Benzatropine	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00413	Pramipexole	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00494	Entacapone	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00387	Procyclidine	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00323	Tolcapone	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00714	Apomorphine	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB01367	Rasagiline	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00747	Scopolamine	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00190	Carbidopa	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00268	Ropinirole	C0030567	Parkinson Disease	168600	Parkinson Disease; Pd
DB00215	Citalopram	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB00704	Naltrexone	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB00659	Acamprosate	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB00475	Chlordiazepoxide	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB00822	Disulfiram	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB00904	Ondansetron	C0001973	Alcohol Dependence (Alcoholic Intoxication, Chronic)	103780	Alcohol Dependence
DB01124	Tolbutamide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01124	Tolbutamide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01132	Pioglitazone	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01132	Pioglitazone	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00672	Chlorpropamide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00672	Chlorpropamide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01016	Glyburide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01016	Glyburide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01067	Glipizide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01067	Glipizide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00331	Metformin	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00331	Metformin	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01261	Sitagliptin	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01261	Sitagliptin	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00222	Glimepiride	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00222	Glimepiride	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00731	Nateglinide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00731	Nateglinide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00912	Repaglinide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00912	Repaglinide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00839	Tolazamide	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00839	Tolazamide	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01029	Irbesartan	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB01029	Irbesartan	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00284	Acarbose	C0342276	Maturity-onset diabetes of the young (Maturity onset diabetes mellitus in young)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
DB00284	Acarbose	C1838100	MODY3 (MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III)	600496	Maturity-Onset Diabetes Of The Young, Type 3; Mody3
