RXCUI_IN,DRUG_DESC,ICD9,INDICATION_DESCRIPTION,POSSIBLE_LABEL_USE
161,Acetaminophen,487.1,Influenza with other respiratory manifestations,1
161,Acetaminophen,525.9,Dental disorder NOS,1
161,Acetaminophen,536.8,Dyspepsia and other specified disorders of function of stomach,0
161,Acetaminophen,625.3,Dysmenorrhea,1
161,Acetaminophen,715.00,Osteoarthrosis; generalized; involving unspecified site,0
161,Acetaminophen,715.9,Osteoarthrosis; unspecified whether generalized or localized,0
161,Acetaminophen,715.90,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,0
161,Acetaminophen,716.90,Arthropathy; unspecified; site unspecified,1
161,Acetaminophen,724.1,Pain in thoracic spine,1
161,Acetaminophen,724.5,Backache unspecified,1
161,Acetaminophen,729.1,Myalgia and myositis unspecified,1
161,Acetaminophen,780.60,Fever; unspecified,1
161,Acetaminophen,780.96,Generalized pain,1
161,Acetaminophen,780.99,Other general symptoms,0
161,Acetaminophen,781.99,Other symptoms involving nervous and musculoskeletal systems,0
161,Acetaminophen,784.0,Headache,1
161,Acetaminophen,786.2,Cough,0
161,Acetaminophen,787.02,Nausea alone,0
161,Acetaminophen,787.1,Heartburn,0
161,Acetaminophen,995.3,Allergy unspecified not elsewhere classified,0
167,Acetazolamide,345.00,Generalized nonconvulsive epilepsy; without mention of intractable epilepsy,1
167,Acetazolamide,345.9,Epilepsy; unspecified,1
167,Acetazolamide,345.90,Epilepsy; unspecified; without mention of intractable epilepsy,1
167,Acetazolamide,365,Glaucoma,1
167,Acetazolamide,365.9,Glaucoma NOS,1
167,Acetazolamide,428.0,Congestive heart failure (CHF) NOS,1
167,Acetazolamide,780.39,Other convulsions,1
167,Acetazolamide,782.3,Edema,1
167,Acetazolamide,799.89,Other ill-defined conditions,1
167,Acetazolamide,993.2,Other and unspecified effects of high altitude,1
168,Acetic Acid,380.10,Infective otitis externa; unspecified,0
168,Acetic Acid,596.9,Unspecified disorder of bladder,0
168,Acetic Acid,616.10|041.9,,0
197,Acetylcysteine,277.0,Cystic fibrosis,1
197,Acetylcysteine,277.00,Cystic fibrosis without mention of meconium ileus,1
197,Acetylcysteine,277.3,Amyloidosis,1
197,Acetylcysteine,277.30,Amyloidosis NOS,1
197,Acetylcysteine,486,Pneumonia; organism unspecified,1
197,Acetylcysteine,490,Bronchitis NOS,1
197,Acetylcysteine,492,Emphysema,1
197,Acetylcysteine,492.8,Other emphysema,1
197,Acetylcysteine,494,Bronchiectasis,1
197,Acetylcysteine,494.0,Bronchiectasis without acute exacerbation,1
197,Acetylcysteine,514,Pulmonary congestion and hypostasis,0
197,Acetylcysteine,518.52,Other pulmonary insufficiency; not elsewhere classified; following trauma and surgery,0
197,Acetylcysteine,518.89,Other diseases of lung; not elsewhere classified,0
197,Acetylcysteine,584.5,Acute renal failure with lesion of tubular necrosis,0
197,Acetylcysteine,977.9,Poisoning by unspecified drug or medicinal substance,0
197,Acetylcysteine,998.9,Unspecified complication of procedure; not elsewhere classified,0
270,Spectinomycin,098,Gonococcal infections,1
270,Spectinomycin,098.89,Gonococcal infection of other specified sites,1
272,Activated Charcoal,586,Renal failure unspecified,0
272,Activated Charcoal,787.03,Vomiting alone,1
272,Activated Charcoal,787.3,Flatulence; eructation; and gas pain,0
272,Activated Charcoal,787.7,Abnormal feces,0
272,Activated Charcoal,787.91,Diarrhea,0
272,Activated Charcoal,977.9,Poisoning by unspecified drug or medicinal substance,0
272,Activated Charcoal,V62.81,Interpersonal problems; not elsewhere classified,0
281,Acyclovir,042,Human immunodeficiency virus [HIV] disease,0
281,Acyclovir,042-042.99,,0
281,Acyclovir,052,Chickenpox,1
281,Acyclovir,052.9,Varicella uncomplicated,1
281,Acyclovir,053,Herpes zoster,1
281,Acyclovir,053.2,Herpes zoster with ophthalmic complications,0
281,Acyclovir,053.20,Herpes zoster dermatitis of eyelid,0
281,Acyclovir,053.29,Herpes zoster with other ophthalmic complications,0
281,Acyclovir,053.9,Herpes zoster without mention of complication,1
281,Acyclovir,054,Herpes simplex,1
281,Acyclovir,054.1,Genital herpes,1
281,Acyclovir,054.10,Genital herpes NOS,1
281,Acyclovir,054.40,Herpes simplex with unspecified ophthalmic complication,0
281,Acyclovir,054.43,Herpes simplex disciform keratitis,0
281,Acyclovir,054.9,Herpes simplex without mention of complication,1
281,Acyclovir,058.29,Other human herpesvirus encephalitis,1
281,Acyclovir,075,Infectious mononucleosis,0
281,Acyclovir,078.5,Cytomegaloviral disease,0
281,Acyclovir,136.9,Unspecified infectious and parasitic diseases,1
281,Acyclovir,338-338.99,,1
281,Acyclovir,780.79,Other malaise and fatigue,0
281,Acyclovir,780.96,Generalized pain,1
296,Adenosine,426.7,Anomalous atrioventricular excitation,0
296,Adenosine,427.0,Paroxysmal supraventricular tachycardia,1
296,Adenosine,427.1,Paroxysmal ventricular tachycardia,1
296,Adenosine,427.2,Paroxysmal tachycardia; unspecified,0
296,Adenosine,427.31,Atrial fibrillation,1
296,Adenosine,427.32,Atrial flutter,1
296,Adenosine,427.89,Other specified cardiac dysrhythmias,1
296,Adenosine,427.9,Cardiac dysrhythmia NOS,1
309,Adenosine Monophosphate,426.7,Anomalous atrioventricular excitation,0
309,Adenosine Monophosphate,427.0,Paroxysmal supraventricular tachycardia,0
309,Adenosine Monophosphate,427.2,Paroxysmal tachycardia; unspecified,0
318,Adenosine Triphosphate,426.7,Anomalous atrioventricular excitation,0
318,Adenosine Triphosphate,427.0,Paroxysmal supraventricular tachycardia,0
318,Adenosine Triphosphate,427.2,Paroxysmal tachycardia; unspecified,0
376,Corticotropin,255.9,Unspecified disorder of adrenal glands,0
376,Corticotropin,345.6,Infantile spasms,1
376,Corticotropin,345.60,Infantile spasms; without mention of intractable epilepsy,1
388,Polymyxin B Sulfate,041.49,Other and unspecified Escherichia coli [E. coli],0
388,Polymyxin B Sulfate,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,0
388,Polymyxin B Sulfate,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
388,Polymyxin B Sulfate,136.9,Unspecified infectious and parasitic diseases,0
388,Polymyxin B Sulfate,320,Bacterial meningitis,0
388,Polymyxin B Sulfate,320.9,Bacterial meningitis NOS,0
388,Polymyxin B Sulfate,379.99|041.9,,0
388,Polymyxin B Sulfate,380.10,Infective otitis externa; unspecified,0
388,Polymyxin B Sulfate,569.9,Unspecified disorder of intestine,0
388,Polymyxin B Sulfate,596.9,Unspecified disorder of bladder,0
388,Polymyxin B Sulfate,709.9,Unspecified disorder of skin and subcutaneous tissue,0
430,Albendazole,007.1,Giardiasis,0
430,Albendazole,120-129.99,,0
430,Albendazole,121.0,Opisthorchiasis,0
430,Albendazole,121.1,Clonorchiasis,0
430,Albendazole,122,Echinococcosis,1
430,Albendazole,122.9,Echinococcosis; other and unspecified,1
430,Albendazole,123.1,Cysticercosis,1
430,Albendazole,123.6,Hymenolepiasis,0
430,Albendazole,126.9,Ancylostomiasis NOS,0
430,Albendazole,127.3,Trichuriasis,0
430,Albendazole,127.4,Enterobiasis,0
430,Albendazole,127.9,Intestinal helminthiasis; unspecified,0
430,Albendazole,128.0,Toxocariasis,0
430,Albendazole,128.9,Helminthiasis NOS,0
430,Albendazole,136.9,Unspecified infectious and parasitic diseases,1
435,Albuterol,491,Chronic bronchitis,1
435,Albuterol,491.9,Chronic bronchitis NOS,1
435,Albuterol,493,Asthma,1
435,Albuterol,493.81,Exercise induced bronchospasm,1
435,Albuterol,493.9,Asthma; unspecified,1
435,Albuterol,493.90,Asthma; unspecified type; without mention of status asthmaticus,1
435,Albuterol,496,Chronic airway obstruction; not elsewhere classified,0
435,Albuterol,519.11,Acute bronchospasm,1
435,Albuterol,796.4,Other abnormal clinical findings,0
448,Ethanol,276.51,Dehydration,1
448,Ethanol,337.20,Reflex sympathetic dystrophy; unspecified,0
448,Ethanol,350.1,Trigeminal neuralgia,1
448,Ethanol,459.9,Unspecified circulatory system disorder,1
480,Alfentanil,338-338.99,,0
480,Alfentanil,780.96,Generalized pain,0
519,Allopurinol,274,Gout,1
519,Allopurinol,274.9,Gout NOS,1
519,Allopurinol,277.88,Tumor lysis syndrome,0
519,Allopurinol,277.89,Other specified disorders of metabolism,0
519,Allopurinol,592.0,Calculus of kidney,1
519,Allopurinol,593.9,Unspecified disorder of kidney and ureter,1
519,Allopurinol,790.6,Other abnormal blood chemistry,1
569,Eflornithine,086.5,African trypanosoma NOS,0
569,Eflornithine,704.1,Hirsutism,0
594,Alphaprodine,338-338.99,,0
594,Alphaprodine,780.96,Generalized pain,0
596,Alprazolam,300.00,Anxiety state unspecified,1
596,Alprazolam,300.01,Panic disorder without agoraphobia,1
596,Alprazolam,300.02,Generalized anxiety disorder,1
596,Alprazolam,300.21,Agoraphobia with panic disorder,1
596,Alprazolam,300.22,Agoraphobia without mention of panic attacks,1
596,Alprazolam,300.23,Social phobia,1
596,Alprazolam,300.9,Unspecified nonpsychotic mental disorder,1
596,Alprazolam,307.9,Other and unspecified special symptoms or syndromes; not elsewhere classified,1
596,Alprazolam,308.2,Predominant psychomotor disturbance,1
596,Alprazolam,311,Depressive disorder NEC,0
596,Alprazolam,780.79,Other malaise and fatigue,1
596,Alprazolam,787.02,Nausea alone,1
596,Alprazolam,799.21,Nervousness (ADDED),1
598,Alprostadil,302.72,Psychosexual dysfunction with inhibited sexual excitement,1
598,Alprostadil,416.0,Primary pulmonary hypertension,0
598,Alprostadil,446.7,Takayasu's disease,0
598,Alprostadil,607.84,Impotence of organic origin,1
598,Alprostadil,745.2,Tetralogy of Fallot,1
598,Alprostadil,746.02,Stenosis of pulmonary valve; congenital,0
598,Alprostadil,746.1,Tricuspid atresia and stenosis; congenital,1
598,Alprostadil,746.7,Hypoplastic left heart syndrome,0
598,Alprostadil,746.89,Other specified congenital anomalies of heart,1
598,Alprostadil,747.0,Patent ductus arteriosus,1
598,Alprostadil,747.1,Coarctation of aorta,1
598,Alprostadil,747.10,Coarctation of aorta (preductal) (postductal),1
599,Alseroxylon,401-405.99,,0
599,Alseroxylon,401.9,Hypertension NOS,0
599,Alseroxylon,997.91,Hypertension,0
612,Aluminum Hydroxide,338-338.99,,0
612,Aluminum Hydroxide,530.11,Reflux esophagitis,0
612,Aluminum Hydroxide,530.81,Esophageal reflux,0
612,Aluminum Hydroxide,531,Gastric ulcer,0
612,Aluminum Hydroxide,531.90,Gastric ulcer; unspecified as acute or chronic; without mention of hemorrhage or perforation; without mention of obstruction,0
612,Aluminum Hydroxide,532,Duodenal ulcer,0
612,Aluminum Hydroxide,532.90,Duodenal ulcer; unspecified as acute or chronic; without hemorrhage or perforation; without mention of obstruction,0
612,Aluminum Hydroxide,536.8,Dyspepsia and other specified disorders of function of stomach,0
612,Aluminum Hydroxide,564.0,Constipation,0
612,Aluminum Hydroxide,564.00,Constipation NOS,0
612,Aluminum Hydroxide,578,Gastrointestinal hemorrhage,0
612,Aluminum Hydroxide,578.9,Hemorrhage of gastrointestinal tract NOS,0
612,Aluminum Hydroxide,780-789.99,,0
612,Aluminum Hydroxide,780.96,Generalized pain,0
612,Aluminum Hydroxide,787.1,Heartburn,0
620,Amantadine,136.9,Unspecified infectious and parasitic diseases,1
620,Amantadine,332,Parkinson's disease,1
620,Amantadine,332.0,Paralysis agitans,1
620,Amantadine,333.99,Other extrapyramidal diseases and abnormal movement disorders,0
620,Amantadine,487,Influenza,1
620,Amantadine,487.1,Influenza with other respiratory manifestations,1
632,Mitomycin,151.9,Malignant neoplasm of stomach; unspecified,1
632,Mitomycin,188,Malignant neoplasm of bladder,0
632,Mitomycin,188.9,Malignant neoplasm of bladder; part unspecified,0
632,Mitomycin,199.1,Other malignant neoplasm of unspecified site,1
632,Mitomycin,239.0,Neoplasm of unspecified nature of digestive system,0
632,Mitomycin,239.4,Neoplasm of unspecified nature of bladder,0
632,Mitomycin,365,Glaucoma,0
632,Mitomycin,365.9,Glaucoma NOS,0
641,Amikacin,031.9,Unspecified diseases due to mycobacteria,0
641,Amikacin,038,Septicemia,1
641,Amikacin,038.9,Septicemia NOS,1
641,Amikacin,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,0
641,Amikacin,136.9,Unspecified infectious and parasitic diseases,1
641,Amikacin,424.90,Endocarditis valve unspecified cause,0
641,Amikacin,519.8,Other diseases of respiratory system; not elsewhere classified,0
641,Amikacin,599.0,Urinary tract infection; site not specified,1
643,Amikacin Sulfate,031.9,Unspecified diseases due to mycobacteria,0
643,Amikacin Sulfate,038,Septicemia,0
643,Amikacin Sulfate,038.9,Septicemia NOS,0
643,Amikacin Sulfate,041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,0
643,Amikacin Sulfate,136.9,Unspecified infectious and parasitic diseases,0
643,Amikacin Sulfate,424.90,Endocarditis valve unspecified cause,0
643,Amikacin Sulfate,519.8,Other diseases of respiratory system; not elsewhere classified,0
644,Amiloride,276.2,Acidosis,1
644,Amiloride,276.7,Hyperpotassemia,1
644,Amiloride,276.8,Hypopotassemia,1
644,Amiloride,277.0,Cystic fibrosis,0
644,Amiloride,277.00,Cystic fibrosis without mention of meconium ileus,0
644,Amiloride,401-405.99,,1
644,Amiloride,401.9,Hypertension NOS,1
644,Amiloride,427.9,Cardiac dysrhythmia NOS,1
644,Amiloride,428,Heart failure,1
644,Amiloride,428.0,Congestive heart failure (CHF) NOS,1
644,Amiloride,428.9,Heart failure unspecified,1
644,Amiloride,782.3,Edema,0
644,Amiloride,788.42,Polyuria,0
644,Amiloride,789.5,Ascites,0
644,Amiloride,789.59,Other ascites,0
644,Amiloride,997.91,Hypertension,1
677,Aminoglutethimide,239.3,Neoplasm of unspecified nature of breast,0
677,Aminoglutethimide,239.5,Neoplasm of unspecified nature of other genitourinary organs,0
677,Aminoglutethimide,255.0,Cushing's syndrome,0
689,Aminophylline,427.89,Other specified cardiac dysrhythmias,0
689,Aminophylline,490,Bronchitis NOS,1
689,Aminophylline,491,Chronic bronchitis,1
689,Aminophylline,491.9,Chronic bronchitis NOS,1
689,Aminophylline,492,Emphysema,1
689,Aminophylline,492.8,Other emphysema,1
689,Aminophylline,493,Asthma,1
689,Aminophylline,493.9,Asthma; unspecified,1
689,Aminophylline,493.90,Asthma; unspecified type; without mention of status asthmaticus,1
689,Aminophylline,518.89,Other diseases of lung; not elsewhere classified,1
689,Aminophylline,519.11,Acute bronchospasm,0
689,Aminophylline,786.03,Apnea,0
689,Aminophylline,786.09,Other dyspnea and respiratory abnormality,0
703,Amiodarone,427,Cardiac dysrhythmias,1
703,Amiodarone,427.1,Paroxysmal ventricular tachycardia,1
703,Amiodarone,427.41,Ventricular fibrillation,1
703,Amiodarone,427.89,Other specified cardiac dysrhythmias,0
703,Amiodarone,427.9,Cardiac dysrhythmia NOS,1
704,Amitriptyline,053.19,Herpes zoster with other nervous system complications,0
704,Amitriptyline,300.00,Anxiety state unspecified,0
704,Amitriptyline,307.50,Eating disorder NOS,0
704,Amitriptyline,307.9,Other and unspecified special symptoms or syndromes; not elsewhere classified,0
704,Amitriptyline,311,Depressive disorder NEC,1
704,Amitriptyline,338-338.99,,0
704,Amitriptyline,346,Migraine,0
704,Amitriptyline,346.9,Migraine; unspecified,0
704,Amitriptyline,346.90,Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus,0
704,Amitriptyline,564.1,Irritable bowel syndrome,0
704,Amitriptyline,780.96,Generalized pain,0
712,Ammonium Chloride,338-338.99,,0
712,Ammonium Chloride,780.96,Generalized pain,0
712,Ammonium Chloride,786.2,Cough,0
719,Amobarbital,300.00,Anxiety state unspecified,0
719,Amobarbital,307.42,Persistent disorder of initiating or maintaining sleep,0
719,Amobarbital,345.3,Grand mal status; epileptic,0
719,Amobarbital,780.39,Other convulsions,0
719,Amobarbital,780.52,Insomnia; unspecified,0
722,Amoxapine,300.00,Anxiety state unspecified,1
722,Amoxapine,306.9,Unspecified psychophysiological malfunction,0
722,Amoxapine,311,Depressive disorder NEC,1
723,Amoxicillin,027.0,Listeriosis,0
723,Amoxicillin,039,Actinomycotic infections,0
723,Amoxicillin,039.9,Actinomycosis NOS,0
723,Amoxicillin,041.00,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,0
723,Amoxicillin,041.9|421.0,,1
723,Amoxicillin,079.98,Unspecified chlamydial infection in conditions classified elsewhere and of unspecified site,0
723,Amoxicillin,088.81,Lyme disease,0
723,Amoxicillin,098,Gonococcal infections,1
723,Amoxicillin,098.89,Gonococcal infection of other specified sites,1
723,Amoxicillin,136.9,Unspecified infectious and parasitic diseases,1
723,Amoxicillin,382.9,Unspecified otitis media,0
723,Amoxicillin,461.9,Acute sinusitis NOS,0
723,Amoxicillin,462,Acute pharyngitis,1
723,Amoxicillin,486,Pneumonia; organism unspecified,1
723,Amoxicillin,532,Duodenal ulcer,1
723,Amoxicillin,532.90,Duodenal ulcer; unspecified as acute or chronic; without hemorrhage or perforation; without mention of obstruction,1
723,Amoxicillin,599.0,Urinary tract infection; site not specified,0
723,Amoxicillin,686.8|041.9,,0
723,Amoxicillin,686.9,Unspecified local infection of skin and subcutaneous tissue,0
723,Amoxicillin,707.9,Chronic ulcer of unspecified site,1
723,Amoxicillin,E928.3,Human bite,0
725,Amphetamine,314,Hyperkinetic syndrome of childhood,0
725,Amphetamine,314.01,Attention deficit disorder of childhood with hyperactivity,0
725,Amphetamine,314.9,Unspecified hyperkinetic syndrome of childhood,0
725,Amphetamine,347.0,Narcolepsy,0
725,Amphetamine,347.00,Narcolepsy; without cataplexy,0
732,Amphotericin B,085.0,Visceral leishmaniasis,1
732,Amphotericin B,110-118.99,,1
732,Amphotericin B,112,Candidiasis,1
732,Amphotericin B,112.3,Candidiasis of skin and nails,0
732,Amphotericin B,112.9,Candidiasis of unspecified site,1
732,Amphotericin B,114,Coccidioidomycosis,1
732,Amphotericin B,114.9,Coccidioidomycosis NOS,1
732,Amphotericin B,115,Histoplasmosis,1
732,Amphotericin B,115.9,Histoplasmosis; unspecified,1
732,Amphotericin B,115.90,Histoplasmosis; unspecified without mention of manifestation,1
732,Amphotericin B,116,Blastomycotic infection,1
732,Amphotericin B,116.0,Blastomycosis,1
732,Amphotericin B,116.1,Paracoccidioidomycosis,1
732,Amphotericin B,117.1,Sporotrichosis,1
732,Amphotericin B,117.3,Aspergillosis,1
732,Amphotericin B,117.7,Zygomycosis,1
732,Amphotericin B,117.9,Other and unspecified mycoses,1
732,Amphotericin B,136.9,Unspecified infectious and parasitic diseases,1
732,Amphotericin B,288.0,Agranulocytosis,0
732,Amphotericin B,288.00,Neutropenia NOS,0
732,Amphotericin B,321.0,Cryptococcal meningitis,1
732,Amphotericin B,567.9,Peritonitis NOS,0
732,Amphotericin B,595,Cystitis,0
732,Amphotericin B,595.9,Cystitis NOS,0
732,Amphotericin B,599.0,Urinary tract infection; site not specified,0
733,Ampicillin,003.9,Salmonella infection NOS,1
733,Ampicillin,004.9,Shigellosis NOS,0
733,Ampicillin,027.0,Listeriosis,0
733,Ampicillin,036,Meningococcal infection,0
733,Ampicillin,036.9,Meningococcal infection; unspecified,0
733,Ampicillin,039,Actinomycotic infections,0
733,Ampicillin,039.9,Actinomycosis NOS,0
733,Ampicillin,041.10,Unspecified Staphylococcus infection in conditions classified elsewhere and of unspecified site,0
733,Ampicillin,041.2,Pneumococcus infection in conditions classified elsewhere and of unspecified site,0
733,Ampicillin,041.49,Other and unspecified Escherichia coli [E. coli],0
733,Ampicillin,041.85,Other gram-negative organism infection in conditions classified elsewhere and of unspecified site,0
733,Ampicillin,041.9|421.0,,0
733,Ampicillin,098,Gonococcal infections,0
733,Ampicillin,098.89,Gonococcal infection of other specified sites,0
733,Ampicillin,136.9,Unspecified infectious and parasitic diseases,1
733,Ampicillin,320,Bacterial meningitis,1
733,Ampicillin,320.9,Bacterial meningitis NOS,1
733,Ampicillin,322,Meningitis of unspecified cause,1
733,Ampicillin,322.9,Meningitis NOS,1
733,Ampicillin,486,Pneumonia; organism unspecified,1
733,Ampicillin,519.8,Other diseases of respiratory system; not elsewhere classified,1
733,Ampicillin,599.0,Urinary tract infection; site not specified,1
733,Ampicillin,686.8|041.9,,0
733,Ampicillin,998.59,Other postoperative infection,0
733,Ampicillin,E928.3,Human bite,0
738,Inamrinone,425.4,Other primary cardiomyopathies,0
738,Inamrinone,428,Heart failure,1
738,Inamrinone,428.0,Congestive heart failure (CHF) NOS,1
738,Inamrinone,428.9,Heart failure unspecified,1
738,Inamrinone,785.51,Cardiogenic shock,0
738,Inamrinone,785.9,Other symptoms involving cardiovascular system,0
742,Amyl Nitrite,413,Angina pectoris,1
742,Amyl Nitrite,413.9,Other and unspecified angina pectoris,1
742,Amyl Nitrite,786.50,Unspecified chest pain,1
865,Antazoline,372.14,Other chronic allergic conjunctivitis,0
865,Antazoline,698.9,Unspecified pruritic disorder,0
866,Antazoline Phosphate,372.14,Other chronic allergic conjunctivitis,0
866,Antazoline Phosphate,698.9,Unspecified pruritic disorder,0
873,Anthralin,696.1,Other psoriasis and similar disorders excluding psoriatic arthropathy,1
1001,Antipyrine,338-338.99,,0
1001,Antipyrine,382.9,Unspecified otitis media,0
1001,Antipyrine,780.96,Generalized pain,0
1009,Antithrombin III,286.6,Defibrination syndrome,0
1009,Antithrombin III,286.9,Other and unspecified coagulation defects,1
1009,Antithrombin III,453.89,Acute venous embolism and thrombosis of other specified veins (ADDED),0
1009,Antithrombin III,453.9,Embolism and thrombosis of unspecified site,1
1043,Apomorphine,332,Parkinson's disease,0
1043,Apomorphine,332.0,Paralysis agitans,0
1056,Aprotinin,459.0,Hemorrhage NOS,1
1056,Aprotinin,998.11,Hemorrhage complicating a procedure,0
1091,Arginine,253.9,Unspecified disorder of the pituitary gland and its hypothalamic control,0
1091,Arginine,276.2,Acidosis,0
1091,Arginine,276.3,Alkalosis,0
1115,Trihexyphenidyl Hydrochloride,332,Parkinson's disease,0
1115,Trihexyphenidyl Hydrochloride,332.0,Paralysis agitans,1
1115,Trihexyphenidyl Hydrochloride,780-789.99,,0
1151,Ascorbic Acid,136.9,Unspecified infectious and parasitic diseases,1
1151,Ascorbic Acid,260-269.99,,0
1151,Ascorbic Acid,267,Ascorbic acid deficiency,1
1151,Ascorbic Acid,269.9,Unspecified nutritional deficiency,0
1151,Ascorbic Acid,270.2,Other disturbances of aromatic amino-acid metabolism,0
1151,Ascorbic Acid,285.9,Anemia unspecified,0
1151,Ascorbic Acid,289.7,Methemoglobinemia,0
1151,Ascorbic Acid,459.0,Hemorrhage NOS,1
1151,Ascorbic Acid,460,Acute nasopharyngitis (common cold),0
1151,Ascorbic Acid,486,Pneumonia; organism unspecified,1
1151,Ascorbic Acid,799.89,Other ill-defined conditions,1
1151,Ascorbic Acid,799.9,Other unknown and unspecified cause of morbidity or mortality,0
1151,Ascorbic Acid,879.8,Open wound(s) (multiple) of unspecified site(s); without mention of complication,0
1151,Ascorbic Acid,994.2,Effects of hunger,0
1156,ASPARAGINASE,202.80,Other malignant lymphomas; unspecified site; extranodal and solid organ sites,0
1156,ASPARAGINASE,204.0,Lymphoid leukemia; acute,1
1156,ASPARAGINASE,204.00,Acute lymphoid leukemia without mention of having achieved remission,1
1156,ASPARAGINASE,205.00,Acute myeloid leukemia without mention of having achieved remission,1
1191,Aspirin,274,Gout,0
1191,Aspirin,274.9,Gout NOS,0
1191,Aspirin,307.81,Tension headache,0
1191,Aspirin,338-338.99,,1
1191,Aspirin,339.1,Tension type headache,0
1191,Aspirin,339.10,Tension headache NOS,0
1191,Aspirin,346,Migraine,1
1191,Aspirin,346.9,Migraine; unspecified,1
1191,Aspirin,346.90,Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus,1
1191,Aspirin,379.99,Other ill-defined disorders of eye,1
1191,Aspirin,390,Rheumatic fever without mention of heart involvement,1
1191,Aspirin,390-392.99,,1
1191,Aspirin,410.90,Acute myocardial infarction; unspecified site; episode of care unspecified,1
1191,Aspirin,413,Angina pectoris,1
1191,Aspirin,413.9,Other and unspecified angina pectoris,1
1191,Aspirin,434.91,Cerebral artery occlusion; unspecified; with cerebral infarction,1
1191,Aspirin,435.9,Unspecified transient cerebral ischemia,1
1191,Aspirin,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],0
1191,Aspirin,459.0,Hemorrhage NOS,1
1191,Aspirin,460,Acute nasopharyngitis (common cold),1
1191,Aspirin,487,Influenza,1
1191,Aspirin,487.1,Influenza with other respiratory manifestations,1
1191,Aspirin,525.9,Dental disorder NOS,1
1191,Aspirin,536.8,Dyspepsia and other specified disorders of function of stomach,0
1191,Aspirin,578,Gastrointestinal hemorrhage,1
1191,Aspirin,578.9,Hemorrhage of gastrointestinal tract NOS,1
1191,Aspirin,625.3,Dysmenorrhea,1
1191,Aspirin,625.4,Premenstrual tension syndromes,1
1191,Aspirin,642.40,Mild or unspecified pre-eclampsia; unspecified as to episode of care,0
1191,Aspirin,714.0,Rheumatoid arthritis,1
