disease	drug	AJG	CSH	PK	AJG_notes	CSH_notes	PK_notes	doid_id	drugbank_id	majority
acquired immunodeficiency syndrome	Rifabutin	SYM	NOT	NOT	Complication of HIV infection		agree with AJG note	DOID:635	DB00615	NOT
acquired immunodeficiency syndrome	Ritonavir	DM	DM	DM				DOID:635	DB00503	DM
acquired immunodeficiency syndrome	Saquinavir	DM	DM	DM				DOID:635	DB01232	DM
acquired immunodeficiency syndrome	Stavudine	DM	DM	DM				DOID:635	DB00649	DM
acquired immunodeficiency syndrome	Zidovudine	DM	DM	DM				DOID:635	DB00495	DM
alcohol dependence	Acamprosate	DM	DM	DM		(works as well as naltrexone)		DOID:0050741	DB00659	DM
alcohol dependence	Chlordiazepoxide	SYM	SYM	SYM				DOID:0050741	DB00475	SYM
alcohol dependence	Citalopram	DM	SYM	DM			see note on alcohol dependence	DOID:0050741	DB00215	DM
alcohol dependence	Disulfiram	DM	SYM	DM				DOID:0050741	DB00822	DM
alcohol dependence	Folic Acid	NOT	NOT	NOT	Used to overcome side effect of medicine			DOID:0050741	DB00158	NOT
alcohol dependence	Naltrexone	DM	SYM	DM				DOID:0050741	DB00704	DM
alcohol dependence	Ondansetron	NOT	SYM	SYM				DOID:0050741	DB00904	SYM
allergic rhinitis	Betamethasone	DM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00443	DM
allergic rhinitis	Cefdinir	NOT	NOT	NOT			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00535	NOT
allergic rhinitis	Cetirizine	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00341	DM
allergic rhinitis	Clindamycin	NOT	NOT	NOT				DOID:4481	DB01190	NOT
allergic rhinitis	Cyproheptadine	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00434	DM
allergic rhinitis	Desloratadine	SYM	DM	DM		im having a hard time with allergic rhinitis. Maybe all of these meds are SYM.	see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00967	DM
allergic rhinitis	Dexamethasone	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB01234	DM
allergic rhinitis	Dimenhydrinate	NOT	SYM	DM			"it blocks histamine-H1 just like benadryl. Granted, one would never actually use this in clinic (you would just use benadryl given better efficacy and less side effects), but given the mechanism of action there is ""reasonable evidence of efficacy"""	DOID:4481	DB00985	
allergic rhinitis	Diphenhydramine	SYM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB01075	SYM
allergic rhinitis	Ephedrine	SYM	SYM	SYM			same as oxymetazoline	DOID:4481	DB01364	SYM
allergic rhinitis	Epinephrine	SYM	SYM	SYM			same as oxymetazoline	DOID:4481	DB00668	SYM
allergic rhinitis	Esomeprazole	NOT	NOT	NOT				DOID:4481	DB00736	NOT
allergic rhinitis	Flunisolide	SYM	SYM	DM		Pilot classification: symptomatic; Pilot notes:	see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00180	SYM
allergic rhinitis	Hydrocortisone	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00741	DM
allergic rhinitis	Loratadine	SYM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00455	SYM
allergic rhinitis	Methylprednisolone	DM	SYM	DM		acute	see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00959	DM
allergic rhinitis	Montelukast	DM	DM	DM				DOID:4481	DB00471	DM
allergic rhinitis	Olopatadine	SYM	DM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00768	DM
allergic rhinitis	Omeprazole	NOT	NOT	NOT				DOID:4481	DB00338	NOT
allergic rhinitis	Oxymetazoline	DM	SYM	SYM			only treats a symptom (vasoconstriction) but does not stop the allergic response	DOID:4481	DB00935	SYM
allergic rhinitis	Prednisolone	DM	SYM	DM			see note on antihistamines and steroids in allergic rhinitis	DOID:4481	DB00860	DM
allergic rhinitis	Pseudoephedrine	DM	SYM	SYM			same as oxymetazoline	DOID:4481	DB00852	SYM
allergic rhinitis	Salbutamol	SYM	SYM	SYM			almost chose DM because of anti-inflammatory properties	DOID:4481	DB01001	SYM
allergic rhinitis	Triamcinolone	NOT	DM	DM			AJG probably not considering PO formulation	DOID:4481	DB00620	DM
alopecia areata	Triamcinolone	DM	DM	DM				DOID:986	DB00620	DM
amyotrophic lateral sclerosis	Dextromethorphan	SYM	SYM	SYM				DOID:332	DB00514	SYM
amyotrophic lateral sclerosis	Riluzole	DM	SYM	DM		or DM?	DM but barely efficacious, certainly not SYM	DOID:332	DB00740	DM
anemia	Aminocaproic Acid	NOT	NOT	NOT		give amicar in hemorrhage, not spec for anemia		DOID:2355	DB00513	NOT
anemia	Betamethasone	NOT	NOT	NOT				DOID:2355	DB00443	NOT
anemia	Decitabine	NOT	NOT	NOT				DOID:2355	DB01262	NOT
anemia	Deferiprone	SYM	DM	NOT				DOID:2355	DB08826	
anemia	Dexamethasone	NOT	NOT	NOT				DOID:2355	DB01234	NOT
anemia	Felbamate	NOT	NOT	NOT	Side effect not treatment			DOID:2355	DB00949	NOT
anemia	Folic Acid	DM	DM	NOT	Megaloblastic type			DOID:2355	DB00158	DM
anemia	Methylprednisolone	SYM	SYM	NOT				DOID:2355	DB00959	SYM
anemia	Prednisolone	NOT	NOT	NOT				DOID:2355	DB00860	NOT
anemia	Prednisone	NOT	SYM	NOT				DOID:2355	DB00635	NOT
anemia	Pyridoxine	DM	DM	NOT	For pyrodoxine responsive anemia	for B6 def anemia		DOID:2355	DB00165	DM
anemia	Triamcinolone	NOT	NOT	NOT				DOID:2355	DB00620	NOT
anemia	Vitamin C	NOT	DM	NOT				DOID:2355	DB00126	NOT
anemia	Vitamin E	NOT	DM	NOT		vit E def asst hemolytic anemia		DOID:2355	DB00163	NOT
ankylosing spondylitis	Betamethasone	SYM	DM	DM				DOID:7147	DB00443	DM
ankylosing spondylitis	Celecoxib	SYM	SYM	SYM				DOID:7147	DB00482	SYM
ankylosing spondylitis	Cyclobenzaprine	NOT	SYM	NOT			not aware of indication, AS is joint stiffness not muscle stiffness	DOID:7147	DB00924	NOT
ankylosing spondylitis	Dexamethasone	DM	SYM	DM				DOID:7147	DB01234	DM
ankylosing spondylitis	Diclofenac	SYM	SYM	SYM				DOID:7147	DB00586	SYM
ankylosing spondylitis	Esomeprazole	SYM	NOT	NOT			treats drug side effect	DOID:7147	DB00736	NOT
ankylosing spondylitis	Folic Acid	NOT	NOT	NOT	Used to overcome side effect of medicine			DOID:7147	DB00158	NOT
ankylosing spondylitis	Indomethacin	SYM	SYM	SYM				DOID:7147	DB00328	SYM
ankylosing spondylitis	Meloxicam	SYM	SYM	SYM				DOID:7147	DB00814	SYM
ankylosing spondylitis	Methotrexate	DM	DM	DM				DOID:7147	DB00563	DM
ankylosing spondylitis	Methylprednisolone	SYM	SYM	DM				DOID:7147	DB00959	SYM
ankylosing spondylitis	Naproxen	SYM	SYM	SYM				DOID:7147	DB00788	SYM
ankylosing spondylitis	Omeprazole	SYM	NOT	NOT			should match esomeprazole	DOID:7147	DB00338	NOT
ankylosing spondylitis	Piroxicam	DM	SYM	SYM			conflicting evidence whether it actually changes disease progression	DOID:7147	DB00554	SYM
ankylosing spondylitis	Prednisolone	DM	SYM	DM		Pilot classification: symptomatic; Pilot notes:		DOID:7147	DB00860	DM
ankylosing spondylitis	Prednisone	SYM	SYM	DM				DOID:7147	DB00635	SYM
ankylosing spondylitis	Sulfasalazine	DM	DM	DM				DOID:7147	DB00795	DM
ankylosing spondylitis	Tolmetin	DM	SYM	SYM				DOID:7147	DB00500	SYM
ankylosing spondylitis	Triamcinolone	NOT	DM	DM				DOID:7147	DB00620	DM
asthma	Aminophylline	SYM	SYM	DM			same as theophylline	DOID:2841	DB01223	SYM
asthma	Arformoterol	SYM	DM	DM			see notes on asthma	DOID:2841	DB01274	DM
asthma	Beclomethasone	DM	DM	DM			see notes on asthma	DOID:2841	DB00394	DM
asthma	Betamethasone	SYM	DM	DM			see notes on asthma	DOID:2841	DB00443	DM
asthma	Budesonide	DM	DM	DM			see notes on asthma	DOID:2841	DB01222	DM
asthma	Cefdinir	NOT	NOT	NOT				DOID:2841	DB00535	NOT
asthma	Ciclesonide	DM	DM	DM			see notes on asthma	DOID:2841	DB01410	DM
asthma	Ciprofloxacin	NOT	SYM	NOT		acute exac	not used in pure asthma in my experience	DOID:2841	DB00537	NOT
asthma	Cromoglicic acid	SYM	DM	DM			see notes on asthma	DOID:2841	DB01003	DM
asthma	Dexamethasone	SYM	SYM	DM			see notes on asthma	DOID:2841	DB01234	SYM
asthma	Dyphylline	SYM	SYM	DM			same as theophylline	DOID:2841	DB00651	SYM
asthma	Ephedrine	SYM	SYM	SYM				DOID:2841	DB01364	SYM
asthma	Epinephrine	SYM	SYM	SYM				DOID:2841	DB00668	SYM
asthma	Flunisolide	SYM	DM	DM			prevents attacks	DOID:2841	DB00180	DM
asthma	Fluticasone Propionate	SYM	SYM	DM			see notes on asthma	DOID:2841	DB00588	SYM
asthma	Fluticasone furoate	SYM	SYM	DM			see notes on asthma	DOID:2841	DB08906	SYM
asthma	Formoterol	SYM	DM	DM			see notes on asthma	DOID:2841	DB00983	DM
asthma	Hydrocortisone	SYM	SYM	DM		hm.	see notes on asthma	DOID:2841	DB00741	SYM
asthma	Indacaterol	DM	NOT	DM		not sure if works in asthma	see notes on asthma	DOID:2841	DB05039	DM
asthma	Ipratropium bromide	DM	DM	DM			see notes on asthma	DOID:2841	DB00332	DM
asthma	Isoetarine	SYM	SYM	DM			see notes on asthma	DOID:2841	DB00221	SYM
asthma	Isoprenaline	SYM	SYM	DM			see notes on asthma	DOID:2841	DB01064	SYM
asthma	Ketotifen	DM	SYM	DM			see notes on asthma	DOID:2841	DB00920	DM
asthma	Levofloxacin	NOT	NOT	NOT	Used to prevent complications		same as ciprofloxacin	DOID:2841	DB01137	NOT
asthma	Loratadine	SYM	SYM	DM			see notes on asthma	DOID:2841	DB00455	SYM
asthma	Methylprednisolone	DM	SYM	DM			see notes on asthma	DOID:2841	DB00959	DM
asthma	Mometasone	SYM	DM	DM			see notes on asthma	DOID:2841	DB00764	DM
asthma	Montelukast	DM	DM	DM			see notes on asthma	DOID:2841	DB00471	DM
asthma	Moxifloxacin	SYM	NOT	NOT			same as ciprofloxacin	DOID:2841	DB00218	NOT
asthma	Nedocromil	SYM	DM	DM			see notes on asthma	DOID:2841	DB00716	DM
asthma	Orciprenaline	SYM	DM	DM			see notes on asthma	DOID:2841	DB00816	DM
asthma	Pirbuterol	SYM	DM	DM			see notes on asthma	DOID:2841	DB01291	DM
asthma	Prednisolone	DM	SYM	DM			see notes on asthma	DOID:2841	DB00860	DM
asthma	Prednisone	DM	SYM	DM			see notes on asthma	DOID:2841	DB00635	DM
asthma	Pseudoephedrine	SYM	SYM	SYM				DOID:2841	DB00852	SYM
asthma	Salbutamol	SYM	SYM	DM			see notes on asthma	DOID:2841	DB01001	SYM
asthma	Salmeterol	SYM	DM	DM			see notes on asthma	DOID:2841	DB00938	DM
asthma	Terbutaline	SYM	DM	DM			see notes on asthma	DOID:2841	DB00871	DM
asthma	Theophylline	SYM	DM	DM			see notes on asthma	DOID:2841	DB00277	DM
asthma	Tiotropium	SYM	DM	DM			see notes on asthma	DOID:2841	DB01409	DM
asthma	Triamcinolone	SYM	DM	DM			see notes on asthma	DOID:2841	DB00620	DM
asthma	Trimethoprim	NOT	NOT	NOT				DOID:2841	DB00440	NOT
asthma	WF10	DM	NOT	DM		in research	Nuvo Research granted U.S. Patent for treatment of allergic rhinitis and allergic asthma with WF10	DOID:2841	DB05389	DM
asthma	Zafirlukast	DM	DM	DM				DOID:2841	DB00549	DM
asthma	Zileuton	SYM	DM	DM		Pilot classification: disease-modifying; Pilot notes: oral, inhibitis leukotrienes	see notes on asthma	DOID:2841	DB00744	DM
atherosclerosis	Clopidogrel	NOT	NOT	NOT	Indicated for complication of atherosclerosis but does not treat underlying condition			DOID:1936	DB00758	NOT
atherosclerosis	Epoprostenol	NOT	NOT	NOT				DOID:1936	DB01240	NOT
atherosclerosis	Ezetimibe	DM	DM	DM				DOID:1936	DB00973	DM
atherosclerosis	Lovastatin	DM	DM	DM				DOID:1936	DB00227	DM
atherosclerosis	Niacin	SYM	DM	DM				DOID:1936	DB00627	DM
atherosclerosis	Pravastatin	DM	DM	DM				DOID:1936	DB00175	DM
atherosclerosis	Rosuvastatin	DM	DM	DM				DOID:1936	DB01098	DM
atherosclerosis	Simvastatin	DM	DM	DM				DOID:1936	DB00641	DM
atherosclerosis	Tolazoline	NOT	NOT	NOT				DOID:1936	DB00797	NOT
atopic dermatitis	Betamethasone	DM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB00443	DM
atopic dermatitis	Clindamycin	NOT	NOT	NOT		for superimpsoed infections		DOID:3310	DB01190	NOT
atopic dermatitis	Desonide	DM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB01260	DM
atopic dermatitis	Dexamethasone	DM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB01234	DM
atopic dermatitis	Dimenhydrinate	NOT	SYM	DM			"it blocks histamine-H1 just like benadryl. Granted, one would never actually use this in clinic (you would just use benadryl given better efficacy and less side effects), but given the mechanism of action there is ""reasonable evidence of efficacy"""	DOID:3310	DB00985	
atopic dermatitis	Diphenhydramine	SYM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB01075	SYM
atopic dermatitis	Doxepin	DM	SYM	SYM			treats only the itching, not the biology	DOID:3310	DB01142	SYM
atopic dermatitis	Fluocinolone Acetonide	DM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB00591	DM
atopic dermatitis	Fluocinonide	DM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB01047	DM
atopic dermatitis	Hydrocortisone	DM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB00741	DM
atopic dermatitis	Loratadine	DM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB00455	DM
atopic dermatitis	Methylprednisolone	DM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB00959	DM
atopic dermatitis	Mometasone	SYM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB00764	DM
atopic dermatitis	Mupirocin	DM	NOT	NOT			similar to ciprofloxacin	DOID:3310	DB00410	NOT
atopic dermatitis	Pimecrolimus	DM	DM	DM				DOID:3310	DB00337	DM
atopic dermatitis	Prednisolone	DM	SYM	DM			see notes on atopic dermatitis	DOID:3310	DB00860	DM
atopic dermatitis	Prednisone	DM	SYM	DM		Pilot classification: symptomatic; Pilot notes:	see notes on atopic dermatitis	DOID:3310	DB00635	DM
atopic dermatitis	Tacrolimus	DM	DM	DM				DOID:3310	DB00864	DM
atopic dermatitis	Triamcinolone	DM	DM	DM			see notes on atopic dermatitis	DOID:3310	DB00620	DM
atopic dermatitis	Triprolidine	SYM	SYM	SYM			similar to sudafed	DOID:3310	DB00427	SYM
attention deficit hyperactivity disorder	Amphetamine	SYM	SYM	SYM				DOID:1094	DB00182	SYM
attention deficit hyperactivity disorder	Atomoxetine	SYM	SYM	SYM				DOID:1094	DB00289	SYM
attention deficit hyperactivity disorder	Bupropion	SYM	SYM	SYM				DOID:1094	DB01156	SYM
attention deficit hyperactivity disorder	Clonidine	SYM	SYM	SYM				DOID:1094	DB00575	SYM
attention deficit hyperactivity disorder	Desipramine	SYM	SYM	SYM				DOID:1094	DB01151	SYM
attention deficit hyperactivity disorder	Dextroamphetamine	SYM	SYM	SYM				DOID:1094	DB01576	SYM
attention deficit hyperactivity disorder	Guanfacine	SYM	SYM	SYM				DOID:1094	DB01018	SYM
attention deficit hyperactivity disorder	Imipramine	SYM	SYM	SYM				DOID:1094	DB00458	SYM
attention deficit hyperactivity disorder	Lisdexamfetamine	SYM	SYM	SYM				DOID:1094	DB01255	SYM
attention deficit hyperactivity disorder	Methamphetamine	SYM	SYM	SYM				DOID:1094	DB01577	SYM
attention deficit hyperactivity disorder	Methylphenidate	SYM	SYM	SYM				DOID:1094	DB00422	SYM
attention deficit hyperactivity disorder	Modafinil	NOT	SYM	SYM			per uptodate	DOID:1094	DB00745	SYM
attention deficit hyperactivity disorder	Nortriptyline	SYM	SYM	SYM				DOID:1094	DB00540	SYM
attention deficit hyperactivity disorder	Venlafaxine	SYM	SYM	SYM				DOID:1094	DB00285	SYM
autistic disorder	Aripiprazole	SYM	SYM	SYM				DOID:12849	DB01238	SYM
autistic disorder	Atomoxetine	SYM	SYM	SYM				DOID:12849	DB00289	SYM
autistic disorder	Benzatropine	SYM	SYM	SYM				DOID:12849	DB00245	SYM
autistic disorder	Clonazepam	DM	SYM	SYM				DOID:12849	DB01068	SYM
autistic disorder	Clonidine	SYM	SYM	SYM				DOID:12849	DB00575	SYM
autistic disorder	L-Carnitine	NOT	SYM	NOT			tiny tiny fraction of autism related to carnitine deficiency	DOID:12849	DB00583	NOT
autistic disorder	Quetiapine	SYM	SYM	SYM				DOID:12849	DB01224	SYM
autistic disorder	Risperidone	SYM	SYM	SYM				DOID:12849	DB00734	SYM
