drug	disease	classification	notes	drug_url	disease_url
Aciclovir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB00787	http://www.disease-ontology.org/term/DOID%3A635
Acitretin	psoriasis			http://www.drugbank.ca/drugs/DB00459	http://www.disease-ontology.org/term/DOID%3A8893
Adefovir Dipivoxil	hepatitis B			http://www.drugbank.ca/drugs/DB00718	http://www.disease-ontology.org/term/DOID%3A2043
Alendronate	Paget's disease of bone			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A5408
Alendronate	breast cancer			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A1612
Alendronate	osteoporosis			http://www.drugbank.ca/drugs/DB00630	http://www.disease-ontology.org/term/DOID%3A11476
Alitretinoin	hematologic cancer			http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A2531
Alitretinoin	peripheral nervous system neoplasm			http://www.drugbank.ca/drugs/DB00523	http://www.disease-ontology.org/term/DOID%3A1192
Allopurinol	gout			http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A13189
Allopurinol	hematologic cancer			http://www.drugbank.ca/drugs/DB00437	http://www.disease-ontology.org/term/DOID%3A2531
Almotriptan	migraine			http://www.drugbank.ca/drugs/DB00918	http://www.disease-ontology.org/term/DOID%3A6364
Alprazolam	panic disorder			http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A594
Alprazolam	systemic scleroderma	SYM	Pilot classification: symptomatic; Pilot notes: 	http://www.drugbank.ca/drugs/DB00404	http://www.disease-ontology.org/term/DOID%3A418
Alprostadil	hypertension			http://www.drugbank.ca/drugs/DB00770	http://www.disease-ontology.org/term/DOID%3A10763
Altretamine	ovarian cancer			http://www.drugbank.ca/drugs/DB00488	http://www.disease-ontology.org/term/DOID%3A2394
Amantadine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A14330
Amantadine	multiple sclerosis			http://www.drugbank.ca/drugs/DB00915	http://www.disease-ontology.org/term/DOID%3A2377
Amiloride	hypertension			http://www.drugbank.ca/drugs/DB00594	http://www.disease-ontology.org/term/DOID%3A10763
Aminocaproic Acid	anemia			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A2355
Aminocaproic Acid	prostate cancer			http://www.drugbank.ca/drugs/DB00513	http://www.disease-ontology.org/term/DOID%3A10283
Aminophylline	asthma			http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A2841
Aminophylline	chronic obstructive pulmonary disease			http://www.drugbank.ca/drugs/DB01223	http://www.disease-ontology.org/term/DOID%3A3083
Amiodarone	coronary artery disease			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A3393
Amiodarone	hypertension			http://www.drugbank.ca/drugs/DB01118	http://www.disease-ontology.org/term/DOID%3A10763
Amitriptyline	endogenous depression			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A1595
Amitriptyline	migraine			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A6364
Amitriptyline	multiple sclerosis			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A2377
Amitriptyline	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A7148
Amitriptyline	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00321	http://www.disease-ontology.org/term/DOID%3A9074
Amlodipine	coronary artery disease			http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A3393
Amlodipine	hypertension			http://www.drugbank.ca/drugs/DB00381	http://www.disease-ontology.org/term/DOID%3A10763
Amobarbital	epilepsy syndrome			http://www.drugbank.ca/drugs/DB01351	http://www.disease-ontology.org/term/DOID%3A1826
Amphetamine	attention deficit hyperactivity disorder			http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A1094
Amphetamine	narcolepsy			http://www.drugbank.ca/drugs/DB00182	http://www.disease-ontology.org/term/DOID%3A8986
Amprenavir	acquired immunodeficiency syndrome			http://www.drugbank.ca/drugs/DB00701	http://www.disease-ontology.org/term/DOID%3A635
Amrinone	dilated cardiomyopathy			http://www.drugbank.ca/drugs/DB01427	http://www.disease-ontology.org/term/DOID%3A12930
Anagrelide	hematologic cancer			http://www.drugbank.ca/drugs/DB00261	http://www.disease-ontology.org/term/DOID%3A2531
Anastrozole	breast cancer			http://www.drugbank.ca/drugs/DB01217	http://www.disease-ontology.org/term/DOID%3A1612
Antipyrine	migraine			http://www.drugbank.ca/drugs/DB01435	http://www.disease-ontology.org/term/DOID%3A6364
Apomorphine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00714	http://www.disease-ontology.org/term/DOID%3A14330
Apraclonidine	glaucoma			http://www.drugbank.ca/drugs/DB00964	http://www.disease-ontology.org/term/DOID%3A1686
Aprepitant	breast cancer			http://www.drugbank.ca/drugs/DB00673	http://www.disease-ontology.org/term/DOID%3A1612
Aprepitant	colon cancer			http://www.drugbank.ca/drugs/DB00673	http://www.disease-ontology.org/term/DOID%3A219
Arformoterol	asthma			http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A2841
Arformoterol	chronic obstructive pulmonary disease			http://www.drugbank.ca/drugs/DB01274	http://www.disease-ontology.org/term/DOID%3A3083
Aripiprazole	autistic disorder			http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A12849
Aripiprazole	bipolar disorder			http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A3312
Aripiprazole	endogenous depression			http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A1595
Aripiprazole	schizophrenia			http://www.drugbank.ca/drugs/DB01238	http://www.disease-ontology.org/term/DOID%3A5419
Artemether	malaria			http://www.drugbank.ca/drugs/DB06697	http://www.disease-ontology.org/term/DOID%3A12365
Atomoxetine	attention deficit hyperactivity disorder			http://www.drugbank.ca/drugs/DB00289	http://www.disease-ontology.org/term/DOID%3A1094
Atomoxetine	autistic disorder			http://www.drugbank.ca/drugs/DB00289	http://www.disease-ontology.org/term/DOID%3A12849
Atorvastatin	coronary artery disease			http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A3393
Atorvastatin	hypertension			http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A10763
Atorvastatin	type 2 diabetes mellitus			http://www.drugbank.ca/drugs/DB01076	http://www.disease-ontology.org/term/DOID%3A9352
Atropine	Crohn's disease			http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A8778
Atropine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A14330
Atropine	pancreatitis			http://www.drugbank.ca/drugs/DB00572	http://www.disease-ontology.org/term/DOID%3A4989
Auranofin	psoriatic arthritis			http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A9008
Auranofin	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00995	http://www.disease-ontology.org/term/DOID%3A7148
Azathioprine	Crohn's disease			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A8778
Azathioprine	multiple sclerosis			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A2377
Azathioprine	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A7148
Azathioprine	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A9074
Azathioprine	systemic scleroderma			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A418
Azathioprine	ulcerative colitis			http://www.drugbank.ca/drugs/DB00993	http://www.disease-ontology.org/term/DOID%3A8577
Baclofen	multiple sclerosis	SYM	Pilot classification: symptomatic; Pilot notes: 	http://www.drugbank.ca/drugs/DB00181	http://www.disease-ontology.org/term/DOID%3A2377
Balsalazide	Crohn's disease			http://www.drugbank.ca/drugs/DB01014	http://www.disease-ontology.org/term/DOID%3A8778
Balsalazide	ulcerative colitis			http://www.drugbank.ca/drugs/DB01014	http://www.disease-ontology.org/term/DOID%3A8577
Beclomethasone	asthma			http://www.drugbank.ca/drugs/DB00394	http://www.disease-ontology.org/term/DOID%3A2841
Beclomethasone	psoriasis			http://www.drugbank.ca/drugs/DB00394	http://www.disease-ontology.org/term/DOID%3A8893
Benazepril	hypertension			http://www.drugbank.ca/drugs/DB00542	http://www.disease-ontology.org/term/DOID%3A10763
Bendroflumethiazide	hypertension			http://www.drugbank.ca/drugs/DB00436	http://www.disease-ontology.org/term/DOID%3A10763
Benzatropine	Alzheimer's disease			http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A10652
Benzatropine	Parkinson's disease			http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A14330
Benzatropine	autistic disorder			http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A12849
Benzatropine	schizophrenia			http://www.drugbank.ca/drugs/DB00245	http://www.disease-ontology.org/term/DOID%3A5419
Benzphetamine	obesity			http://www.drugbank.ca/drugs/DB00865	http://www.disease-ontology.org/term/DOID%3A9970
Bepridil	hypertension			http://www.drugbank.ca/drugs/DB01244	http://www.disease-ontology.org/term/DOID%3A10763
Betamethasone	allergic rhinitis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A4481
Betamethasone	anemia			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2355
Betamethasone	ankylosing spondylitis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A7147
Betamethasone	asthma			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2841
Betamethasone	atopic dermatitis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A3310
Betamethasone	brain cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A1319
Betamethasone	breast cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A1612
Betamethasone	colon cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A219
Betamethasone	hematologic cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2531
Betamethasone	hypertension			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A10763
Betamethasone	kidney cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A263
Betamethasone	multiple sclerosis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A2377
Betamethasone	prostate cancer			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A10283
Betamethasone	psoriasis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A8893
Betamethasone	psoriatic arthritis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A9008
Betamethasone	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A7148
Betamethasone	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A9074
Betamethasone	ulcerative colitis			http://www.drugbank.ca/drugs/DB00443	http://www.disease-ontology.org/term/DOID%3A8577
Betaxolol	glaucoma			http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A1686
Betaxolol	hypertension			http://www.drugbank.ca/drugs/DB00195	http://www.disease-ontology.org/term/DOID%3A10763
Bexarotene	hematologic cancer			http://www.drugbank.ca/drugs/DB00307	http://www.disease-ontology.org/term/DOID%3A2531
Bicalutamide	prostate cancer			http://www.drugbank.ca/drugs/DB01128	http://www.disease-ontology.org/term/DOID%3A10283
Bimatoprost	glaucoma			http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A1686
Bimatoprost	hypertension			http://www.drugbank.ca/drugs/DB00905	http://www.disease-ontology.org/term/DOID%3A10763
Biperiden	Alzheimer's disease			http://www.drugbank.ca/drugs/DB00810	http://www.disease-ontology.org/term/DOID%3A10652
Biperiden	Parkinson's disease			http://www.drugbank.ca/drugs/DB00810	http://www.disease-ontology.org/term/DOID%3A14330
Bismuth Subsalicylate	psoriasis			http://www.drugbank.ca/drugs/DB01294	http://www.disease-ontology.org/term/DOID%3A8893
Bleomycin	germ cell cancer			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A2994
Bleomycin	hematologic cancer			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A2531
Bleomycin	lymphatic system cancer			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A0060073
Bleomycin	melanoma			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A1909
Bleomycin	skin cancer			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A4159
Bleomycin	testicular cancer			http://www.drugbank.ca/drugs/DB00290	http://www.disease-ontology.org/term/DOID%3A2998
Bortezomib	hematologic cancer			http://www.drugbank.ca/drugs/DB00188	http://www.disease-ontology.org/term/DOID%3A2531
Bosentan	hypertension			http://www.drugbank.ca/drugs/DB00559	http://www.disease-ontology.org/term/DOID%3A10763
Brimonidine	glaucoma			http://www.drugbank.ca/drugs/DB00484	http://www.disease-ontology.org/term/DOID%3A1686
Brimonidine	hypertension			http://www.drugbank.ca/drugs/DB00484	http://www.disease-ontology.org/term/DOID%3A10763
Brinzolamide	glaucoma			http://www.drugbank.ca/drugs/DB01194	http://www.disease-ontology.org/term/DOID%3A1686
Brinzolamide	hypertension			http://www.drugbank.ca/drugs/DB01194	http://www.disease-ontology.org/term/DOID%3A10763
Bromocriptine	Parkinson's disease			http://www.drugbank.ca/drugs/DB01200	http://www.disease-ontology.org/term/DOID%3A14330
Bromocriptine	type 2 diabetes mellitus			http://www.drugbank.ca/drugs/DB01200	http://www.disease-ontology.org/term/DOID%3A9352
Budesonide	asthma			http://www.drugbank.ca/drugs/DB01222	http://www.disease-ontology.org/term/DOID%3A2841
Budesonide	ulcerative colitis			http://www.drugbank.ca/drugs/DB01222	http://www.disease-ontology.org/term/DOID%3A8577
Bumetanide	chronic kidney failure			http://www.drugbank.ca/drugs/DB00887	http://www.disease-ontology.org/term/DOID%3A784
Bumetanide	hypertension			http://www.drugbank.ca/drugs/DB00887	http://www.disease-ontology.org/term/DOID%3A10763
Bupropion	attention deficit hyperactivity disorder			http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A1094
Bupropion	obesity			http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A9970
Bupropion	panic disorder	SYM	Pilot classification: disease-modifying; Pilot notes: if it reduces 'flares' of panic attacks	http://www.drugbank.ca/drugs/DB01156	http://www.disease-ontology.org/term/DOID%3A594
Buspirone	epilepsy syndrome			http://www.drugbank.ca/drugs/DB00490	http://www.disease-ontology.org/term/DOID%3A1826
Buspirone	panic disorder			http://www.drugbank.ca/drugs/DB00490	http://www.disease-ontology.org/term/DOID%3A594
Busulfan	colon cancer			http://www.drugbank.ca/drugs/DB01008	http://www.disease-ontology.org/term/DOID%3A219
Busulfan	hematologic cancer			http://www.drugbank.ca/drugs/DB01008	http://www.disease-ontology.org/term/DOID%3A2531
Butalbital	migraine			http://www.drugbank.ca/drugs/DB00241	http://www.disease-ontology.org/term/DOID%3A6364
Butenafine	psoriasis			http://www.drugbank.ca/drugs/DB01091	http://www.disease-ontology.org/term/DOID%3A8893
Cabazitaxel	prostate cancer			http://www.drugbank.ca/drugs/DB06772	http://www.disease-ontology.org/term/DOID%3A10283
Cabergoline	Parkinson's disease			http://www.drugbank.ca/drugs/DB00248	http://www.disease-ontology.org/term/DOID%3A14330
Caffeine	migraine			http://www.drugbank.ca/drugs/DB00201	http://www.disease-ontology.org/term/DOID%3A6364
Caffeine	osteoarthritis			http://www.drugbank.ca/drugs/DB00201	http://www.disease-ontology.org/term/DOID%3A8398
Calcipotriol	psoriasis			http://www.drugbank.ca/drugs/DB02300	http://www.disease-ontology.org/term/DOID%3A8893
Calcitriol	chronic kidney failure			http://www.drugbank.ca/drugs/DB00136	http://www.disease-ontology.org/term/DOID%3A784
Calcitriol	osteoporosis			http://www.drugbank.ca/drugs/DB00136	http://www.disease-ontology.org/term/DOID%3A11476
Calcitriol	psoriasis			http://www.drugbank.ca/drugs/DB00136	http://www.disease-ontology.org/term/DOID%3A8893
Calcium Acetate	chronic kidney failure			http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A784
Calcium Acetate	osteoporosis			http://www.drugbank.ca/drugs/DB00258	http://www.disease-ontology.org/term/DOID%3A11476
Candesartan	hypertension			http://www.drugbank.ca/drugs/DB00796	http://www.disease-ontology.org/term/DOID%3A10763
Capecitabine	breast cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A1612
Capecitabine	colon cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A219
Capecitabine	esophageal cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A5041
Capecitabine	kidney cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A263
Capecitabine	prostate cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A10283
Capecitabine	stomach cancer			http://www.drugbank.ca/drugs/DB01101	http://www.disease-ontology.org/term/DOID%3A10534
Captopril	coronary artery disease			http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A3393
Captopril	hypertension			http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A10763
Captopril	rheumatoid arthritis	NOT	Pilot classification: ?; Pilot notes: some research in rats says this may be helpful in RA	http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A7148
Captopril	systemic scleroderma			http://www.drugbank.ca/drugs/DB01197	http://www.disease-ontology.org/term/DOID%3A418
Carbachol	glaucoma			http://www.drugbank.ca/drugs/DB00411	http://www.disease-ontology.org/term/DOID%3A1686
Carbamazepine	bipolar disorder			http://www.drugbank.ca/drugs/DB00564	http://www.disease-ontology.org/term/DOID%3A3312
Carbamazepine	epilepsy syndrome			http://www.drugbank.ca/drugs/DB00564	http://www.disease-ontology.org/term/DOID%3A1826
Carbamazepine	multiple sclerosis			http://www.drugbank.ca/drugs/DB00564	http://www.disease-ontology.org/term/DOID%3A2377
Carbamazepine	restless legs syndrome			http://www.drugbank.ca/drugs/DB00564	http://www.disease-ontology.org/term/DOID%3A0050425
Carbamazepine	schizophrenia			http://www.drugbank.ca/drugs/DB00564	http://www.disease-ontology.org/term/DOID%3A5419
Carbidopa	Alzheimer's disease			http://www.drugbank.ca/drugs/DB00190	http://www.disease-ontology.org/term/DOID%3A10652
Carbidopa	Parkinson's disease			http://www.drugbank.ca/drugs/DB00190	http://www.disease-ontology.org/term/DOID%3A14330
Carbidopa	restless legs syndrome			http://www.drugbank.ca/drugs/DB00190	http://www.disease-ontology.org/term/DOID%3A0050425
Carboplatin	bone cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A184
Carboplatin	brain cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A1319
Carboplatin	breast cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A1612
Carboplatin	esophageal cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A5041
Carboplatin	ocular cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A2174
Carboplatin	ovarian cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A2394
Carboplatin	testicular cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A2998
Carboplatin	urinary bladder cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A11054
Carboplatin	uterine cancer			http://www.drugbank.ca/drugs/DB00958	http://www.disease-ontology.org/term/DOID%3A363
Carmustine	brain cancer			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A1319
Carmustine	hematologic cancer			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A2531
Carmustine	lymphatic system cancer			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A0060073
Carmustine	malignant glioma			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A3070
Carmustine	melanoma			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A1909
Carmustine	skin cancer			http://www.drugbank.ca/drugs/DB00262	http://www.disease-ontology.org/term/DOID%3A4159
Carteolol	glaucoma			http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A1686
Carteolol	hypertension			http://www.drugbank.ca/drugs/DB00521	http://www.disease-ontology.org/term/DOID%3A10763
Carvedilol	hypertension			http://www.drugbank.ca/drugs/DB01136	http://www.disease-ontology.org/term/DOID%3A10763
Cefdinir	allergic rhinitis			http://www.drugbank.ca/drugs/DB00535	http://www.disease-ontology.org/term/DOID%3A4481
Cefdinir	asthma			http://www.drugbank.ca/drugs/DB00535	http://www.disease-ontology.org/term/DOID%3A2841
Celecoxib	ankylosing spondylitis			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A7147
Celecoxib	colon cancer			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A219
Celecoxib	hematologic cancer			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A2531
Celecoxib	kidney cancer			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A263
Celecoxib	osteoarthritis			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A8398
Celecoxib	prostate cancer			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A10283
Celecoxib	rheumatoid arthritis			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A7148
Celecoxib	systemic lupus erythematosus			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A9074
Celecoxib	systemic scleroderma			http://www.drugbank.ca/drugs/DB00482	http://www.disease-ontology.org/term/DOID%3A418
Cephalexin	chronic kidney failure			http://www.drugbank.ca/drugs/DB00567	http://www.disease-ontology.org/term/DOID%3A784
Cetirizine	allergic rhinitis			http://www.drugbank.ca/drugs/DB00341	http://www.disease-ontology.org/term/DOID%3A4481
Chenodeoxycholic acid	primary biliary cirrhosis			http://www.drugbank.ca/drugs/DB06777	http://www.disease-ontology.org/term/DOID%3A12236
Chlorambucil	breast cancer			http://www.drugbank.ca/drugs/DB00291	http://www.disease-ontology.org/term/DOID%3A1612
Chlorambucil	hematologic cancer			http://www.drugbank.ca/drugs/DB00291	http://www.disease-ontology.org/term/DOID%3A2531
Chlorambucil	ovarian cancer			http://www.drugbank.ca/drugs/DB00291	http://www.disease-ontology.org/term/DOID%3A2394
Chlorambucil	testicular cancer			http://www.drugbank.ca/drugs/DB00291	http://www.disease-ontology.org/term/DOID%3A2998
Chlordiazepoxide	alcohol dependence			http://www.drugbank.ca/drugs/DB00475	http://www.disease-ontology.org/term/DOID%3A0050741
Chlorothiazide	hypertension			http://www.drugbank.ca/drugs/DB00880	http://www.disease-ontology.org/term/DOID%3A10763
Chlorpromazine	bipolar disorder			http://www.drugbank.ca/drugs/DB00477	http://www.disease-ontology.org/term/DOID%3A3312
Chlorpromazine	conduct disorder			http://www.drugbank.ca/drugs/DB00477	http://www.disease-ontology.org/term/DOID%3A12995
Chlorpromazine	schizophrenia			http://www.drugbank.ca/drugs/DB00477	http://www.disease-ontology.org/term/DOID%3A5419
Chlorpropamide	type 2 diabetes mellitus			http://www.drugbank.ca/drugs/DB00672	http://www.disease-ontology.org/term/DOID%3A9352
Chlorthalidone	hypertension			http://www.drugbank.ca/drugs/DB00310	http://www.disease-ontology.org/term/DOID%3A10763
Cholecalciferol	chronic kidney failure			http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A784
Cholecalciferol	osteoporosis			http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A11476
Cholecalciferol	psoriasis			http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8893
Cholecalciferol	ulcerative colitis			http://www.drugbank.ca/drugs/DB00169	http://www.disease-ontology.org/term/DOID%3A8577
